Dim1,Dim2,Group,Expression
14.722809,6.061514,Pseudo,
14.681212,6.231951,Real,0.56
14.5131235,4.900705,Real,0.35
14.767676,6.6644955,Real,0.18
14.922101,7.814987,Real,0.41
15.019026,6.206196,Real,0.29
14.902414,7.9275684,Real,-1.39
14.293656,4.8730173,Real,0.68
14.935545,5.9515467,Real,0.46
13.294144,7.9267807,Real,-1.46
13.685807,6.7649913,Real,0.41
13.869459,4.8808937,Real,0.21
13.722695,6.481206,Real,0.08
13.742565,4.7486243,Real,0.41
13.729466,4.9079065,Real,0.24
15.331794,2.9335363,Real,0.09
12.558463,6.8245993,Real,0.08
14.463451,4.961562,Real,-0.16
13.920705,4.985936,Real,-0.25
14.302957,6.5824594,Real,-0.13
15.1566515,8.248752,Real,-0.2
13.510735,6.8719563,Real,-0.23
13.098854,3.5783796,Real,0.13
12.898216,4.3035264,Real,-0.06
14.385003,4.596053,Real,-0.06
14.874324,6.1133027,Real,-0.06
15.111689,8.822826,Real,-0.39
13.997099,8.238255,Real,-0.43
14.282358,4.5376487,Real,0.1
12.969993,8.445955,Real,-0.5
14.342538,10.093425,Real,-1.34
14.599111,3.9164047,Real,0.29
15.222497,6.258433,Real,0.06
14.449073,4.161244,Real,-0.16
14.989417,7.4360957,Real,0.15
13.326195,3.52225,Real,0.09
14.770554,9.806169,Real,-0.41
14.053566,4.060074,Real,0.61
14.662726,3.4921079,Real,0.33
15.056412,3.6415842,Real,0.29
14.7321205,3.501435,Real,0.81
14.913974,3.550156,Real,0.64
14.934257,3.608686,Real,0.18
15.198229,3.7583754,Real,0.51
13.277315,7.0067844,Real,0.32
13.113196,7.255902,Real,0.18
13.352224,6.695138,Real,0.29
15.238865,8.32616,Real,0.29
13.249788,7.195126,Real,-0.05
13.31228,6.9161787,Real,0.26
15.716974,2.980821,Real,0.0
13.189012,7.2537084,Real,-0.69
14.806686,6.3866377,Real,-0.19
13.181206,7.441274,Real,-0.62
13.089773,8.438632,Real,-0.99
14.201197,3.9053555,Real,0.33
14.415798,4.679547,Real,0.04
13.939261,3.9996264,Real,0.02
14.973407,3.4073071,Real,0.57
14.459549,3.5538383,Real,0.57
14.264431,3.762106,Real,0.51
14.122484,3.992127,Real,0.39
13.998611,4.0280437,Real,-0.52
14.137554,3.9763083,Real,-0.63
14.070973,3.8822985,Real,0.5
14.046611,4.2116203,Real,0.24
13.529734,6.744171,Real,-0.41
13.894314,7.5214634,Real,0.1
13.655828,7.103532,Real,0.01
12.110207,7.561471,Real,-0.19
15.054824,5.184906,Real,0.22
14.939185,3.7576025,Real,0.04
14.362927,4.7135963,Real,-0.07
14.748017,7.2001195,Real,0.05
14.1476345,4.084738,Real,-0.15
13.947401,7.736087,Real,-0.69
14.799487,6.131495,Real,0.14
14.8351755,9.846454,Real,-0.02
14.886391,6.0722556,Real,-0.02
15.318535,4.0569453,Real,1.51
14.986997,7.3900414,Real,0.03
14.936709,7.4777894,Real,-0.08
15.644631,3.0015109,Real,0.38
15.597243,3.5914044,Real,0.29
15.044762,3.4181874,Real,0.27
15.145106,3.3192308,Real,0.72
15.065349,3.3722177,Real,0.32
15.158778,3.2144847,Real,0.26
15.6759615,3.9420633,Real,0.4
14.350947,7.378939,Real,0.12
15.758387,3.2383604,Real,-0.05
14.967639,5.439083,Real,0.72
15.28383,4.0754724,Real,0.37
15.806965,5.828984,Real,0.31
15.101443,3.8695912,Real,0.72
15.311206,3.3790011,Real,0.48
15.187434,3.2306693,Real,0.24
15.063128,3.464247,Real,0.62
15.78968,3.7647264,Real,0.38
14.774485,7.604644,Real,-0.33
15.236598,4.260767,Real,0.39
15.790595,6.0844965,Real,0.33
15.018132,4.4759445,Real,-0.05
15.158864,7.6393247,Real,0.09
13.028288,6.9036937,Real,0.07
15.02855,7.7726264,Real,-0.11
15.3149805,3.1657734,Real,0.15
15.412409,3.242032,Real,0.12
15.682771,3.2646563,Real,-0.13
14.690228,5.7855167,Real,-0.2
12.638171,8.331497,Real,-0.55
13.656388,7.9309154,Real,-1.3
