order,cum_neg,cum_pos,pseudo_similarity,prop_fin
1,1,0,0.8887038687544466,2.0
2,1,0,0.885746175307393,2.0
3,2,0,0.8843779575025508,3.0
4,3,0,0.8829984453546231,4.0
5,4,0,0.8814231006613468,5.0
6,4,0,0.8808100202290744,5.0
7,5,0,0.8806184313020994,6.0
8,6,0,0.8773844012967826,7.0
9,7,0,0.8772670766728384,8.0
10,8,0,0.8751725815248148,9.0
11,9,0,0.8719698404544021,10.0
12,9,0,0.8684088355404375,10.0
13,9,0,0.8661440926863364,10.0
14,9,0,0.8652958998930023,10.0
15,9,0,0.8637553872205707,10.0
16,9,0,0.8626230389230255,10.0
17,9,0,0.8610790191256283,10.0
18,10,0,0.8597893058619144,11.0
19,10,0,0.8596506040248424,11.0
20,11,0,0.855139577636373,12.0
21,12,0,0.8501374744696923,13.0
22,13,0,0.8463123976993672,14.0
23,14,0,0.8444961612524198,15.0
24,14,0,0.8441310294593606,15.0
25,14,0,0.8436236353283393,15.0
26,15,0,0.8393508693508752,16.0
27,15,0,0.8380103815061968,16.0
28,16,0,0.836940904681585,17.0
29,16,0,0.8365866220196125,17.0
30,16,0,0.8345680330040841,17.0
31,16,0,0.8343337237783341,17.0
32,16,0,0.8338686806325619,17.0
33,16,0,0.8323716025442169,17.0
34,16,0,0.8309468318738239,17.0
35,17,0,0.8301271326342885,18.0
36,17,0,0.8282022104922426,18.0
37,17,1,0.8276377829998842,9.0
38,18,1,0.825238620793214,9.5
39,18,1,0.8230121648995553,9.5
40,18,1,0.8217168794923939,9.5
41,18,1,0.8195665403626565,9.5
42,18,1,0.8174924438310354,9.5
43,18,1,0.8173253892275195,9.5
44,18,1,0.8132709674411169,9.5
45,18,1,0.8125410489851714,9.5
46,19,1,0.8115423563171026,10.0
47,20,1,0.8106898657965801,10.5
48,20,2,0.8098952584554537,7.0
49,21,2,0.8086088775447167,7.333333333333333
50,22,2,0.8065509738405071,7.666666666666667
51,22,2,0.8018955162616679,7.666666666666667
52,23,2,0.8017564417159504,8.0
53,24,2,0.7998138035603564,8.333333333333334
54,24,2,0.7988138430626845,8.333333333333334
55,24,2,0.7983622208144727,8.333333333333334
56,24,2,0.7981088572057489,8.333333333333334
57,25,2,0.7967961445106455,8.666666666666666
58,26,2,0.796080396166899,9.0
59,26,2,0.7957550272524363,9.0
60,27,2,0.7940460431663068,9.333333333333334
61,27,2,0.7933578376277126,9.333333333333334
62,27,2,0.7931226955262035,9.333333333333334
63,28,2,0.7930253317509622,9.666666666666666
64,29,2,0.792906864154942,10.0
65,30,2,0.7867983733785705,10.333333333333334
66,30,2,0.7867255455451455,10.333333333333334
67,31,2,0.7834610764429026,10.666666666666666
68,32,2,0.7828325531496148,11.0
69,32,2,0.782770232634761,11.0
70,32,2,0.7825066940268302,11.0
71,32,3,0.7807728106670222,8.25
72,33,3,0.7798347603210084,8.5
73,34,3,0.7794748260906179,8.75
74,35,3,0.7789668118541202,9.0
75,36,3,0.7773416122200432,9.25
76,36,3,0.7766560632371792,9.25
77,37,3,0.7736903587323617,9.5
78,37,3,0.7728020736164903,9.5
79,37,3,0.7683744911499422,9.5
80,37,3,0.767190137185294,9.5
81,38,3,0.7654096344419163,9.75
82,38,4,0.7640985862285993,7.8
83,39,4,0.7621286216568434,8.0
84,40,4,0.7605984723472106,8.2
85,41,4,0.7594014723641871,8.4
86,42,4,0.7578920239338491,8.6
87,43,4,0.7576757962638941,8.8
88,43,4,0.757498780171163,8.8
89,43,4,0.7545612732036922,8.8
90,43,4,0.7524334853481982,8.8
91,44,4,0.7488672141781008,9.0
92,44,4,0.7478016246624275,9.0
93,45,4,0.7469592482232486,9.2
94,45,4,0.746147189538461,9.2
95,45,4,0.7456163059211345,9.2
96,45,4,0.7442202515381962,9.2
97,46,4,0.7432172337595684,9.4
98,46,5,0.7431406234793904,7.833333333333333
99,46,5,0.7424325177031343,7.833333333333333
100,46,6,0.7423753184298827,6.714285714285714
101,46,6,0.7419834254267446,6.714285714285714
102,46,6,0.7414776490668321,6.714285714285714
103,46,6,0.7406099233656744,6.714285714285714
104,47,6,0.7403580019780087,6.857142857142857
105,48,6,0.7395289056126939,7.0
106,49,6,0.7382902931811228,7.142857142857143
107,49,6,0.7377872338104048,7.142857142857143
108,49,7,0.7364255077944164,6.25
109,50,7,0.7349800038236971,6.375
110,50,7,0.7339320744729547,6.375
111,50,7,0.7337486904324524,6.375
112,50,7,0.7329906482764865,6.375
113,51,7,0.7318926024210043,6.5
114,51,7,0.730179708393955,6.5
115,52,7,0.7291948146355601,6.625
116,52,7,0.7282997565136536,6.625
117,52,7,0.7278396120099313,6.625
118,52,7,0.726992460707347,6.625
119,52,7,0.7263962091503409,6.625
120,52,7,0.7262450477219375,6.625
121,52,7,0.7259625101304735,6.625
122,52,7,0.7249620789153643,6.625
123,52,7,0.7234495414549942,6.625
124,52,8,0.7232388305113664,5.888888888888889
125,52,8,0.7231166853936138,5.888888888888889
126,52,8,0.7226165613948334,5.888888888888889
127,52,8,0.7218897389790946,5.888888888888889
128,52,8,0.7206881762958854,5.888888888888889
129,52,8,0.7205659298299301,5.888888888888889
130,52,8,0.7191126540323685,5.888888888888889
131,52,9,0.7183231677316692,5.3
132,52,9,0.7181353406975926,5.3
133,53,9,0.7175606332824545,5.4
134,53,9,0.7174545089086455,5.4
135,53,9,0.7171418420542264,5.4
136,53,9,0.7147905467708895,5.4
137,53,9,0.7145973844931921,5.4
138,53,9,0.7138599906451009,5.4
139,53,9,0.7108611702688872,5.4
140,53,10,0.7105519082672691,4.909090909090909
141,53,10,0.7094734967101555,4.909090909090909
142,54,10,0.7089562528851334,5.0
143,54,10,0.7084558834308428,5.0
144,54,10,0.7081610856279987,5.0
145,54,10,0.7078769969661931,5.0
146,55,10,0.7076113382518666,5.090909090909091
147,55,11,0.7071725954039344,4.666666666666667
148,56,11,0.7063594744346677,4.75
149,56,11,0.7055609275053242,4.75
150,57,11,0.7053885206016364,4.833333333333333
151,57,11,0.7050972407731642,4.833333333333333
152,57,11,0.703436915313025,4.833333333333333
153,57,11,0.7031736788545035,4.833333333333333
154,58,11,0.7016400760936607,4.916666666666667
155,58,11,0.7003179961032409,4.916666666666667
156,58,11,0.6985206714953741,4.916666666666667
157,58,11,0.6983572094997785,4.916666666666667
158,58,11,0.6972134712773277,4.916666666666667
159,59,11,0.697162530217121,5.0
160,59,11,0.6962702537712201,5.0
161,60,11,0.6953853950630866,5.083333333333333
162,60,11,0.6950708432041843,5.083333333333333
163,60,11,0.6940856912951219,5.083333333333333
164,60,11,0.6938915018881547,5.083333333333333
165,60,11,0.693161682747501,5.083333333333333
166,61,11,0.6912989117500515,5.166666666666667
167,62,11,0.6899496229343325,5.25
168,63,11,0.6887620304090909,5.333333333333333
169,63,11,0.6880584968708541,5.333333333333333
170,64,11,0.6879795838540145,5.416666666666667
171,64,11,0.6861840583390176,5.416666666666667
172,65,11,0.6841395188095406,5.5
173,66,11,0.6804467964116577,5.583333333333333
174,66,11,0.6797849450778108,5.583333333333333
175,67,11,0.6774526787159101,5.666666666666667
176,67,12,0.6773002825490256,5.230769230769231
177,67,12,0.6763014216903045,5.230769230769231
178,68,12,0.6760328571332967,5.3076923076923075
179,68,12,0.6747752345099919,5.3076923076923075
180,68,12,0.6744819949491245,5.3076923076923075
181,68,12,0.6740487907989254,5.3076923076923075
182,68,12,0.6732596119698391,5.3076923076923075
183,68,12,0.6731831812257723,5.3076923076923075
184,68,12,0.6723639572395061,5.3076923076923075
185,68,12,0.6712122916048354,5.3076923076923075
186,68,12,0.6702639431265296,5.3076923076923075
187,68,12,0.6682718675981603,5.3076923076923075
