Expression,Group
5.41318210145885,1-100
6.75542826066367,1-100
4.49575054415216,1-100
2.4779269782539703,1-100
6.471915105505331,1-100
5.79153955000631,1-100
5.98407050364113,1-100
5.39499965083861,1-100
2.98363711165178,1-100
4.542492672990611,1-100
0.769107263672422,1-100
0.8512061352326501,1-100
5.35928609186334,1-100
3.88351855909949,1-100
2.43298580538247,1-100
5.60065762370909,1-100
4.48404709419156,1-100
1.81193276504404,1-100
5.719948560542082,1-100
0.7097114957268991,1-100
3.13342451023169,1-100
3.4842053824519104,1-100
4.7438651013460325,1-100
5.40874828102007,1-100
4.12812614924648,1-100
6.522457138696481,1-100
3.2206412150407098,1-100
6.501296392019169,1-100
5.10589673720431,1-100
4.479989348657201,1-100
0.465217201166462,1-100
4.38578317766855,1-100
1.97212297351432,1-100
1.7049823733725602,1-100
3.74978975588441,1-100
4.0768992477825,1-100
6.5047209715607215,1-100
4.73158250785931,1-100
3.84254129265116,1-100
4.34368954772092,1-100
3.9898441157206297,1-100
4.85433014362199,1-100
5.435257833894888,1-100
5.2366099576780485,1-100
5.64806235711534,1-100
5.18917660604932,1-100
4.92910699012172,1-100
6.79406726276566,1-100
4.81314294066858,1-100
4.7163589532518495,1-100
4.99527999338977,1-100
4.89150832935453,1-100
2.4752073045745497,1-100
4.993802533613232,1-100
4.58600435267934,1-100
5.770976195602571,1-100
2.55505068890626,1-100
6.27738968595672,1-100
6.745785907939661,1-100
4.86165305685846,1-100
2.6003542781507005,1-100
4.41252875470548,1-100
5.229150594915089,1-100
2.84896558217398,1-100
3.57184152212045,1-100
3.68639695835444,1-100
5.5561040603760885,1-100
6.635340699166791,1-100
6.077777747858598,1-100
2.77766384972822,1-100
6.65309892626262,1-100
5.8610764367898,1-100
3.8753350114523295,1-100
7.23427250374046,1-100
4.70184895161099,1-100
0.9938750229333622,1-100
2.27342051676996,1-100
4.0566321534485095,1-100
7.4394592010518386,1-100
3.3275841616721897,1-100
2.81185177123244,1-100
1.3416386515196002,1-100
6.2825493839368,1-100
5.01334306372578,1-100
6.48206493108714,1-100
2.8980993852330204,1-100
1.21243284705781,1-100
3.05411720543091,1-100
5.083860248626559,1-100
4.191672802909791,1-100
2.8565569443572403,1-100
4.80821752871841,1-100
5.8708847811484,1-100
2.5908881041486604,1-100
2.16738074383927,1-100
4.42752177078286,1-100
5.63562601175202,1-100
4.282570268097279,1-100
2.1431822735685,1-100
6.35665304511568,1-100
6.47258654036207,101-200
5.31483174517329,101-200
4.04328025238802,101-200
0.363087450418477,101-200
7.26628078390562,101-200
5.55365988575056,101-200
