order,cum_neg,cum_pos,pseudo_similarity,prop_fin
1,0,1,0.9485896645314587,0.5
2,0,1,0.9472909157380834,0.5
3,0,1,0.9463324928328236,0.5
4,0,1,0.9444817766516742,0.5
5,0,2,0.9437969074097633,0.3333333333333333
6,0,2,0.9431852474020324,0.3333333333333333
7,1,2,0.941977125055623,0.6666666666666666
8,2,2,0.9415043045654712,1.0
9,2,2,0.9408044759670509,1.0
10,2,3,0.9395569880715077,0.75
11,2,3,0.9392437348782368,0.75
12,3,3,0.9390171018936604,1.0
13,3,3,0.9386554038016186,1.0
14,3,3,0.9381648841140003,1.0
15,3,3,0.9381570360408954,1.0
16,3,3,0.9373475004554004,1.0
17,4,3,0.936859530414626,1.25
18,5,3,0.9367964746830774,1.5
19,5,3,0.9358299805081215,1.5
20,5,3,0.9350478067921196,1.5
21,6,3,0.9346701969714499,1.75
22,7,3,0.9342708485954677,2.0
23,7,4,0.9341749872625733,1.6
24,7,4,0.9341708746289565,1.6
25,7,5,0.9338250849849385,1.3333333333333333
26,7,5,0.933676055187484,1.3333333333333333
27,7,5,0.9334002745139187,1.3333333333333333
28,7,5,0.9316000021024532,1.3333333333333333
29,7,5,0.9313317421813335,1.3333333333333333
30,7,5,0.9309469697112979,1.3333333333333333
31,7,5,0.9308497499556027,1.3333333333333333
32,7,5,0.9307045719053457,1.3333333333333333
33,8,5,0.9306560792602898,1.5
34,8,5,0.929320610558155,1.5
35,9,5,0.9286687369085153,1.6666666666666667
36,9,5,0.928348976061219,1.6666666666666667
37,9,5,0.9281725129176459,1.6666666666666667
38,10,5,0.9280794458949808,1.8333333333333333
39,11,5,0.9279317294301646,2.0
40,11,5,0.9275829660105307,2.0
41,11,6,0.9273827975568225,1.7142857142857142
42,11,6,0.9272783015508632,1.7142857142857142
43,12,6,0.9264598086298139,1.8571428571428572
44,12,6,0.9261416542675953,1.8571428571428572
45,12,6,0.9259718722051469,1.8571428571428572
46,13,6,0.9245185245695549,2.0
47,13,7,0.9243879373216859,1.75
48,14,7,0.9237436521999141,1.875
49,14,7,0.923440188441556,1.875
50,14,7,0.9234160424612657,1.875
51,14,8,0.9229673128088335,1.6666666666666667
52,14,8,0.9226331813285608,1.6666666666666667
53,15,8,0.9218805464155544,1.7777777777777777
54,15,9,0.9218144866433339,1.6
55,15,9,0.9216079567995815,1.6
56,15,9,0.9212176551402693,1.6
57,15,10,0.9209975861335548,1.4545454545454546
58,15,10,0.9209536120842463,1.4545454545454546
59,15,11,0.9207710362262898,1.3333333333333333
60,15,11,0.9205809086747195,1.3333333333333333
61,16,11,0.9200570148407852,1.4166666666666667
62,16,11,0.9196946110206378,1.4166666666666667
63,16,11,0.9175600664001856,1.4166666666666667
64,16,12,0.9172385303351038,1.3076923076923077
65,16,12,0.9165407492984026,1.3076923076923077
66,17,12,0.9164773783488622,1.3846153846153846
67,17,12,0.9163167993322234,1.3846153846153846
68,17,13,0.9155678367604959,1.2857142857142858
69,17,13,0.915479718256702,1.2857142857142858
70,17,13,0.9154760435539613,1.2857142857142858
71,17,13,0.915088506737751,1.2857142857142858
72,17,13,0.9148541919669665,1.2857142857142858
73,17,13,0.9139361915860519,1.2857142857142858
74,17,13,0.9134381864897568,1.2857142857142858
75,17,13,0.9132462695105799,1.2857142857142858
76,17,14,0.913050549240937,1.2
77,17,15,0.9115938587312352,1.125
78,18,15,0.9110143490777451,1.1875
79,18,15,0.9108220939330728,1.1875
80,18,15,0.9096661910006832,1.1875
81,18,15,0.9079266605683008,1.1875
82,18,15,0.9067482831397112,1.1875
83,19,15,0.9063107143449131,1.25
84,19,15,0.9057380893950562,1.25
85,20,15,0.9054704892216087,1.3125
86,20,15,0.9052498164223767,1.3125
87,20,15,0.9052404416251542,1.3125
88,20,15,0.9048814280747443,1.3125
89,20,15,0.904570212987372,1.3125
90,20,16,0.9045045985039861,1.2352941176470589
91,21,16,0.9044178666472408,1.2941176470588236
92,21,16,0.9036813231724921,1.2941176470588236
93,21,16,0.9024976760231094,1.2941176470588236
94,22,16,0.9020500042191854,1.3529411764705883
95,22,17,0.90183733790935,1.2777777777777777
96,23,17,0.9016701714983044,1.3333333333333333
97,23,17,0.9015389726070966,1.3333333333333333
98,24,17,0.9009253010632915,1.3888888888888888
99,24,17,0.900910317980298,1.3888888888888888
100,25,17,0.900860018125144,1.4444444444444444
101,25,17,0.9005409915620555,1.4444444444444444
102,25,17,0.9004289825902348,1.4444444444444444
103,25,17,0.9002335230960554,1.4444444444444444
104,25,17,0.899751667761982,1.4444444444444444
105,26,17,0.8992853437362959,1.5
106,26,17,0.8991527783484478,1.5
107,26,18,0.8989222838328125,1.4210526315789473
108,27,18,0.898379488051801,1.4736842105263157
109,27,18,0.898112762739083,1.4736842105263157
110,27,18,0.8980268983852888,1.4736842105263157
111,27,18,0.8980258795351472,1.4736842105263157
112,28,18,0.8979686548104926,1.5263157894736843
113,28,19,0.8976940221071631,1.45
114,28,20,0.8976383096622597,1.380952380952381
115,28,21,0.8976102735555391,1.3181818181818181
116,28,21,0.8973950430752518,1.3181818181818181
117,28,21,0.896931458583526,1.3181818181818181
118,29,21,0.8968860908811942,1.3636363636363635
119,29,22,0.8968533792587536,1.3043478260869565
120,29,23,0.8968324013297689,1.25
121,29,24,0.896821532228136,1.2
122,29,24,0.8957039966739668,1.2
123,30,24,0.8946042067020079,1.24
124,30,25,0.8945070306920873,1.1923076923076923
125,31,25,0.8940908189254108,1.2307692307692308
126,32,25,0.8936105609690749,1.2692307692307692
127,32,25,0.8934924146965871,1.2692307692307692
128,33,25,0.8930347707399471,1.3076923076923077
129,33,25,0.892810728318073,1.3076923076923077
130,33,25,0.8926830916766747,1.3076923076923077
131,33,25,0.8923269165430466,1.3076923076923077
132,33,26,0.8922782810302597,1.2592592592592593
133,34,26,0.8917710000517689,1.2962962962962963
134,35,26,0.8915526280290654,1.3333333333333333
135,35,26,0.8902405903548521,1.3333333333333333
136,35,27,0.8902114972754687,1.2857142857142858
137,35,27,0.8895447809393271,1.2857142857142858
138,36,27,0.8895079379225374,1.3214285714285714
139,36,27,0.8892658892175013,1.3214285714285714
140,36,27,0.8877324868561101,1.3214285714285714
141,36,28,0.8874126633093897,1.2758620689655173
142,36,28,0.886991912990317,1.2758620689655173
143,36,29,0.8868174316676101,1.2333333333333334
144,36,29,0.8867817467046366,1.2333333333333334
145,36,29,0.8859308242603401,1.2333333333333334
146,37,29,0.8859244337268608,1.2666666666666666
147,38,29,0.8850422713088064,1.3
148,39,29,0.8848047062680222,1.3333333333333333
149,39,29,0.8847360532664315,1.3333333333333333
150,40,29,0.8840933276546005,1.3666666666666667
151,40,29,0.8840298610977221,1.3666666666666667
152,41,29,0.8836012361970873,1.4
153,41,29,0.8832067302387775,1.4
154,41,29,0.883124475788661,1.4
155,41,29,0.8828859552966831,1.4
156,41,29,0.880407379756887,1.4
157,41,30,0.8795847455356827,1.3548387096774193
158,41,30,0.8792340013182142,1.3548387096774193
159,41,30,0.8791058464915092,1.3548387096774193
160,42,30,0.8789060491742968,1.3870967741935485
161,43,30,0.8779974232286024,1.4193548387096775
162,44,30,0.877634804930236,1.4516129032258065
163,44,30,0.8770114122612873,1.4516129032258065
164,44,30,0.8769797464302712,1.4516129032258065
165,44,31,0.8765015675805641,1.40625
166,44,32,0.8759646679861591,1.3636363636363635
167,44,32,0.8750428151842486,1.3636363636363635
168,44,32,0.8747659866696635,1.3636363636363635
169,44,32,0.8747462682436031,1.3636363636363635
170,44,32,0.8737816268799837,1.3636363636363635
171,44,32,0.8737744544441665,1.3636363636363635
172,44,32,0.8735508278428419,1.3636363636363635
173,44,32,0.8730603772057677,1.3636363636363635
174,44,32,0.8724488470078684,1.3636363636363635
175,44,32,0.8722177022450813,1.3636363636363635
176,44,32,0.8719760435015977,1.3636363636363635
177,44,32,0.8696018927802676,1.3636363636363635
178,44,32,0.8694553069156998,1.3636363636363635
179,44,32,0.8688931913785338,1.3636363636363635
180,44,32,0.8684353480890423,1.3636363636363635
181,44,32,0.8682242877809752,1.3636363636363635
182,45,32,0.8681899552111789,1.393939393939394
183,46,32,0.8678354609224372,1.4242424242424243
184,46,32,0.8677621351209008,1.4242424242424243
185,46,32,0.8671775854141744,1.4242424242424243
186,46,32,0.8656105768332456,1.4242424242424243
187,46,32,0.8655222112071709,1.4242424242424243
188,46,32,0.8655006302030647,1.4242424242424243
189,46,32,0.8627725767357659,1.4242424242424243
190,46,32,0.8627643953083783,1.4242424242424243
191,46,32,0.8621708742769568,1.4242424242424243
192,46,32,0.8615841288410655,1.4242424242424243
193,46,32,0.8613357930320196,1.4242424242424243
194,47,32,0.8612660987523312,1.4545454545454546
195,48,32,0.8601770360470633,1.4848484848484849
196,49,32,0.8595295873325672,1.5151515151515151
197,49,33,0.8585484603370808,1.4705882352941178
198,49,33,0.8582353752854457,1.4705882352941178
199,49,33,0.857391780409809,1.4705882352941178
200,49,34,0.855543068630816,1.4285714285714286
201,49,35,0.8555112219744312,1.3888888888888888
202,50,35,0.8549372390506143,1.4166666666666667
203,50,35,0.8546226028363425,1.4166666666666667
204,50,35,0.8539893955011228,1.4166666666666667
205,50,35,0.8534918649103486,1.4166666666666667
206,50,35,0.8526152736400578,1.4166666666666667
207,50,36,0.8524912131161747,1.3783783783783783
208,50,36,0.8520178022618855,1.3783783783783783
209,50,37,0.8500191560345285,1.3421052631578947
210,50,38,0.8493497249207588,1.3076923076923077
211,50,38,0.8492640780208317,1.3076923076923077
212,50,38,0.8480477696207528,1.3076923076923077
213,51,38,0.8477072327504498,1.3333333333333333
214,51,39,0.8464358048751941,1.3
215,51,39,0.8458718630644431,1.3
216,51,39,0.8453745203438537,1.3
217,51,39,0.8445131838196839,1.3
218,51,39,0.8441747866754816,1.3
219,52,39,0.8438625356461822,1.325
220,52,40,0.8433189853501033,1.2926829268292683
221,52,40,0.8426209863450935,1.2926829268292683
222,53,40,0.8425020593256842,1.3170731707317074
223,54,40,0.8420454534506181,1.3414634146341464
224,55,40,0.8395523392329114,1.3658536585365855
