order,cum_neg,cum_pos,pseudo_similarity,prop_fin
1,0,0,0.9025201274613047,1.0
2,0,0,0.9019720067874202,1.0
3,1,0,0.8987035125340543,2.0
4,2,0,0.8984321782721474,3.0
5,3,0,0.8982881982978065,4.0
6,4,0,0.8979928800947488,5.0
7,4,0,0.8972434642086503,5.0
8,4,0,0.897185701191282,5.0
9,5,0,0.8970023337667955,6.0
10,6,0,0.8966802911395665,7.0
11,7,0,0.8961943065423602,8.0
12,8,0,0.8958715301478278,9.0
13,8,0,0.8953207180119314,9.0
14,8,0,0.8950607431240765,9.0
15,8,0,0.8949680402355054,9.0
16,8,0,0.8944350677372503,9.0
17,8,0,0.8942126584133518,9.0
18,8,0,0.8941886637312645,9.0
19,8,0,0.8941433159836554,9.0
20,8,0,0.8940292137722076,9.0
21,8,0,0.8936931487437715,9.0
22,9,0,0.8926340189863968,10.0
23,10,0,0.8917719292067349,11.0
24,10,0,0.891765717629621,11.0
25,10,0,0.8916911926244183,11.0
26,10,0,0.890989094279396,11.0
27,11,0,0.8908762443235525,12.0
28,12,0,0.8907716671681701,13.0
29,12,0,0.8907490774517266,13.0
30,13,0,0.8900626491642434,14.0
31,14,0,0.889644666417891,15.0
32,15,0,0.8893146668170407,16.0
33,15,0,0.8886299862360824,16.0
34,15,1,0.8885382180680232,8.0
35,16,1,0.888462840755611,8.5
36,17,1,0.8883647701829414,9.0
37,18,1,0.8882912008822677,9.5
38,18,1,0.8882419441515585,9.5
39,18,1,0.8882109535562377,9.5
40,19,1,0.8880193059985159,10.0
41,20,1,0.8879098300582634,10.5
42,20,1,0.887245518364077,10.5
43,21,1,0.8872368117555067,11.0
44,22,1,0.8869443960472639,11.5
45,23,1,0.8867172650586093,12.0
46,23,1,0.8854485096514738,12.0
47,24,1,0.8854013120165009,12.5
48,24,1,0.8853434743526979,12.5
49,24,1,0.8846464951967894,12.5
50,24,1,0.8846138855547645,12.5
51,24,1,0.8844535922098979,12.5
52,24,1,0.8840739595832703,12.5
53,24,1,0.8840406233239311,12.5
54,24,1,0.883796547929137,12.5
55,24,1,0.8834142427536494,12.5
56,24,1,0.8829403043523951,12.5
57,25,1,0.8822668098665056,13.0
58,26,1,0.8819341528726361,13.5
59,27,1,0.881907515328289,14.0
60,28,1,0.881567238124237,14.5
61,28,1,0.8813453303711244,14.5
62,29,1,0.8812806551311645,15.0
63,30,1,0.8797471340830156,15.5
64,31,1,0.8796303976443471,16.0
65,31,1,0.8796031125139187,16.0
66,32,1,0.8788337731609983,16.5
67,32,1,0.8784608555216407,16.5
68,32,2,0.8782898952918101,11.0
69,33,2,0.8779576709242767,11.333333333333334
70,33,2,0.8779494954104261,11.333333333333334
71,33,2,0.8775046808753816,11.333333333333334
72,33,2,0.8770225842711517,11.333333333333334
73,34,2,0.8766254067716817,11.666666666666666
74,35,2,0.8764815016176143,12.0
75,36,2,0.8763181369896308,12.333333333333334
76,37,2,0.8761140804833399,12.666666666666666
77,37,2,0.8761014472012295,12.666666666666666
