order,cum_neg,cum_pos,pseudo_similarity,prop_fin
1,1,0,0.8951836843822432,2.0
2,1,0,0.8942398085915942,2.0
3,2,0,0.8933367388131971,3.0
4,2,0,0.8923043327841176,3.0
5,3,0,0.8922535906011418,4.0
6,4,0,0.8919382950507005,5.0
7,5,0,0.8917153663084976,6.0
8,5,0,0.8906363271165321,6.0
9,5,0,0.8905664543338084,6.0
10,6,0,0.8901180909225581,7.0
11,6,0,0.889849319347082,7.0
12,7,0,0.8896792909691041,8.0
13,7,0,0.889295676612368,8.0
14,8,0,0.8889041637229373,9.0
15,9,0,0.8881847014589648,10.0
16,9,0,0.8880082911962592,10.0
17,9,0,0.8876511047078361,10.0
18,10,0,0.8874735006546305,11.0
19,10,0,0.8870382594704094,11.0
20,11,0,0.8868154615007927,12.0
21,12,0,0.8867472469082729,13.0
22,13,0,0.8864591130551124,14.0
23,13,0,0.8863909783995737,14.0
24,14,0,0.8853130923753008,15.0
25,14,0,0.8850288990746127,15.0
26,14,0,0.8847084096600747,15.0
27,14,0,0.8844619880875049,15.0
28,14,0,0.8841278920311879,15.0
29,14,0,0.8838643449229739,15.0
30,15,0,0.8833316823263117,16.0
31,15,1,0.883135698938653,8.0
32,16,1,0.882847316774919,8.5
33,16,1,0.8827286830466984,8.5
34,17,1,0.8825884610240061,9.0
35,18,1,0.8823849924593634,9.5
36,18,1,0.8820813117416713,9.5
37,18,1,0.8819532887184157,9.5
38,18,1,0.8819304444868492,9.5
39,19,1,0.8813668332457378,10.0
40,19,1,0.8811346108913505,10.0
41,20,1,0.880815434893222,10.5
42,21,1,0.880795149809282,11.0
43,21,1,0.880746665352209,11.0
44,22,1,0.8799826349837819,11.5
45,22,1,0.879555574977284,11.5
46,22,2,0.8790918541300909,7.666666666666667
47,22,2,0.8790083039769379,7.666666666666667
48,22,2,0.8780113977793845,7.666666666666667
49,23,2,0.8778891824717078,8.0
50,23,2,0.8772241446836471,8.0
51,23,2,0.8768706920272387,8.0
52,23,2,0.8762670591444267,8.0
53,23,2,0.8758128373586018,8.0
54,23,2,0.8757145080640143,8.0
55,23,2,0.8749619075333309,8.0
56,24,2,0.8741765491126777,8.333333333333334
57,24,2,0.8741659465449969,8.333333333333334
58,24,2,0.8740753862075115,8.333333333333334
59,24,2,0.8739308203793057,8.333333333333334
60,25,2,0.873723725139251,8.666666666666666
61,25,2,0.8736127833104425,8.666666666666666
62,26,2,0.8735340769494312,9.0
63,27,2,0.8734234121387499,9.333333333333334
64,27,2,0.873312834226563,9.333333333333334
65,27,2,0.8732581693837634,9.333333333333334
66,28,2,0.8731233225222642,9.666666666666666
67,28,2,0.8728538831395736,9.666666666666666
68,28,2,0.8727794618744562,9.666666666666666
69,28,2,0.8726442074798624,9.666666666666666
70,29,2,0.8725652059666831,10.0
71,29,2,0.8725338219770962,10.0
72,30,2,0.8723433071875046,10.333333333333334
73,31,2,0.8722623559022673,10.666666666666666
74,32,2,0.8722531290835586,11.0
75,33,2,0.8712427781282627,11.333333333333334
76,33,2,0.8711137538214966,11.333333333333334
77,33,2,0.8710481638029064,11.333333333333334
78,34,2,0.8710007492490439,11.666666666666666
79,34,2,0.8702060830389153,11.666666666666666
80,35,2,0.8701867421322005,12.0
81,36,2,0.8701697913064754,12.333333333333334
82,37,2,0.8699714776160326,12.666666666666666
83,37,2,0.8696930292059696,12.666666666666666
84,38,2,0.8693006419474796,13.0
85,38,2,0.8691953991589004,13.0
86,39,2,0.8688849100454994,13.333333333333334
87,39,2,0.868768073182413,13.333333333333334
88,39,2,0.8684250571049116,13.333333333333334
89,39,2,0.8682082627523222,13.333333333333334
90,39,2,0.867555165209122,13.333333333333334
91,39,2,0.8675262608021014,13.333333333333334
92,40,2,0.8674875873784035,13.666666666666666
93,41,2,0.8674285935955036,14.0
94,42,2,0.8671777560158482,14.333333333333334
95,43,2,0.8670991229958633,14.666666666666666
96,43,2,0.8670948603506522,14.666666666666666
97,44,2,0.8669208222470549,15.0
98,44,2,0.8668398732151388,15.0
99,44,2,0.8664845488286113,15.0
100,45,2,0.8663152114138378,15.333333333333334
101,45,2,0.8662763942277433,15.333333333333334
102,45,2,0.866236519890167,15.333333333333334
103,46,2,0.866189918995162,15.666666666666666
104,46,2,0.865862741303906,15.666666666666666
105,47,2,0.8648828265159662,16.0
106,48,2,0.864647960368621,16.333333333333332
107,48,2,0.8644101617747417,16.333333333333332
108,48,2,0.8643883995426014,16.333333333333332
109,48,2,0.8643229257925947,16.333333333333332
110,48,2,0.8640407824331351,16.333333333333332
111,49,2,0.8634213263553236,16.666666666666668
112,50,2,0.8632716623026666,17.0
113,51,2,0.8630888553556655,17.333333333333332
114,52,2,0.862822282998327,17.666666666666668
115,52,2,0.86277463374624,17.666666666666668
116,52,2,0.8626722214570037,17.666666666666668
117,52,2,0.8622569587728574,17.666666666666668
118,52,2,0.862156551545119,17.666666666666668
119,52,2,0.8620648978185335,17.666666666666668
120,52,2,0.8616181820181461,17.666666666666668
121,52,2,0.8610346000194271,17.666666666666668
122,52,2,0.8606928496078857,17.666666666666668
123,52,2,0.8604943502046272,17.666666666666668
124,52,2,0.8603197592633155,17.666666666666668
125,52,2,0.8598184783872712,17.666666666666668
126,53,2,0.859296699327391,18.0
127,53,2,0.8592833897664104,18.0
128,53,2,0.8592561576427523,18.0
129,53,2,0.8585520935333009,18.0
130,53,2,0.8578790554971231,18.0
131,54,2,0.8577476681805998,18.333333333333332
132,55,2,0.85733207780359,18.666666666666668
133,56,2,0.8571701730172681,19.0
134,57,2,0.8571451380670447,19.333333333333332
135,58,2,0.8564799547130862,19.666666666666668
136,59,2,0.8564590384639548,20.0
137,60,2,0.8563330035918015,20.333333333333332
138,61,2,0.8563146455246582,20.666666666666668
139,61,2,0.8558973763952831,20.666666666666668
140,62,2,0.8557582788319803,21.0
141,62,3,0.8555817294558687,15.75
142,63,3,0.8553195902698151,16.0
143,64,3,0.8544335233552808,16.25
144,64,3,0.8536690509272152,16.25
145,64,3,0.8536658867657366,16.25
146,64,3,0.8529801096823151,16.25
147,64,3,0.8528183799312984,16.25
148,64,3,0.8522012476307205,16.25
149,64,3,0.8519534063664983,16.25
150,64,3,0.8516256115023562,16.25
151,64,4,0.8498278165030568,13.0
152,64,4,0.8497724115133036,13.0
153,64,5,0.8497095857350192,10.833333333333334
154,64,6,0.8494898566623015,9.285714285714286
155,64,6,0.8494227161326585,9.285714285714286
156,64,6,0.8491158099971776,9.285714285714286
157,64,7,0.8483286957984649,8.125
158,64,7,0.848160007431242,8.125
159,65,7,0.8476420182601013,8.25
160,65,7,0.8475733730942122,8.25
161,65,7,0.8468489562020011,8.25
162,65,7,0.8468168599077668,8.25
163,65,7,0.8467050370006712,8.25
164,66,7,0.8460334261121885,8.375
165,66,8,0.8458318846812105,7.444444444444445
166,66,8,0.8457710877643864,7.444444444444445
167,66,8,0.8454252867692773,7.444444444444445
168,67,8,0.8451866400434149,7.555555555555555
169,67,8,0.8449169834599543,7.555555555555555
170,68,8,0.8446649591098763,7.666666666666667
171,68,8,0.8446040028759564,7.666666666666667
172,68,8,0.8445758378135921,7.666666666666667
173,69,8,0.8445253010064424,7.777777777777778
174,69,8,0.844472853963828,7.777777777777778
