order,cum_neg,cum_pos,pseudo_similarity,prop_fin
1,1,0,0.9227718016274657,2.0
2,2,0,0.9210080679956432,3.0
3,3,0,0.9183439613631772,4.0
4,4,0,0.9101097936849732,5.0
5,5,0,0.9098849334498507,6.0
6,6,0,0.9085301275835832,7.0
7,7,0,0.9085168009055904,8.0
8,8,0,0.90764464831472,9.0
9,9,0,0.9055471367499085,10.0
10,10,0,0.9046706858455204,11.0
11,11,0,0.9020307633300745,12.0
12,12,0,0.9008799432339394,13.0
13,13,0,0.900421029207584,14.0
14,14,0,0.899911053829607,15.0
15,15,0,0.8968309373920239,16.0
16,15,0,0.8929480775998919,16.0
17,16,0,0.8911257336084139,17.0
18,17,0,0.8886964607753246,18.0
19,18,0,0.8884203381706026,19.0
20,19,0,0.8871462170640593,20.0
21,20,0,0.8868923535978401,21.0
22,21,0,0.8862490183524266,22.0
23,22,0,0.8853698724903234,23.0
24,23,0,0.8851589919058406,24.0
25,24,0,0.88256134099164,25.0
26,25,0,0.8783101248375218,26.0
27,26,0,0.8776638452641843,27.0
28,27,0,0.8773352613690077,28.0
29,27,0,0.8764695946841631,28.0
30,28,0,0.8746200757446412,29.0
31,29,0,0.8690704563443549,30.0
32,29,0,0.8682935692870181,30.0
33,30,0,0.865753593468678,31.0
34,31,0,0.8655510378534533,32.0
35,32,0,0.8652292817551194,33.0
36,33,0,0.8637844259775828,34.0
37,34,0,0.86314011647889,35.0
38,35,0,0.8626671575844784,36.0
39,35,0,0.8537928424585381,36.0
40,36,0,0.8505115967276309,37.0
41,37,0,0.8500190434977045,38.0
42,37,0,0.8471071845012911,38.0
43,38,0,0.8470278554116596,39.0
44,39,0,0.8449219097911875,40.0
45,39,0,0.8429280060489956,40.0
46,39,0,0.8425742333152458,40.0
47,40,0,0.8412970617725993,41.0
48,41,0,0.8409573499350268,42.0
49,42,0,0.8404629379603292,43.0
50,43,0,0.8384678516087783,44.0
51,44,0,0.8359709182980725,45.0
52,45,0,0.8318989326130936,46.0
53,45,0,0.8305585257767013,46.0
54,46,0,0.8296330788018743,47.0
55,47,0,0.8283416016797798,48.0
56,48,0,0.8272980604471197,49.0
57,48,0,0.8263368546206975,49.0
58,49,0,0.8262636303880524,50.0
59,50,0,0.8259057847216846,51.0
60,51,0,0.8250163169562441,52.0
61,51,0,0.8224832891563284,52.0
62,51,0,0.8217376108400185,52.0
63,51,0,0.8205052907896458,52.0
64,51,0,0.8169975495616234,52.0
65,52,0,0.8132727978016612,53.0
66,52,0,0.812354849400398,53.0
67,52,0,0.8111807807582018,53.0
68,53,0,0.8106213298952263,54.0
69,54,0,0.8066301084043355,55.0
70,55,0,0.8050189610359098,56.0
71,56,0,0.803330691387456,57.0
72,57,0,0.8032919269736597,58.0
73,58,0,0.8004354344254192,59.0
74,59,0,0.7990931900219186,60.0
75,59,0,0.7939324631591702,60.0
76,60,0,0.7912955936177657,61.0
77,61,0,0.7886359039238608,62.0
78,62,0,0.7866340436920655,63.0
79,62,0,0.7815448251133863,63.0
80,63,0,0.7815169838540988,64.0
81,64,0,0.7807909423201236,65.0
82,64,0,0.7759648898283971,65.0
83,65,0,0.7754643052868482,66.0
84,66,0,0.7751765934527541,67.0
85,66,0,0.7742337713449358,67.0
86,66,0,0.7733692550139364,67.0
87,67,0,0.7723407126343236,68.0
88,67,0,0.7718177859600848,68.0
89,68,0,0.7708994847254188,69.0
90,68,0,0.7707433386592613,69.0
91,68,0,0.7678007955492414,69.0
92,69,0,0.7653281033282714,70.0
