order,cum_neg,cum_pos,pseudo_similarity,prop_fin
1,1,0,0.865910265615746,2.0
2,2,0,0.8520734320264481,3.0
3,3,0,0.849319845430877,4.0
4,4,0,0.8490502789900114,5.0
5,5,0,0.8477275752404677,6.0
6,6,0,0.8476031246435647,7.0
7,7,0,0.8407557505357459,8.0
8,8,0,0.8377001414154311,9.0
9,9,0,0.8374383655934984,10.0
10,10,0,0.8367990113263508,11.0
11,11,0,0.833183424220078,12.0
12,12,0,0.8331056355109906,13.0
13,13,0,0.8322101012798837,14.0
14,13,0,0.829668766651309,14.0
15,14,0,0.8288956088975975,15.0
16,15,0,0.8285382439017115,16.0
17,16,0,0.8264392681311712,17.0
18,17,0,0.8264388272631567,18.0
19,18,0,0.8260266304336865,19.0
20,19,0,0.8245345196681441,20.0
21,20,0,0.823296684005228,21.0
22,21,0,0.820955990675869,22.0
23,22,0,0.8174122379371551,23.0
24,23,0,0.8141950158196078,24.0
25,24,0,0.8136075267174241,25.0
26,25,0,0.8106292583346787,26.0
27,25,0,0.8102744990044519,26.0
28,26,0,0.8089874747678207,27.0
29,27,0,0.808697416559421,28.0
30,28,0,0.8072789074533523,29.0
31,29,0,0.8037659907912055,30.0
32,29,0,0.8036725493189547,30.0
33,30,0,0.8019987582583842,31.0
34,30,0,0.8010778844097951,31.0
35,30,0,0.7984576167719479,31.0
36,31,0,0.7971274058911488,32.0
37,32,0,0.79628429667336,33.0
38,33,0,0.7958272835246667,34.0
39,34,0,0.7931946888067596,35.0
40,35,0,0.7915358160277752,36.0
41,36,0,0.791394472724489,37.0
42,37,0,0.7900609822680222,38.0
43,38,0,0.7895239781344288,39.0
44,39,0,0.7883879228966818,40.0
45,39,0,0.7882432542574684,40.0
46,40,0,0.7874790220295333,41.0
47,41,0,0.7860995570248345,42.0
48,41,0,0.7854026812358563,42.0
49,42,0,0.7817584293066291,43.0
50,42,0,0.7807837139025293,43.0
51,42,0,0.7806198000467204,43.0
52,43,0,0.7805405220945707,44.0
53,43,0,0.7784639255169922,44.0
54,43,0,0.7774264646043432,44.0
55,44,0,0.7765326738113107,45.0
