order,cum_neg,cum_pos,pseudo_similarity,prop_fin
1,1,0,0.8454451856921676,2.0
2,2,0,0.8405654692376271,3.0
3,3,0,0.8358753564213092,4.0
4,4,0,0.8331214329983091,5.0
5,5,0,0.8273375763912001,6.0
6,6,0,0.8272215231548277,7.0
7,7,0,0.8267446374386007,8.0
8,8,0,0.8240372089396277,9.0
9,9,0,0.8210368210887229,10.0
10,10,0,0.8205334746126247,11.0
11,11,0,0.820223374701343,12.0
12,12,0,0.819351851688699,13.0
13,12,0,0.8177343944435206,13.0
14,13,0,0.8132679650291432,14.0
15,14,0,0.8118343480652763,15.0
16,15,0,0.8109056668994544,16.0
17,16,0,0.8085497089369693,17.0
18,17,0,0.8079311517884928,18.0
19,18,0,0.8049273189761212,19.0
20,19,0,0.8029725474920868,20.0
21,20,0,0.7995085481386027,21.0
22,21,0,0.7957696457571108,22.0
23,22,0,0.7940229013672342,23.0
24,23,0,0.7932927903244105,24.0
25,23,0,0.792485694671797,24.0
26,23,0,0.7921193201639485,24.0
27,24,0,0.7904164069165021,25.0
28,24,0,0.7891667569531395,25.0
29,25,0,0.7886343356507819,26.0
30,26,0,0.7874110938641488,27.0
31,27,0,0.7871174566488591,28.0
32,28,0,0.7868970970285545,29.0
33,29,0,0.7856352663482036,30.0
34,30,0,0.7843514795838924,31.0
35,31,0,0.7833262969521054,32.0
36,32,0,0.7802175006426726,33.0
37,33,0,0.7789432802660882,34.0
38,34,0,0.7733675330030468,35.0
39,34,0,0.7726827047082101,35.0
40,35,0,0.7723355480088124,36.0
41,35,0,0.7715469098958861,36.0
42,36,0,0.7712118917832156,37.0
43,37,0,0.7710106802040376,38.0
44,38,0,0.7705072442655286,39.0
45,39,0,0.7702481419686658,40.0
46,40,0,0.7698829762306063,41.0
47,41,0,0.7679021641185986,42.0
48,41,0,0.766463621109569,42.0
49,41,0,0.7661487664357933,42.0
50,42,0,0.7641555478373889,43.0
51,43,0,0.7631527124180433,44.0
52,43,0,0.7630818803492598,44.0
53,43,0,0.7630223791163527,44.0
54,43,0,0.7593768356353442,44.0
55,43,0,0.757924432506726,44.0
56,44,0,0.7535947563700853,45.0
57,45,0,0.7535611374889837,46.0
58,46,0,0.7535121779519802,47.0
59,46,0,0.7510802785259981,47.0
60,47,0,0.7491899699599202,48.0
61,48,0,0.7488453451921092,49.0
62,49,0,0.7471058941143567,50.0
63,50,0,0.7456167217465162,51.0
64,50,0,0.7434186515846171,51.0
65,51,0,0.7433462820507358,52.0
66,51,0,0.7432508317068607,52.0
67,52,0,0.7425148315253776,53.0
68,53,0,0.7422184387075506,54.0
69,54,0,0.7390333159578247,55.0
70,54,0,0.7379975045042777,55.0
71,55,0,0.7330893713428475,56.0
72,55,0,0.7317042283892653,56.0
73,56,0,0.7307391375782107,57.0
74,57,0,0.7281278449413213,58.0
75,58,0,0.7272585529453484,59.0
76,59,0,0.7267733150384506,60.0
77,59,0,0.7220323352412328,60.0
78,60,0,0.7187782265680824,61.0
79,61,0,0.7172615469435296,62.0
80,62,0,0.71656072288306,63.0
81,63,0,0.715847007152318,64.0
82,64,0,0.7157034714602497,65.0
83,64,0,0.7156727878331617,65.0
84,65,0,0.7140178124012635,66.0
85,65,0,0.7135447237406516,66.0
86,66,0,0.7092892713098122,67.0
87,67,0,0.7087450746344357,68.0
88,68,0,0.7080712839948198,69.0
89,68,0,0.7078697640640519,69.0
90,68,0,0.7059405255025768,69.0
91,69,0,0.7054038960486233,70.0
92,70,0,0.7050519092186114,71.0
93,70,0,0.7030740548946006,71.0
94,70,0,0.6992327717451471,71.0
95,70,0,0.6988715667925127,71.0
96,71,0,0.6975016574328031,72.0
97,72,0,0.696161740147542,73.0
98,72,0,0.6950095337686201,73.0
99,72,0,0.6948444284390012,73.0
100,72,0,0.6937093795081033,73.0
101,72,0,0.6936701404131436,73.0
102,72,0,0.693277024982774,73.0
103,73,0,0.6927724947309475,74.0
104,74,0,0.6909072922995991,75.0
105,74,0,0.6906064829321565,75.0
106,75,0,0.688742579201618,76.0
107,76,0,0.6868320483744258,77.0
108,76,0,0.6866257803426818,77.0
109,76,0,0.6866128661096584,77.0
110,76,0,0.6860923992408683,77.0
111,76,0,0.6852738863715345,77.0
112,76,0,0.6849671835383662,77.0
113,76,0,0.6847478833155991,77.0
114,76,0,0.6844189727432997,77.0
115,76,0,0.6816951562230416,77.0
116,76,0,0.6815342564414552,77.0
117,77,0,0.6807789429477482,78.0
118,77,0,0.6804535132115971,78.0
119,77,0,0.6776954976409726,78.0
120,77,0,0.6773285425629505,78.0
121,78,0,0.6752380320282159,79.0
122,78,0,0.6750525007900948,79.0
123,79,0,0.6735599095140272,80.0
124,79,0,0.6733775467693375,80.0
125,79,0,0.6730547116734058,80.0
126,79,0,0.6723163088021672,80.0
127,79,0,0.671283289193277,80.0
128,80,0,0.6711288263718366,81.0
129,81,0,0.6711183449552367,82.0
130,82,0,0.6706876077226902,83.0
131,83,0,0.6705471122206519,84.0
132,83,0,0.6697974189749867,84.0
133,83,0,0.6689591961617709,84.0
134,83,0,0.6684197326340957,84.0
135,83,0,0.6680224005415543,84.0
136,84,0,0.667916641395454,85.0
137,84,0,0.6677187736554504,85.0
138,85,0,0.6664617695280112,86.0
139,85,0,0.6658377604650763,86.0
140,86,0,0.6655110997402096,87.0
141,86,0,0.6653103748581576,87.0
142,87,0,0.665163423683486,88.0
143,87,0,0.6648979302126723,88.0
144,87,0,0.664752308159007,88.0
145,87,0,0.6646023277187059,88.0
146,87,0,0.664254191578189,88.0
147,88,0,0.6620485008669789,89.0
148,89,0,0.6620271566216416,90.0
149,89,0,0.6602417136984968,90.0
150,89,0,0.6588448166566805,90.0
151,89,0,0.6583685482178423,90.0
152,89,0,0.6577746121767618,90.0
153,89,0,0.6563643770431916,90.0
154,89,0,0.6553829223992461,90.0
155,89,1,0.6537857242065567,45.0
156,89,1,0.6535759895086324,45.0
157,89,1,0.652170512753625,45.0
158,89,1,0.6518994550269144,45.0
159,89,1,0.6515389331684207,45.0
160,89,1,0.6512117358238512,45.0
161,89,1,0.6509691312979504,45.0
162,90,1,0.6496012602101691,45.5
163,91,1,0.6483963664939518,46.0
164,91,1,0.6474380823063389,46.0
165,92,1,0.6470775696479903,46.5
166,92,2,0.64705614470013,31.0
167,92,2,0.6457716871940907,31.0
168,92,2,0.6451566746237917,31.0
169,92,2,0.6448340577570529,31.0
170,92,2,0.6444084804830069,31.0
171,92,2,0.6442787679924291,31.0
172,92,2,0.6441596309071004,31.0
173,92,2,0.6440798377175484,31.0
174,92,2,0.6422373550433551,31.0
175,92,2,0.6417711216471425,31.0
176,92,2,0.6391747088413062,31.0
177,93,2,0.6384864293531455,31.333333333333332
178,93,2,0.6377549857350535,31.333333333333332
179,93,2,0.6370107359168892,31.333333333333332
180,94,2,0.6362100467895893,31.666666666666668
