order,cum_neg,cum_pos,pseudo_similarity,prop_fin
1,1,0,0.8197255736866201,2.0
2,2,0,0.8090572930765715,3.0
3,3,0,0.8068051696537487,4.0
4,4,0,0.8051809981708185,5.0
5,5,0,0.8044569481003296,6.0
6,6,0,0.7995487125663219,7.0
7,7,0,0.7983893879511749,8.0
8,8,0,0.7971975852300539,9.0
9,9,0,0.7970718089445858,10.0
10,10,0,0.7931101919474848,11.0
11,11,0,0.7925533897378517,12.0
12,12,0,0.7924063497772366,13.0
13,13,0,0.78965211629231,14.0
14,14,0,0.7894093768102399,15.0
15,14,0,0.7890584659890492,15.0
16,15,0,0.7866461504832407,16.0
17,16,0,0.7806333314192088,17.0
18,17,0,0.7797962215447839,18.0
19,18,0,0.7785945658560314,19.0
20,18,0,0.7770385490011524,19.0
21,18,0,0.7768791646900016,19.0
22,19,0,0.776259287134514,20.0
23,20,0,0.7759362342830348,21.0
24,21,0,0.7746224002064929,22.0
25,22,0,0.7729585469809481,23.0
26,23,0,0.7720221512419836,24.0
27,24,0,0.770431277041501,25.0
28,25,0,0.770327994237472,26.0
29,26,0,0.7699867439090515,27.0
30,26,0,0.7697288539665663,27.0
31,27,0,0.7692953384916303,28.0
32,28,0,0.7676172163441923,29.0
33,29,0,0.7643427621938431,30.0
34,30,0,0.7607003096649169,31.0
35,31,0,0.7601999297996906,32.0
36,32,0,0.7598614039158106,33.0
37,33,0,0.7595430551660947,34.0
38,34,0,0.7583604163940226,35.0
39,34,0,0.7560190451402768,35.0
40,35,0,0.7551347130423716,36.0
41,36,0,0.7519136213797989,37.0
42,37,0,0.7517926769118218,38.0
43,37,0,0.7517893871351343,38.0
44,37,0,0.7496706953553437,38.0
45,38,0,0.748616611089624,39.0
46,39,0,0.7483219892964393,40.0
47,40,0,0.7479946657389782,41.0
48,41,0,0.7464307485441816,42.0
49,41,0,0.7453577564414342,42.0
50,42,0,0.7406073792855615,43.0
51,43,0,0.7386012562464892,44.0
52,44,0,0.7373723277277451,45.0
53,45,0,0.7363928602621892,46.0
54,46,0,0.7362150425405394,47.0
55,47,0,0.7328492758378804,48.0
56,47,0,0.731513146880309,48.0
57,48,0,0.7315068520404797,49.0
58,49,0,0.7306725347811123,50.0
59,49,0,0.7300247212228833,50.0
60,49,0,0.7297974051915589,50.0
61,49,0,0.7285893547293849,50.0
62,49,0,0.7239298386915454,50.0
63,49,0,0.7238794846396253,50.0
64,50,0,0.7236724110402715,51.0
65,50,0,0.7230831804209019,51.0
66,50,0,0.7225244574777405,51.0
67,51,0,0.7194199063997171,52.0
68,52,0,0.7181576808379835,53.0
69,53,0,0.7176656913230679,54.0
70,54,0,0.7116762936995236,55.0
71,54,0,0.7104295197723659,55.0
72,55,0,0.7079998033768923,56.0
73,56,0,0.7032574867552207,57.0
74,56,0,0.7032309207927141,57.0
75,57,0,0.7032281035995871,58.0
76,57,0,0.702212662568692,58.0
77,57,0,0.6994854429207145,58.0
78,58,0,0.6993797899999986,59.0
79,59,0,0.6991655724882913,60.0
80,60,0,0.6975060580555716,61.0
81,61,0,0.6974938100352425,62.0
82,62,0,0.696584271279068,63.0
83,63,0,0.6964005671131224,64.0
84,64,0,0.6959080671465263,65.0
85,65,0,0.6958200130018557,66.0
86,65,0,0.6950034919167027,66.0
87,66,0,0.6936045098344159,67.0
88,67,0,0.693148295592043,68.0
89,68,0,0.6871733229496279,69.0
90,69,0,0.6871617705298588,70.0
91,70,0,0.6866691800779299,71.0
92,71,0,0.6857658316932558,72.0
93,72,0,0.6821428077745912,73.0
94,73,0,0.6812597519330771,74.0
95,73,0,0.6809569401270625,74.0
96,73,0,0.680191752218847,74.0
97,73,0,0.6798549935707576,74.0
98,74,0,0.6790908389245116,75.0
99,74,0,0.6770656880689485,75.0
100,74,0,0.6744306519297786,75.0
101,74,0,0.6741912511805715,75.0
102,74,0,0.6741237956988706,75.0
103,74,0,0.6729847887350829,75.0
104,75,0,0.6729129226891895,76.0
105,75,0,0.6713049960821166,76.0
106,75,0,0.6710971273745123,76.0
107,75,0,0.6710930446555131,76.0
108,75,0,0.6706384846045652,76.0
109,75,0,0.6693499439208798,76.0
110,75,0,0.6692921523630635,76.0
111,76,0,0.6677844195230609,77.0
112,76,0,0.667497675052064,77.0
113,76,0,0.6668055498309731,77.0
114,76,0,0.6648636011196065,77.0
115,76,0,0.6645536564513026,77.0
116,76,0,0.6642031228334736,77.0
117,76,0,0.6631200034191121,77.0
118,76,0,0.661666356339248,77.0
119,77,0,0.6616081194183709,78.0
120,78,0,0.6597909171244065,79.0
121,78,0,0.6594876490926413,79.0
122,78,0,0.6594246249908815,79.0
123,78,0,0.6592582754441977,79.0
124,78,0,0.6592202756819557,79.0
125,78,0,0.6586590327323124,79.0
126,79,0,0.6584384928085766,80.0
127,80,0,0.6574302714890324,81.0
128,80,0,0.6571384084290006,81.0
129,80,0,0.656118788045273,81.0
130,80,0,0.655500480800156,81.0
131,81,0,0.6554850656271529,82.0
132,81,0,0.6551371146201459,82.0
133,81,0,0.6548820992889877,82.0
134,81,0,0.6544283114020064,82.0
135,82,0,0.654341216050936,83.0
136,83,0,0.6538354410154543,84.0
137,84,0,0.6536754605837374,85.0
138,84,0,0.6518722669703059,85.0
139,85,0,0.6516216669072135,86.0
140,86,0,0.6512740012407573,87.0
141,87,0,0.6505677883614396,88.0
142,87,0,0.6505647351785222,88.0
143,87,0,0.649754654113136,88.0
144,87,1,0.6490665292997044,44.0
145,87,1,0.6488964994735261,44.0
146,87,1,0.6477140103422439,44.0
147,87,1,0.6463065553306829,44.0
148,87,1,0.6458424648754436,44.0
149,87,1,0.6455295539555024,44.0
150,87,1,0.6447406689511748,44.0
151,88,1,0.6440269946468242,44.5
152,89,1,0.6435119047457041,45.0
153,89,1,0.6406365636283695,45.0
154,90,1,0.6397400277798395,45.5
155,90,1,0.6397383634942537,45.5
156,90,1,0.6384112182997201,45.5
157,90,1,0.6378335078635914,45.5
158,90,1,0.6371917439008363,45.5
159,90,1,0.6371832758065241,45.5
160,90,1,0.6369075062627221,45.5
161,90,1,0.6362789855594329,45.5
162,90,1,0.6321044454627732,45.5
163,90,1,0.6320880950124779,45.5
164,90,2,0.6305424665991224,30.333333333333332
165,90,2,0.6304338607285465,30.333333333333332
166,90,2,0.6304311398888759,30.333333333333332
167,90,2,0.629807921466371,30.333333333333332
168,90,2,0.6296078921846712,30.333333333333332
169,90,2,0.6289833527182807,30.333333333333332
170,90,2,0.6284604233734676,30.333333333333332
171,91,2,0.6271421831288044,30.666666666666668
172,91,2,0.6266038668323954,30.666666666666668
173,91,2,0.626596736119468,30.666666666666668
174,91,2,0.6263767859015111,30.666666666666668
175,92,2,0.6246951967305016,31.0
176,93,2,0.6242072604436582,31.333333333333332
177,93,2,0.6241062799074,31.333333333333332
178,93,2,0.6196353598348892,31.333333333333332
179,93,3,0.6193237276772084,23.5
180,93,4,0.619247909999852,18.8
181,93,4,0.6189157240526244,18.8
182,93,4,0.6169862543898136,18.8
183,93,4,0.6163037371071882,18.8
184,93,4,0.6148377496441932,18.8
185,93,4,0.6145610975517493,18.8
186,93,4,0.6139852421477865,18.8
187,93,4,0.6138032405155778,18.8
188,94,4,0.6137444825663587,19.0
189,94,4,0.6126527174273654,19.0
190,94,4,0.6118519407968721,19.0
191,94,4,0.6102464383634808,19.0
192,94,4,0.6097924420136823,19.0
193,94,4,0.6078324522858236,19.0
194,94,4,0.606847291799676,19.0
195,94,4,0.6060700403172571,19.0
196,94,4,0.6057917515746872,19.0
197,95,4,0.6054246253826095,19.2
198,95,4,0.6049422232175,19.2
199,95,4,0.6048819213585949,19.2
200,95,4,0.6048656435853962,19.2
201,95,4,0.6044633143079776,19.2
202,95,5,0.6028155565100122,16.0
203,95,6,0.6015890223648075,13.714285714285714
204,95,6,0.6006662237295126,13.714285714285714
205,95,6,0.6005426338809321,13.714285714285714
206,95,6,0.5988643291010034,13.714285714285714
207,95,7,0.5984433756324012,12.0
208,95,7,0.5982850909285424,12.0
209,95,7,0.5977581331898542,12.0
210,96,7,0.597599063148363,12.125
211,96,7,0.5975241403951562,12.125
212,96,7,0.5974610694711825,12.125
213,97,7,0.5974497912825933,12.25
214,97,7,0.5972731040024979,12.25
215,97,7,0.5969514308646242,12.25
216,97,7,0.5966518312570466,12.25
217,97,7,0.5966504906017047,12.25
218,97,7,0.5954399341957008,12.25
219,97,8,0.5943972908091066,10.88888888888889
220,97,8,0.5936719446955554,10.88888888888889
221,97,8,0.5919855856475702,10.88888888888889
222,98,8,0.5909849712464982,11.0
223,98,8,0.5909665775405296,11.0
224,98,8,0.5903170382724324,11.0
225,98,8,0.5898061579496152,11.0
226,98,8,0.5891151880703374,11.0
227,98,8,0.5889412114368198,11.0
228,98,8,0.5871595790063108,11.0
229,98,8,0.5865892802679608,11.0
230,98,8,0.5852490812915765,11.0
231,98,8,0.5851634558712719,11.0
232,98,8,0.5833090173104241,11.0
233,98,8,0.5831933350964491,11.0
234,99,8,0.5805127150430907,11.11111111111111
235,100,8,0.5792358273790441,11.222222222222221
236,100,8,0.5789893517998804,11.222222222222221
237,101,8,0.5778576003629601,11.333333333333334
238,101,9,0.5775961305597919,10.2
239,101,9,0.575404876369906,10.2
240,102,9,0.570754401198982,10.3
241,102,9,0.5695337572266825,10.3
242,102,9,0.5691523496354869,10.3
243,102,9,0.5690302454331457,10.3
244,102,9,0.5681992139608247,10.3
245,102,9,0.56713776325685,10.3
246,102,9,0.5667109367115153,10.3
247,102,9,0.566598290993589,10.3
248,102,9,0.5665370966524439,10.3
249,102,9,0.5656268536496727,10.3
250,102,10,0.5652809848320163,9.363636363636363
251,102,10,0.5631915567322958,9.363636363636363
252,102,10,0.5631502026775883,9.363636363636363
253,102,10,0.5627643302527496,9.363636363636363
254,102,10,0.5621010102665276,9.363636363636363
255,102,10,0.5613483498693064,9.363636363636363
256,102,10,0.5599207494921138,9.363636363636363
257,102,10,0.5595991714870243,9.363636363636363
258,102,10,0.5592667549480788,9.363636363636363
259,102,10,0.5588612864296483,9.363636363636363
260,102,10,0.5580766635614093,9.363636363636363
261,103,10,0.5575335999900073,9.454545454545455
262,104,10,0.5574049003523256,9.545454545454545
263,104,11,0.5568917378836029,8.75
264,104,11,0.5558401941819073,8.75
265,104,11,0.5534436159896399,8.75
266,104,11,0.5533328766007061,8.75
267,104,11,0.5529620389533816,8.75
268,104,11,0.5529072818703971,8.75
269,104,11,0.552435799983488,8.75
270,104,11,0.5522742132679099,8.75
271,104,12,0.5520216487450599,8.076923076923077
272,104,12,0.5511650021646424,8.076923076923077
273,104,12,0.5509885785361639,8.076923076923077
274,104,12,0.5505768235526114,8.076923076923077
275,104,12,0.5492277192878454,8.076923076923077
276,104,12,0.5486864036290455,8.076923076923077
277,104,12,0.5482783510912486,8.076923076923077
278,104,12,0.5480686002959196,8.076923076923077
279,104,12,0.54659992567355,8.076923076923077
280,104,12,0.5462619355405324,8.076923076923077
281,104,13,0.5451308199596113,7.5
282,105,13,0.5450664503701086,7.571428571428571
283,105,14,0.5442962193505092,7.066666666666666
284,105,14,0.5441557275746216,7.066666666666666
285,106,14,0.5433893533541793,7.133333333333334
286,106,14,0.5430625231745401,7.133333333333334
287,106,14,0.5416964204136538,7.133333333333334
288,107,14,0.5409224074305989,7.2
289,107,14,0.5396628017210829,7.2
290,107,15,0.5391637547680586,6.75
291,107,15,0.5388197058461646,6.75
292,107,15,0.5388152307426266,6.75
293,107,15,0.5382544768388375,6.75
294,107,15,0.537926733238854,6.75
295,107,15,0.5376726824062953,6.75
296,107,15,0.5372427773181645,6.75
297,107,16,0.5365502052717084,6.352941176470588
298,107,16,0.5355010492531582,6.352941176470588
299,107,16,0.5352640990407904,6.352941176470588
300,107,16,0.5347414752129207,6.352941176470588
301,107,16,0.5330400003456075,6.352941176470588
302,107,16,0.5323468575593029,6.352941176470588
303,107,16,0.5304287879045699,6.352941176470588
304,107,16,0.5286697365174222,6.352941176470588
305,107,17,0.5283084680576416,6.0
306,107,17,0.5277324180793623,6.0
307,107,17,0.5269246869845984,6.0
308,107,17,0.5256190945962492,6.0
309,107,18,0.5254481461508853,5.684210526315789
310,107,18,0.5251508869325453,5.684210526315789
311,107,19,0.5246573476734182,5.4
312,107,19,0.524379075958701,5.4
313,107,19,0.5237946571249976,5.4
314,107,19,0.5227209747317254,5.4
315,107,19,0.5225780133112795,5.4
316,107,19,0.5223184390702957,5.4
317,107,19,0.5222662321715117,5.4
318,107,20,0.5205955786901566,5.142857142857143
319,107,20,0.5189494855697052,5.142857142857143
320,107,21,0.5187787921200406,4.909090909090909
321,108,21,0.5183793288791536,4.954545454545454
322,108,21,0.51803393697383,4.954545454545454
323,108,21,0.5166758927510755,4.954545454545454
324,108,21,0.5165027155147431,4.954545454545454
325,108,21,0.5164957360397283,4.954545454545454
326,109,21,0.5164731124792361,5.0
327,109,21,0.5162869524958678,5.0
328,109,21,0.5152504760709489,5.0
329,109,21,0.5147863336470262,5.0
330,109,21,0.5141270667966573,5.0
331,109,21,0.513913437412121,5.0
332,109,21,0.5124590579298036,5.0
333,109,21,0.512438053738189,5.0
334,109,21,0.5119619234465621,5.0
335,109,21,0.5116097952780676,5.0
336,109,21,0.5113889261792828,5.0
337,109,21,0.5110682826001346,5.0
338,109,21,0.5110534628190878,5.0
339,109,21,0.5107095115625484,5.0
340,109,21,0.5099124769803642,5.0
341,109,22,0.5092057262458922,4.782608695652174
342,109,22,0.5087167830842829,4.782608695652174
343,109,22,0.5082216973128009,4.782608695652174
344,109,22,0.5080675566561322,4.782608695652174
345,109,22,0.505674669553411,4.782608695652174
346,109,22,0.5054177630254582,4.782608695652174
347,109,22,0.5051560320193937,4.782608695652174
348,109,22,0.5042269189987036,4.782608695652174
349,109,22,0.5032706693528918,4.782608695652174
350,109,23,0.5031987769556581,4.583333333333333
351,109,23,0.503178795749458,4.583333333333333
352,109,23,0.5021088976505427,4.583333333333333
353,109,23,0.5008816811379904,4.583333333333333
354,109,23,0.5002204047855071,4.583333333333333
355,109,24,0.4983010907604596,4.4
356,109,24,0.4974434898393706,4.4
357,109,25,0.49688971018426153,4.230769230769231
358,109,25,0.4961509529779946,4.230769230769231
