order,cum_neg,cum_pos,pseudo_similarity,prop_fin
1,1,0,0.8648539140824418,2.0
2,2,0,0.8578477922663238,3.0
3,2,0,0.8563621428468526,3.0
4,2,1,0.8353166048675275,1.5
5,3,1,0.8334175103594661,2.0
6,3,2,0.8291824026194144,1.3333333333333333
7,3,2,0.8284284788428441,1.3333333333333333
8,3,2,0.8265188657245282,1.3333333333333333
9,4,2,0.8245919659223779,1.6666666666666667
10,4,2,0.8225424595259085,1.6666666666666667
11,5,2,0.8224925514178819,2.0
12,6,2,0.8224742922940794,2.3333333333333335
13,7,2,0.8178640631357081,2.6666666666666665
14,8,2,0.8176962393556539,3.0
15,9,2,0.8169942693462073,3.3333333333333335
16,9,2,0.8160883274580147,3.3333333333333335
17,9,2,0.8156883821672848,3.3333333333333335
18,10,2,0.8155498663176738,3.6666666666666665
19,11,2,0.8151880926244011,4.0
20,12,2,0.8139093342484593,4.333333333333333
21,13,2,0.8114749204274427,4.666666666666667
22,13,2,0.8111682652040707,4.666666666666667
23,13,2,0.8107262292854395,4.666666666666667
24,14,2,0.8101880474816237,5.0
25,15,2,0.809890050279446,5.333333333333333
26,15,2,0.8096951587502649,5.333333333333333
27,16,2,0.8095252783655913,5.666666666666667
28,16,2,0.8094726327015407,5.666666666666667
29,16,2,0.8093324154556047,5.666666666666667
30,17,2,0.8084527466017559,6.0
31,18,2,0.8081013246595734,6.333333333333333
32,18,2,0.8070595191691746,6.333333333333333
33,19,2,0.8046808503834475,6.666666666666667
34,19,2,0.8042650532004145,6.666666666666667
35,20,2,0.8042166575523771,7.0
36,21,2,0.8034505026347817,7.333333333333333
37,21,2,0.8030714338868177,7.333333333333333
38,21,2,0.8029920185039405,7.333333333333333
39,21,3,0.8020962469805987,5.5
40,21,3,0.8019294115145528,5.5
41,21,3,0.8008163005915718,5.5
42,22,3,0.8004312672567935,5.75
43,23,3,0.8003261869408947,6.0
44,24,3,0.8002153851777642,6.25
45,25,3,0.7995591080031298,6.5
46,25,4,0.7992762088710825,5.2
47,25,4,0.7984582901289827,5.2
48,25,4,0.7982038907433429,5.2
49,25,4,0.7978351247799813,5.2
50,25,4,0.7976054175442022,5.2
51,25,4,0.7967619232813035,5.2
52,26,4,0.7965766666446968,5.4
53,27,4,0.7959339286739382,5.6
54,28,4,0.7955725240603051,5.8
55,28,4,0.7955060956723679,5.8
56,29,4,0.794990153835766,6.0
57,30,4,0.7947014772778005,6.2
58,31,4,0.7928485291811829,6.4
59,32,4,0.7925811345671541,6.6
60,32,4,0.7921589886375123,6.6
61,32,4,0.7920510777236122,6.6
62,32,4,0.7907538312194193,6.6
63,32,4,0.7906784137870503,6.6
64,33,4,0.7906745021767871,6.8
65,33,4,0.7879748534656981,6.8
66,33,4,0.7864099230396548,6.8
67,33,4,0.7847652347190203,6.8
68,33,4,0.7841303162736332,6.8
69,33,4,0.7839445524062723,6.8
70,33,4,0.7835635819700884,6.8
71,34,4,0.783251315918635,7.0
72,35,4,0.7821795327210918,7.2
73,36,4,0.7812662923209923,7.4
74,36,4,0.7806274253406679,7.4
75,36,4,0.7798950356220931,7.4
76,37,4,0.779857298134295,7.6
77,38,4,0.7795869058225766,7.8
78,38,4,0.7793108750969445,7.8
79,38,4,0.7792097053111857,7.8
80,38,5,0.7791710418577263,6.5
81,39,5,0.7769999123018558,6.666666666666667
82,39,5,0.7769038714409788,6.666666666666667
83,39,5,0.7740545242885168,6.666666666666667
84,39,5,0.7739655982300225,6.666666666666667
85,39,5,0.7729246308263672,6.666666666666667
86,39,5,0.7727504450489117,6.666666666666667
87,39,5,0.7726184725677995,6.666666666666667
88,40,5,0.7724820519597,6.833333333333333
89,40,5,0.7723834982285646,6.833333333333333
90,40,5,0.7703018112214055,6.833333333333333
91,40,5,0.7696780893723374,6.833333333333333
92,40,5,0.7696602530445305,6.833333333333333
93,41,5,0.7680326388412253,7.0
94,41,5,0.767991706962551,7.0
95,41,5,0.767739820635268,7.0
