Expression,Group
-1.3948339482829386,1-100
0.5689335600372994,1-100
0.5681751501181747,1-100
0.5676031772428869,1-100
0.5672018882388016,1-100
0.5659608098291808,1-100
0.5568734947304277,1-100
0.5524791557958696,1-100
0.5467431500068705,1-100
0.5446014780003952,1-100
0.5437081475474428,1-100
0.5419039877100351,1-100
0.5417032259333997,1-100
0.5267886787159972,1-100
0.5212214961123205,1-100
0.5691677422465706,1-100
0.5207223804308154,1-100
0.5150093841577018,1-100
0.5135881674959879,1-100
0.49343797026560476,1-100
0.4932331847773811,1-100
0.49136278223400764,1-100
0.483282129306009,1-100
0.4802823499699773,1-100
0.47592666153669694,1-100
0.46469635120548325,1-100
0.46228175558158735,1-100
0.4588535961092476,1-100
0.44585047216592877,1-100
0.44376952720503754,1-100
0.43648289296842313,1-100
0.5195839211229798,1-100
0.4249010561646214,1-100
0.5695964870928436,1-100
0.5781738364642716,1-100
0.6792912718179529,1-100
0.6770461107923478,1-100
0.6756172292260486,1-100
0.6753392672490965,1-100
0.672741308163235,1-100
0.6698006605151874,1-100
0.6666298243718247,1-100
0.6665217430248964,1-100
0.6597162510573702,1-100
0.6596477763840796,1-100
0.653132385097497,1-100
0.6509607512296778,1-100
0.6366166613953246,1-100
0.6334553667330263,1-100
0.5711329467271762,1-100
0.6314694648043944,1-100
0.617109037448601,1-100
0.6156207878363683,1-100
0.6144949690491868,1-100
0.6131986699530707,1-100
0.6010593459705684,1-100
0.5998286647239595,1-100
0.5986918165169988,1-100
0.596895838540509,1-100
0.5919506044798899,1-100
0.5902151482921658,1-100
0.5888973911400055,1-100
0.5872985689627945,1-100
0.5848837061866476,1-100
0.5833683247560495,1-100
0.6226063350903716,1-100
0.422217622012397,1-100
0.4151972670478944,1-100
0.4122154156239405,1-100
0.27157800811743316,1-100
0.26934741403826407,1-100
0.26922152688905615,1-100
0.26542142302313854,1-100
0.26384430402394243,1-100
0.26003592435353856,1-100
0.2591475970170817,1-100
0.257957046712001,1-100
0.25514706203243637,1-100
0.25366034217674027,1-100
0.2473790293956751,1-100
0.22388381663298473,1-100
0.22244303513110272,1-100
0.22131820566422442,1-100
0.27266228582346935,1-100
0.22121118737774093,1-100
0.2182634189140176,1-100
0.2179028491811423,1-100
0.21192692873594896,1-100
0.2111090707373862,1-100
0.20785895202232826,1-100
0.2039424671338304,1-100
0.20068622960011293,1-100
0.2004458598624534,1-100
0.20015545368690765,1-100
0.18199291856366442,1-100
0.17696737093054712,1-100
0.17418008947782362,1-100
0.16805765387239474,1-100
0.16395811822183254,1-100
0.2204802814582723,1-100
0.2773132529074368,101-200
0.27787984960068673,101-200
0.28242222045794074,101-200
0.4063269695048015,101-200
0.4041812071514992,101-200
0.39720727179479814,101-200
0.39484720515844407,101-200
0.37547810143236526,101-200
0.368266191089198,101-200
0.3677181594052719,101-200
0.3649798150240633,101-200
0.3624399349663882,101-200
0.36022714238237524,101-200
0.35506740403524967,101-200
0.35444553659762384,101-200
0.3538596886378489,101-200
0.35340289921750173,101-200
0.3523452278405087,101-200
0.34958436627149336,101-200
0.3469942853771735,101-200
0.2936779419474856,101-200
0.2958471996134146,101-200
0.3029903470636826,101-200
0.3032864399242641,101-200
0.30355014812125863,101-200
0.3140438382815103,101-200
0.679950194622863,101-200
0.32628788252166996,101-200
0.33005463941404345,101-200
0.3337874493287243,101-200
0.33762012418777015,101-200
0.33882376085229204,101-200
0.3401927040621195,101-200
0.34628180714195794,101-200
0.3284095337240397,101-200
0.6809816381567542,101-200
0.6822646000732211,101-200
0.6886547846381111,101-200
1.0873265629138675,101-200
1.0804346672133118,101-200
1.0748271694003535,101-200
1.0716543009387203,101-200
1.0690005356812635,101-200
1.0627524225494496,101-200
1.0449697129394524,101-200
1.039789473249454,101-200
1.0366502560186615,101-200
1.0362665986720574,101-200
1.0347177188616503,101-200
1.0285000824188917,101-200
1.0018629852200127,101-200
0.9987045947555357,101-200
1.0882793155939643,101-200
0.9965209554420562,101-200
0.993056550255027,101-200
0.990819132224808,101-200
0.9821621079841333,101-200
0.9816928262923125,101-200
0.9782497254755173,101-200
0.9766688917223196,101-200
0.9587772999360014,101-200
0.9529003306592886,101-200
0.9486980628703406,101-200
0.9482388833121435,101-200
0.9460869783868263,101-200
0.9432432317022511,101-200
0.9427856026667928,101-200
0.9420637371329282,101-200
0.9943003535010265,101-200
1.0905468148768889,101-200
1.0968607180658907,101-200
1.1067556190546564,101-200
1.3783526614286568,101-200
1.372041191427,101-200
1.368886672914847,101-200
1.362217420681025,101-200
1.351546715339662,101-200
1.3144526645110393,101-200
1.305168885859654,101-200
1.297963839411517,101-200
1.2894677681292661,101-200
1.2842416540217265,101-200
1.2389688896638718,101-200
1.226804631264157,101-200
1.2155287512294117,101-200
1.2147184063322485,101-200
1.2099476002844944,101-200
1.1895032203983789,101-200
1.1851241113651632,101-200
1.106926021910886,101-200
1.1115677051285269,101-200
1.1140973275707236,101-200
1.1216770092146262,101-200
1.134916720199158,101-200
1.1384711609782214,101-200
0.938274007869104,101-200
1.1388849986131295,101-200
1.156703342331722,101-200
1.159856168898188,101-200
1.1733113172258214,101-200
1.1745980232276236,201-300
1.1769089120850562,201-300
1.1827850788686387,201-300
1.154393169244073,201-300
0.15934412072029802,201-300
0.9287311049031446,201-300
0.917609451150827,201-300
0.8046531518900271,201-300
0.7974944536810016,201-300
0.7951206936919828,201-300
0.7926041775681085,201-300
0.7907161740224516,201-300
0.7906530508477077,201-300
0.7905600030011035,201-300
0.7885606700914546,201-300
0.7881598517799495,201-300
0.7857007078401945,201-300
0.7848027276812968,201-300
0.7773872728363824,201-300
0.7759540617029226,201-300
0.7710652987115243,201-300
0.8115352337940946,201-300
0.7622948429030848,201-300
0.7453200712486581,201-300
0.7174360615641513,201-300
0.7163444743253443,201-300
0.7141494453967177,201-300
0.7137045405306162,201-300
0.7134270521175563,201-300
0.7127742251177102,201-300
0.7043380576889253,201-300
0.7023759353802635,201-300
0.7022265380980544,201-300
0.7015059190869083,201-300
0.696335304986532,201-300
0.6928245212339891,201-300
0.6925903595489266,201-300
0.7588647955924648,201-300
0.8151361793578266,201-300
0.8184182147542305,201-300
0.8187108264941388,201-300
0.916966507188701,201-300
0.9166457043333165,201-300
0.9109916141097312,201-300
0.9099886281662392,201-300
0.9059738077396702,201-300
0.9052259908102533,201-300
0.8999008547580575,201-300
0.8947890751319962,201-300
0.8902693527794506,201-300
0.8897949936952599,201-300
0.8889843484973559,201-300
0.8883740487989578,201-300
0.8864256961356816,201-300
0.8834017498563489,201-300
0.882798454560576,201-300
0.8768301056611802,201-300
0.8749010368861138,201-300
0.822168010252995,201-300
