removed_top_n,mean_remaining
1,-1.1749859920623569
2,-1.174535683287479
3,-1.174269396746637
4,-1.17412125606202
5,-1.173448798877769
6,-1.1734567408107441
7,-1.1734681595914565
8,-1.1735128107204431
9,-1.1729726682602772
10,-1.172541934743378
11,-1.1729707165848187
12,-1.1728409265212898
13,-1.172613772068442
14,-1.172211863401409
15,-1.1719205487819067
16,-1.171371027730029
17,-1.1708548307470195
18,-1.1704638041528634
19,-1.1703064222765887
20,-1.1712831706903888
21,-1.1710739255666465
22,-1.1712435958550051
23,-1.1710248251268873
24,-1.171299908246829
25,-1.1705867630781863
26,-1.1702236172440421
27,-1.1700079965247294
28,-1.1703581400565575
29,-1.1710148559242775
30,-1.170252848143544
31,-1.1705876306075549
32,-1.1709606443119187
33,-1.1707356452105138
34,-1.1706655536097208
35,-1.1701507918115457
36,-1.1708235339583015
37,-1.169889492349418
38,-1.1693612156276314
39,-1.1684784650306452
40,-1.1677789277435715
41,-1.1678806431323048
42,-1.1681396296149629
43,-1.1679282433169593
44,-1.1676698002296766
45,-1.167579154975708
46,-1.1673077390642432
47,-1.166987261009324
48,-1.1675424984536344
49,-1.1676522479217941
50,-1.1676155133619466
51,-1.167472642115816
52,-1.1669286396028489
53,-1.1672144711313563
54,-1.167215550589202
55,-1.1673473213214343
56,-1.1669936431943067
57,-1.1670863783688683
58,-1.166699393251261
59,-1.1670825704940126
60,-1.166745385818663
61,-1.166501231850301
62,-1.1662804184905684
63,-1.1656752970181081
64,-1.165785480499475
65,-1.1654163381214329
66,-1.1655427484794438
67,-1.1652709454787025
68,-1.166695886749277
69,-1.1669405096730208
70,-1.1660155189270787
71,-1.16553454482912
72,-1.1661694400990212
73,-1.1662058882745332
74,-1.1661948601845065
75,-1.1659184122756416
76,-1.166361013486167
77,-1.1658401612651081
78,-1.165946445960315
79,-1.165479810847293
80,-1.1658212091488527
81,-1.1656045180457772
82,-1.165716827357112
83,-1.166111241443419
84,-1.1659610470729214
85,-1.1654430536421192
86,-1.166476895278092
87,-1.1667293818693605
88,-1.1673920606948087
89,-1.1672707580464028
90,-1.1670086008015743
91,-1.1677489765084423
92,-1.167352774501304
93,-1.1675115347419833
94,-1.167241911342446
95,-1.1673552559302087
96,-1.167023498334321
97,-1.1674592475249144
98,-1.1666748368102344
99,-1.1662519366400377
100,-1.1660142736739754
101,-1.165455331072711
102,-1.1650143131421047
103,-1.1642346241268444
104,-1.1646825366284221
105,-1.1641146024328288
106,-1.1653623604699863
107,-1.165065625738173
108,-1.1650228386063082
109,-1.1644043035984568
110,-1.1645312206974765
111,-1.1639470235140024
112,-1.1637993553304553
113,-1.1630590026153171
114,-1.162975271360331
115,-1.1629831794984085
116,-1.1633264625251756
117,-1.1632871954441921
118,-1.163408356686719
119,-1.162748269525521
120,-1.162875655441117
121,-1.1614616752942821
122,-1.161944182641112
123,-1.1617052479706909
124,-1.1612627720653108
125,-1.1600651870955783
126,-1.1597521771389332
127,-1.1604923363534638
128,-1.1607201506562488
129,-1.1597621372030928
130,-1.1599149630497365
131,-1.1591261117833676
132,-1.1583307761327066
133,-1.1579801144659083
134,-1.159202808590562
135,-1.1601084815723555
136,-1.1599039525334867
137,-1.160061871919689
138,-1.1593529606027575
139,-1.1590761984349092
140,-1.1580713131928788
141,-1.1577452655764873
142,-1.1569890855530367
143,-1.1567935827242877
144,-1.156667757566344
145,-1.1560084008412108
146,-1.155052855858246
147,-1.154971386637029
148,-1.1541265307201864
149,-1.1538254166394115
150,-1.1528063627976723
151,-1.1523046232726355
152,-1.1511215426499137
153,-1.150067969539394
154,-1.1510487919742223
155,-1.1511852212940976
156,-1.1539254980623186
157,-1.1533725349587785
158,-1.1528476714032105
159,-1.1525037800351605
160,-1.1519894736110143
161,-1.1516196379609724
162,-1.1523919311671
163,-1.1549036881593644
164,-1.1541248932567083
165,-1.1543341501313569
166,-1.1549497303816474
167,-1.154108683962192
168,-1.1554995961572851
169,-1.154760143959036
170,-1.1543032710321133
171,-1.1538967376890836
172,-1.1544311967247811
173,-1.1545720250159548
174,-1.1544244787164768
175,-1.1531775260061679
176,-1.1532423062521648
177,-1.1531243017710566
178,-1.1523461157808261
179,-1.1527869624778413
180,-1.1533262814272933
181,-1.1567051119350986
182,-1.1566710624667136
183,-1.1559060687371898
184,-1.1546196474556265
185,-1.1540562654333877
186,-1.1549734079494087
187,-1.1552010751279402
188,-1.154230673593878
189,-1.1545520891430199
190,-1.1544216387562032
191,-1.153664444511123
192,-1.154350454765159
193,-1.1560141374941453
194,-1.156191890913964
195,-1.157349132319274
196,-1.1570489889781297
197,-1.157805306266362
198,-1.1578585371421173
199,-1.1562640921476413
200,-1.1563791743385214
201,-1.156555113215329
202,-1.1557419225385177
203,-1.1552058396877938
204,-1.1543036645525857
205,-1.153966499369814
206,-1.1535884612817542
207,-1.1532769140373398
208,-1.1522618252810248
209,-1.155205143101692
210,-1.1549132247068448
211,-1.1551306073269743
212,-1.1565181420969166
213,-1.1557965011346487
214,-1.1553691682209308
215,-1.1551861028516015
216,-1.1553209217951745
217,-1.1554055848384839
218,-1.1542976406787553
219,-1.1531577145288574
220,-1.152508041463129
221,-1.152616846034933
222,-1.1526424530906703
223,-1.152563651948914
224,-1.1511535744233397
225,-1.1503183487940642
226,-1.150683245025849
227,-1.1498739506149138
228,-1.1513845720981595
229,-1.152351141749825
230,-1.1524042001666837
231,-1.1522008771324876
232,-1.151005333654103
233,-1.150826009598543
234,-1.1523348273736767
235,-1.151963732315075
236,-1.1518151215232821
237,-1.1549421819729986
238,-1.1548654345844855
239,-1.155450192322032
240,-1.153849515736263
241,-1.1550814160685103
242,-1.1544706164010894
243,-1.153985170828616
244,-1.1545794182236744
245,-1.1533341574816722
246,-1.1532525802846212
247,-1.1527520606221566
248,-1.152810421924136
249,-1.151548424630013
250,-1.1514477170613888
251,-1.1508553822620164
252,-1.1500625459951497
253,-1.1491597673921017
254,-1.1495805734832376
255,-1.1495326938719763
256,-1.1500259824965025
257,-1.1501504880486086
258,-1.1497896677687611
259,-1.149144698025909
260,-1.1483528928664901
261,-1.1473856820007868
262,-1.1462445787580953
263,-1.1461163134270178
264,-1.1460726481161834
265,-1.1467186921234445
266,-1.1490693869440773
267,-1.1496014238646861
268,-1.1477633518211308
269,-1.147100832344582
270,-1.145511244080489
271,-1.144358790335804
272,-1.1441251066355131
273,-1.143487316963973
274,-1.1430026705420246
275,-1.1434711998379423
276,-1.1437870777626964
277,-1.144774854277183
278,-1.1455205213490185
279,-1.144320768448157
280,-1.1423277964448657
281,-1.1411098327701787
282,-1.1402743498911534
283,-1.1395836808943858
284,-1.1400719568732176
285,-1.1384283142790015
286,-1.1386496468203327
287,-1.138727894077324
288,-1.1386842039778553
289,-1.139942418085816
290,-1.139735789749182
291,-1.1394051001371783
292,-1.1378001114342218
293,-1.139073886284921
294,-1.136897878200216
295,-1.1361734654177305
296,-1.1353592982259937
297,-1.136290188917104
298,-1.1370401013817517
299,-1.1373884919488106
300,-1.1392747147619031
301,-1.140944351594074
302,-1.1404782472007922
303,-1.1400429365581346
304,-1.1405844255914603
305,-1.1398342779670858
306,-1.1393072917619054
307,-1.1399269126392941
308,-1.1394627765134557
309,-1.1388463886609441
310,-1.1372001964596419
311,-1.1371653855497714
