order,cum_neg,cum_pos,pseudo_similarity,prop_fin
1,1,0,0.6323111860944959,2.0
2,1,0,0.6173247227054317,2.0
3,1,0,0.6131944204687485,2.0
4,1,0,0.6125100996782149,2.0
5,1,0,0.6124763286628059,2.0
6,1,0,0.6114779511448197,2.0
7,2,0,0.6101680397782374,3.0
8,2,0,0.6095471277316932,3.0
9,3,0,0.605267489219367,4.0
10,3,0,0.6030320533551933,4.0
11,3,0,0.6020935215595866,4.0
12,3,0,0.6008404810048458,4.0
13,3,0,0.6004837909634367,4.0
14,3,1,0.5993037708081612,2.0
15,4,1,0.5937137160726477,2.5
16,4,1,0.5911169986387081,2.5
17,4,1,0.5890478378402961,2.5
18,4,1,0.5876035977524279,2.5
19,5,1,0.5872064954481423,3.0
20,5,1,0.5868598253406017,3.0
21,5,1,0.5855466801288938,3.0
22,6,1,0.5847611797772356,3.5
23,6,2,0.5839821086002525,2.3333333333333335
24,6,2,0.5839093633086256,2.3333333333333335
25,6,2,0.5827298470812264,2.3333333333333335
26,6,2,0.5825498240028301,2.3333333333333335
27,7,2,0.5778737302607438,2.6666666666666665
28,8,2,0.576473013797378,3.0
29,8,2,0.5764229327691526,3.0
30,8,2,0.5742934823042161,3.0
31,8,2,0.5739216823760145,3.0
32,8,3,0.5736292647920435,2.25
33,9,3,0.571371625118696,2.5
34,10,3,0.5709318345102936,2.75
35,10,4,0.5700018722205893,2.2
36,10,5,0.569301541605733,1.8333333333333333
37,10,5,0.5679526645815065,1.8333333333333333
38,11,5,0.5665491280432874,2.0
39,12,5,0.5643371619794444,2.1666666666666665
40,12,5,0.5638897567859147,2.1666666666666665
41,12,5,0.5632574060358551,2.1666666666666665
42,12,5,0.5632136564156651,2.1666666666666665
43,12,5,0.5631878304644151,2.1666666666666665
44,12,5,0.5614825800393569,2.1666666666666665
45,12,5,0.5612747725427085,2.1666666666666665
46,12,5,0.5610568477795999,2.1666666666666665
47,12,5,0.560923568064184,2.1666666666666665
48,12,5,0.5600465485188652,2.1666666666666665
49,12,5,0.559996216053881,2.1666666666666665
50,12,5,0.5596644048628259,2.1666666666666665
51,12,5,0.5591970742434321,2.1666666666666665
52,13,5,0.5580160501400337,2.3333333333333335
53,13,5,0.5576920655905845,2.3333333333333335
54,13,5,0.5574791716164555,2.3333333333333335
55,13,6,0.5562348726755614,2.0
56,13,6,0.5557571275319761,2.0
57,14,6,0.5556242971555241,2.142857142857143
58,14,6,0.5534225939390985,2.142857142857143
59,14,7,0.5532013735625549,1.875
60,14,7,0.5504178933088395,1.875
61,14,7,0.5499356557453725,1.875
62,14,8,0.5496760338563376,1.6666666666666667
63,14,8,0.5493528586391735,1.6666666666666667
64,14,8,0.5491744258651887,1.6666666666666667
65,15,8,0.5487813597262275,1.7777777777777777
66,15,9,0.54844636785936,1.6
67,15,9,0.5484239102342863,1.6
68,16,9,0.5481816435221466,1.7
69,16,9,0.547978315192549,1.7
70,16,9,0.5475338255992654,1.7
71,16,9,0.5470502938310637,1.7
72,16,9,0.5470134480269295,1.7
73,17,9,0.5463553628114068,1.8
74,17,9,0.5463227991031219,1.8
75,17,9,0.5462712688338642,1.8
76,17,9,0.5461678157776473,1.8
77,18,9,0.5461299953471604,1.9
78,18,9,0.5459665916868841,1.9
79,18,9,0.5451029217136474,1.9
80,18,9,0.5446273854321505,1.9
81,18,9,0.5438600075270068,1.9
82,18,10,0.5427060560631303,1.7272727272727273
83,18,10,0.5423627969284242,1.7272727272727273
84,18,10,0.5422972705863625,1.7272727272727273
85,18,10,0.5417398896764334,1.7272727272727273
86,18,10,0.5416915108612426,1.7272727272727273
87,18,10,0.5412885924614561,1.7272727272727273
88,18,11,0.541129040093888,1.5833333333333333
89,18,12,0.539342887711123,1.4615384615384615
90,19,12,0.5391833752162141,1.5384615384615385
91,19,12,0.5391465313284776,1.5384615384615385
92,19,12,0.5386350651341876,1.5384615384615385
93,19,12,0.5384478134738648,1.5384615384615385
94,19,12,0.5383595498587466,1.5384615384615385
95,20,12,0.5380208627543037,1.6153846153846154
96,20,12,0.537487805929217,1.6153846153846154
97,20,12,0.537346384135966,1.6153846153846154
98,20,12,0.5372029653152091,1.6153846153846154
99,20,13,0.5370316331304442,1.5
100,20,13,0.5368664753041668,1.5
101,20,13,0.5368514328012806,1.5
102,20,14,0.5364127953009843,1.4
103,20,14,0.5357796005669622,1.4
104,20,14,0.5348909176257208,1.4
105,20,14,0.5348569906516543,1.4
106,21,14,0.5348537153413251,1.4666666666666666
107,21,15,0.5339868161181341,1.375
108,22,15,0.5335170466205754,1.4375
109,23,15,0.5334235632003517,1.5
110,23,15,0.5333972256900766,1.5
111,23,15,0.5328178941127635,1.5
112,23,15,0.5322010126938008,1.5
113,24,15,0.5318122796213482,1.5625
114,24,16,0.5307736594766266,1.4705882352941178
115,24,16,0.5306140524228274,1.4705882352941178
116,24,16,0.5288997562389518,1.4705882352941178
117,25,16,0.5288561696218974,1.5294117647058822
118,25,16,0.5284902178792036,1.5294117647058822
119,26,16,0.5282540350594653,1.588235294117647
120,26,16,0.5280723359983261,1.588235294117647
121,26,16,0.5276153207057838,1.588235294117647
122,26,16,0.5275976554176778,1.588235294117647
123,26,16,0.5268825750331715,1.588235294117647
124,27,16,0.5266030933780865,1.6470588235294117
125,27,16,0.5260123987454326,1.6470588235294117
126,27,16,0.525870113038583,1.6470588235294117
127,27,16,0.5252121250715478,1.6470588235294117
128,28,16,0.525087867167096,1.7058823529411764
129,29,16,0.5250731230631602,1.7647058823529411
130,29,16,0.5248403291055185,1.7647058823529411
131,29,16,0.5247869317939788,1.7647058823529411
132,30,16,0.5242586008690825,1.8235294117647058
133,30,16,0.524226293856448,1.8235294117647058
134,31,16,0.5240104058842185,1.8823529411764706
135,31,16,0.5231345330647869,1.8823529411764706
136,31,16,0.5228442915925289,1.8823529411764706
137,31,16,0.5227706109921724,1.8823529411764706
138,32,16,0.5224948540715862,1.9411764705882353
139,32,16,0.5223902220578686,1.9411764705882353
140,33,16,0.5222564681934817,2.0
141,34,16,0.5221370325356216,2.0588235294117645
142,34,16,0.5219846829615182,2.0588235294117645
143,34,16,0.521528456032275,2.0588235294117645
144,35,16,0.5210178412537483,2.1176470588235294
145,35,17,0.5208427941949538,2.0
146,35,17,0.5207538479832066,2.0
147,35,17,0.5206470623410047,2.0
148,35,17,0.5203131889529453,2.0
149,35,18,0.5198900372162036,1.894736842105263
150,36,18,0.5197256068727061,1.9473684210526316
151,36,18,0.5192822099405562,1.9473684210526316
152,36,19,0.5191074326004932,1.85
153,36,19,0.5187323046408654,1.85
154,36,19,0.5185850526640934,1.85
155,36,19,0.5178000481606766,1.85
156,36,20,0.5173792643456995,1.7619047619047619
157,36,20,0.5171897260612044,1.7619047619047619
158,36,20,0.5171416550928325,1.7619047619047619
159,36,20,0.5171399815874823,1.7619047619047619
160,36,20,0.5163667457256442,1.7619047619047619
161,36,21,0.516285942530875,1.6818181818181819
162,36,21,0.5157944266986692,1.6818181818181819
163,36,21,0.5149266283249234,1.6818181818181819
164,37,21,0.5146443815730699,1.7272727272727273
165,37,22,0.5143986930797019,1.6521739130434783
166,37,22,0.5143625302625352,1.6521739130434783
167,37,23,0.5142161163403196,1.5833333333333333
168,37,23,0.5141745428983676,1.5833333333333333
169,37,24,0.5141690602799117,1.52
170,37,24,0.5140422137691247,1.52
171,37,25,0.5139096730084466,1.4615384615384615
172,37,25,0.5138537173282882,1.4615384615384615
173,38,25,0.5126447350337402,1.5
174,38,25,0.5124110187815566,1.5
175,38,25,0.5123685021021958,1.5
176,39,25,0.512064878374127,1.5384615384615385
177,39,25,0.5119560932087404,1.5384615384615385
178,39,25,0.5119232038052878,1.5384615384615385
179,39,25,0.5118946536303153,1.5384615384615385
180,40,25,0.5118651984723546,1.5769230769230769
181,40,25,0.5118648104126609,1.5769230769230769
182,40,26,0.5118637200666383,1.5185185185185186
183,40,26,0.5116200285180004,1.5185185185185186
184,40,27,0.5109863152368022,1.4642857142857142
185,40,28,0.5106655809007683,1.4137931034482758
186,41,28,0.5104656038640294,1.4482758620689655
187,42,28,0.5101487142494023,1.4827586206896552
188,42,29,0.5099196553130876,1.4333333333333333
189,42,29,0.5085312624933322,1.4333333333333333
190,42,29,0.5082439750452803,1.4333333333333333
191,42,29,0.5080114670630127,1.4333333333333333
192,42,29,0.5078991795302235,1.4333333333333333
193,42,30,0.5078050918393673,1.3870967741935485
194,42,30,0.5077439243255029,1.3870967741935485
195,42,30,0.50699326169829,1.3870967741935485
196,42,31,0.5069323354783288,1.34375
197,42,32,0.5068214847829409,1.303030303030303
198,42,32,0.5058174571182072,1.303030303030303
199,43,32,0.5050343383542302,1.3333333333333333
200,43,32,0.5049873580910347,1.3333333333333333
201,43,33,0.5049632730611955,1.2941176470588236
202,43,33,0.5036174363582853,1.2941176470588236
203,43,33,0.5035335393062831,1.2941176470588236
204,43,33,0.5032205694341512,1.2941176470588236
205,44,33,0.5031685700475144,1.3235294117647058
206,44,34,0.5027793365577933,1.2857142857142858
207,44,34,0.5027552059858738,1.2857142857142858
208,45,34,0.5023603591541113,1.3142857142857143
209,46,34,0.5018686282002671,1.3428571428571427
210,46,34,0.5018040045002363,1.3428571428571427
211,46,34,0.5014252381219022,1.3428571428571427
212,46,35,0.5008404846518304,1.3055555555555556
213,46,35,0.5006543359864518,1.3055555555555556
214,46,36,0.5006507641613576,1.2702702702702702
215,46,37,0.5004907476136725,1.236842105263158
216,47,37,0.499978344412928,1.263157894736842
217,47,37,0.4996466593801441,1.263157894736842
218,47,37,0.49839981289404045,1.263157894736842
219,48,37,0.4980948703909137,1.2894736842105263
220,48,37,0.4973100321819828,1.2894736842105263
