removed_top_n,mean_remaining
1,-1.1747536801028107
2,-1.1748001984129666
3,-1.1748105807388394
4,-1.174663436709825
5,-1.1744440667693292
6,-1.1741761342467116
7,-1.1735012881065645
8,-1.1735128107204431
9,-1.1729726682602775
10,-1.172541934743378
11,-1.1723150700612908
12,-1.1719141055350561
13,-1.1717820937465961
14,-1.1722118634014091
15,-1.1716991875267404
16,-1.171406358800846
17,-1.1717518736221568
18,-1.171544701160613
19,-1.1708401235372843
20,-1.1706831571022012
21,-1.1709560217480277
22,-1.170398383261207
23,-1.1713808992441412
24,-1.1711619727467326
25,-1.1708006245284939
26,-1.1709710728976883
27,-1.1704560512229933
28,-1.1699478285966882
29,-1.1697308429544293
30,-1.1693285662501718
31,-1.1694313135858418
32,-1.1700900553198383
33,-1.1693218007999089
34,-1.1684475771778884
35,-1.1691156787840575
36,-1.1694887318289187
37,-1.1698259546428695
38,-1.1688881181009327
39,-1.168190764259444
40,-1.168449340777924
41,-1.1682182046639622
42,-1.1683485687319486
43,-1.16825962994427
44,-1.1685429932950135
45,-1.1684669979899893
46,-1.1681973542202695
47,-1.1678211047269527
48,-1.1674740462559823
49,-1.167437027625641
50,-1.1672212503697392
51,-1.1669577345111701
52,-1.1664126917808202
53,-1.1661693770224122
54,-1.1658420395183522
55,-1.166402848996442
56,-1.1665286939925281
57,-1.1658785230951652
58,-1.1658768793828578
59,-1.166258371146371
60,-1.1661100728295408
61,-1.1657701933345617
62,-1.1661997128216064
63,-1.1661889226107889
64,-1.16630016949918
65,-1.165692578126437
66,-1.1671124710604348
67,-1.167356942605978
68,-1.1666214463308
69,-1.166864727466859
70,-1.1663865420117465
71,-1.1664924115554414
72,-1.166266930924357
73,-1.1653346647543927
74,-1.1648149461653239
75,-1.1649249624425597
76,-1.1645362237433794
77,-1.163845470162392
78,-1.1642316893070646
79,-1.1643228822165685
80,-1.1641701448444763
81,-1.164288661182497
82,-1.1649345307944463
83,-1.1643940676041749
84,-1.164160604937078
85,-1.1638752205563456
86,-1.1639077199395347
87,-1.1634285374201534
88,-1.1638590802338618
89,-1.1648962353010561
90,-1.164281291260841
91,-1.1639909470022711
92,-1.164000687642472
93,-1.1637742590619884
94,-1.163377045270258
95,-1.1627740272906677
96,-1.1622140968105181
97,-1.1619366245391347
98,-1.1618533772975195
99,-1.162989194119648
100,-1.1625571025783983
101,-1.1626673635970155
102,-1.1639006536094891
103,-1.1637558742632106
104,-1.1636222562058707
105,-1.1633371234490233
106,-1.1626553523569034
107,-1.1633373877009225
108,-1.1624311635861744
109,-1.1612799935731464
110,-1.1608213475396927
111,-1.1607685314179332
112,-1.1607238353813123
113,-1.1597852624399305
114,-1.1606979195064155
115,-1.1603848923699305
116,-1.1599413761893973
117,-1.1592668059001991
118,-1.1593676372480468
119,-1.1585456078119027
120,-1.158079568349929
121,-1.1577065674970515
122,-1.1574582241666926
123,-1.1576048812396496
124,-1.1561684124057177
125,-1.1565028678972908
126,-1.1558787863657114
127,-1.155396202667758
128,-1.1545652264787643
129,-1.1538508319586736
130,-1.1539858015830757
131,-1.1535173238081637
132,-1.1527437574323405
133,-1.1524111417608052
134,-1.1514091606314252
135,-1.1509829662703148
136,-1.1503642532634215
137,-1.1500627759912132
138,-1.1490644214293098
139,-1.1491642006887788
140,-1.1484945079114295
141,-1.1476580976110653
142,-1.1473020870401218
143,-1.1473911787842803
144,-1.1465358990853398
145,-1.1489206221026227
146,-1.1486130128682528
147,-1.1482257836349554
148,-1.148582121929733
149,-1.1493840938982254
150,-1.1481914165681335
151,-1.1480416445862964
152,-1.1507462132943134
153,-1.150699545896848
154,-1.1508240704008454
155,-1.1505859432423082
156,-1.1510865290101173
157,-1.1508688733707386
158,-1.1507743446535814
159,-1.1509747599138278
160,-1.1511968183542085
161,-1.1519800087980379
162,-1.1516091879519883
163,-1.1510415527423763
164,-1.1502863742060219
165,-1.1516563569604308
166,-1.151804649224919
167,-1.152280618400334
168,-1.1519892758497783
169,-1.1525067182385567
170,-1.1526179800043648
171,-1.1532628927056308
172,-1.1533003198045053
173,-1.1518045308328067
174,-1.1512691670690545
175,-1.1514763724452053
176,-1.1502145258230962
177,-1.1500769356841412
178,-1.149707828403592
179,-1.1493819959887634
180,-1.1486033943974157
181,-1.148418849379818
182,-1.1492246907381134
183,-1.149058805837061
184,-1.1501613289488852
185,-1.153568751637776
186,-1.1525293380056822
187,-1.1517753006390181
188,-1.1524979673870466
189,-1.1526556886390982
190,-1.1522372281858937
191,-1.1518702611656344
192,-1.1514328258224071
193,-1.1519920298521245
194,-1.1520910504719462
195,-1.1524118662204428
196,-1.1537284058410242
197,-1.1554093248042727
198,-1.1550863816499661
199,-1.1540142349942324
200,-1.15347780793892
201,-1.1541531828902734
202,-1.1537359504887879
203,-1.153905228475781
204,-1.154014775579465
205,-1.1527475182522169
206,-1.1537146141498782
207,-1.1541957908642035
208,-1.1528267787813502
209,-1.1516837161771227
210,-1.151890870633603
211,-1.1522441569795627
212,-1.1551391354120057
213,-1.1550140910142506
214,-1.1580098678584512
215,-1.1591301820987125
216,-1.158341765044479
217,-1.1584302429544888
218,-1.1583710981191107
219,-1.1574373151528148
220,-1.1575050071522717
221,-1.1589741450699726
222,-1.1586830450789103
223,-1.1587274540053256
224,-1.158415419731712
225,-1.1585117964467075
226,-1.1576439020533478
227,-1.1562364808325478
228,-1.157767047551585
229,-1.1569566311750454
230,-1.1575340078975977
231,-1.1572273827677657
232,-1.1564644658130783
233,-1.1566657310535715
234,-1.1567332521636289
235,-1.1565711373080636
236,-1.1559956716604682
237,-1.1548943931741211
238,-1.1540203452541096
239,-1.1542585265017151
240,-1.1532420847837679
241,-1.1528415824786302
242,-1.15163804926253
243,-1.1508712596844866
244,-1.1491829683830606
245,-1.1486722878842492
246,-1.1480348887392013
247,-1.14904828695877
248,-1.1502929701456934
249,-1.1502484451462778
250,-1.149163086018259
251,-1.1492673350926363
252,-1.148497418334377
253,-1.1482929136079096
254,-1.1481226447514086
255,-1.1468186619746232
256,-1.1459154358765118
257,-1.144588771302609
