order,cum_neg,cum_pos,pseudo_similarity,prop_fin
1,0,0,0.5822768465756627,1.0
2,1,0,0.5760490172909475,2.0
3,1,0,0.5744253451502207,2.0
4,1,0,0.5734095379676738,2.0
5,2,0,0.5722278857515102,3.0
6,3,0,0.5686354343532374,4.0
7,3,0,0.5685384065274923,4.0
8,3,0,0.5663123565152423,4.0
9,3,0,0.5655286513745426,4.0
10,3,1,0.5638946688618821,2.0
11,3,2,0.5638317382369749,1.3333333333333333
12,4,2,0.5589747760509001,1.6666666666666667
13,4,2,0.5583763802543842,1.6666666666666667
14,4,2,0.5576106955582253,1.6666666666666667
15,4,2,0.5570453222166377,1.6666666666666667
16,4,2,0.5539496629378138,1.6666666666666667
17,4,2,0.552729924844231,1.6666666666666667
18,5,2,0.5493759521598226,2.0
19,5,3,0.546501726901931,1.5
20,5,3,0.5429729577330906,1.5
21,5,3,0.542565994605068,1.5
22,5,3,0.5415258854325569,1.5
23,5,3,0.5409748605257481,1.5
24,5,3,0.5406938784047017,1.5
25,5,4,0.5406365101197437,1.2
26,5,4,0.5389283524386312,1.2
27,6,4,0.5374330477086946,1.4
28,6,4,0.5370873070091285,1.4
29,7,4,0.5366627997712835,1.6
30,7,4,0.5351593194480546,1.6
31,7,4,0.532441129024394,1.6
32,7,4,0.5323384334643817,1.6
33,8,4,0.5295584622796352,1.8
34,8,4,0.528828597854549,1.8
35,8,4,0.528774511647779,1.8
36,8,4,0.5278535697618254,1.8
37,8,4,0.5267751308316933,1.8
38,9,4,0.5246344600344908,2.0
39,9,5,0.5245328694852277,1.6666666666666667
40,10,5,0.5202499004560783,1.8333333333333333
41,10,5,0.5189635047711472,1.8333333333333333
42,11,5,0.5183177835503447,2.0
43,12,5,0.5175461756021822,2.1666666666666665
44,12,5,0.5173740582005405,2.1666666666666665
45,12,5,0.5165655190185426,2.1666666666666665
46,12,5,0.5162282600960868,2.1666666666666665
47,12,5,0.5140213718014439,2.1666666666666665
48,12,6,0.5136261237622783,1.8571428571428572
49,12,6,0.5131286392818855,1.8571428571428572
50,13,6,0.5127117261777151,2.0
51,13,7,0.5075420262277277,1.75
52,13,7,0.5070873049762898,1.75
53,13,7,0.5063258708814673,1.75
54,13,7,0.5056603588919095,1.75
55,13,7,0.5054172208423018,1.75
56,13,7,0.5045921045073891,1.75
57,13,8,0.5045375845010354,1.5555555555555556
58,13,8,0.5045246961212975,1.5555555555555556
59,13,8,0.5042480791546471,1.5555555555555556
60,13,8,0.5040312607097405,1.5555555555555556
61,14,8,0.5036687526255644,1.6666666666666667
62,14,8,0.5033969958736789,1.6666666666666667
63,14,8,0.5005889055636862,1.6666666666666667
64,14,8,0.499916564013662,1.6666666666666667
65,14,8,0.49912231304707055,1.6666666666666667
66,15,8,0.49845820171821154,1.7777777777777777
67,15,8,0.4979415608681661,1.7777777777777777
68,15,9,0.4973229931197015,1.6
69,15,10,0.49707531515420833,1.4545454545454546
70,15,11,0.49606011090304414,1.3333333333333333
71,15,11,0.4945984220638068,1.3333333333333333
72,15,11,0.4945507409675962,1.3333333333333333
73,15,11,0.4941338267556624,1.3333333333333333
74,15,11,0.49383168045614934,1.3333333333333333
75,15,11,0.4938025735346818,1.3333333333333333
76,15,11,0.4933916252797106,1.3333333333333333
77,15,11,0.49327228837803383,1.3333333333333333
78,15,11,0.49299428791368316,1.3333333333333333
79,15,11,0.4925141290048043,1.3333333333333333
80,15,11,0.492360655803065,1.3333333333333333
81,15,11,0.4921932796213925,1.3333333333333333
82,15,11,0.49167147449280246,1.3333333333333333
83,15,11,0.490772286967883,1.3333333333333333
84,15,11,0.49054895273307475,1.3333333333333333
85,15,12,0.49023133264239716,1.2307692307692308
86,15,13,0.48869797671302984,1.1428571428571428
87,15,13,0.48835605935425264,1.1428571428571428
88,15,13,0.4868501800800049,1.1428571428571428
