removed_top_n,mean_remaining
1,-1.1741221289606458
2,-1.1740178498526748
3,-1.1739124505314482
4,-1.173805361067174
5,-1.1736912542887301
6,-1.1735761323403404
7,-1.1734580114232207
8,-1.173337377582739
9,-1.1732128546581342
10,-1.1730839988929302
11,-1.1729513759122314
12,-1.1728182544184818
13,-1.1726799102432184
14,-1.172534509145123
15,-1.1723872893376615
16,-1.1722822132660617
17,-1.1721315247766744
18,-1.1719775548005145
19,-1.1718213995086129
20,-1.171664116038053
21,-1.1715054167758665
22,-1.1713443107680208
23,-1.171176047001581
24,-1.1710016575283535
25,-1.1708259912687127
26,-1.1706485891734517
27,-1.1704636840311273
28,-1.1702779917972461
29,-1.1700908937093757
30,-1.1699018640908252
31,-1.1697115256769364
32,-1.1695487103193654
33,-1.1693540304618926
34,-1.1692467433274674
35,-1.169141856744777
36,-1.169109043696986
37,-1.1690740356888865
38,-1.169037900149487
39,-1.1690012994150467
40,-1.168964535618341
41,-1.168925642357167
42,-1.1688848089390353
43,-1.1688428776116302
44,-1.1687947602697033
45,-1.1687445257204532
46,-1.1686909945995716
47,-1.1686345686602464
48,-1.1685753559951113
49,-1.168513630533205
50,-1.1684039323608442
51,-1.168337966746175
52,-1.1682604825650218
53,-1.168181428709688
54,-1.1681016727407918
55,-1.1680193147424687
56,-1.167935712039381
57,-1.1678506690134995
58,-1.1677615273585438
59,-1.1676707822359924
60,-1.1675775654677991
61,-1.1674837462244778
62,-1.1673872246074164
63,-1.1672864815366915
64,-1.1671850746703587
65,-1.1670824414664118
66,-1.167002921771439
67,-1.1669664061928313
68,-1.1667468170541087
69,-1.166525823720774
70,-1.1662499903084431
71,-1.1659647044258283
72,-1.1656753491108849
73,-1.1653845698765466
74,-1.1650924473464344
75,-1.1647950719282458
76,-1.164493221207866
77,-1.164189675278497
78,-1.1638795795884112
79,-1.1635526191146266
80,-1.163224085254753
81,-1.1628900608097255
82,-1.1625534898404875
83,-1.1622153510268105
84,-1.1619222413827643
85,-1.161580386517176
86,-1.1612310794054177
87,-1.1608718962084044
88,-1.1605104432204585
89,-1.1601469262025799
90,-1.1597817813390885
91,-1.1594146553311113
92,-1.1590451342076105
93,-1.158667241821123
94,-1.1582861728022085
95,-1.1579019745865013
96,-1.1575151694520842
97,-1.1571199424475078
98,-1.1567225682576134
99,-1.1563213262649703
100,-1.1559504116689407
101,-1.1556896011007434
102,-1.155371803476588
103,-1.155055054860915
104,-1.1547899708256804
105,-1.1545211795575923
106,-1.1542503207020116
107,-1.153976620694951
108,-1.15370084089889
109,-1.1534220853069788
110,-1.1531417262446373
111,-1.152852678390961
112,-1.1525601819124038
113,-1.1522634401523426
114,-1.1519633405911007
115,-1.1516615279737497
116,-1.1513570825922546
117,-1.1510484113319903
118,-1.1507089477845853
119,-1.150396801830114
120,-1.1500795122386418
121,-1.1497600672311945
122,-1.1494388496900756
123,-1.1491153323958674
124,-1.1487891827823045
125,-1.148457230501634
126,-1.1481218535319648
127,-1.1477829849797838
128,-1.1474391678106588
129,-1.14708959178997
130,-1.1467369495536341
131,-1.146381834163351
132,-1.1460243300660888
133,-1.14566224960135
134,-1.145323891332969
135,-1.145230383358955
136,-1.145139284698553
137,-1.1450507010697413
138,-1.145281535936046
139,-1.1455065641813664
140,-1.1457321390318405
141,-1.1459485524722401
142,-1.1461551722612695
143,-1.1463559569859594
144,-1.1465448030681795
145,-1.1467337592450575
146,-1.1469176009796387
147,-1.1470994230642355
148,-1.147277436658708
149,-1.147444815843801
150,-1.1476099849911574
151,-1.1477756742861396
152,-1.1480223644405483
153,-1.1481850405124745
154,-1.1483391082781138
155,-1.1484934391325854
156,-1.1486406298720988
157,-1.1487826130761343
158,-1.14892046811183
159,-1.1490588329503557
160,-1.1491978076473002
161,-1.1493369099392279
162,-1.1494753596815306
163,-1.1496105337989748
164,-1.1497460065016163
165,-1.1498771006987882
166,-1.150003388585594
167,-1.150128701844159
168,-1.1502939170475324
169,-1.1504177164402134
170,-1.1506846967777213
171,-1.1509648960007357
172,-1.151409683193557
173,-1.151845849449406
174,-1.1522816373585527
175,-1.152717570439411
176,-1.1531545496557205
177,-1.1535752238528605
178,-1.153997578768267
179,-1.1544157812943396
180,-1.154820222921477
181,-1.1552267076725775
182,-1.1556306645791359
183,-1.1560349765657272
184,-1.1564399408781727
185,-1.1568412470726936
186,-1.1571393331950242
187,-1.157534086356783
188,-1.157918232478212
189,-1.1582954444799447
190,-1.1586667822389356
191,-1.1590398249343
192,-1.1594113276710234
193,-1.1597845414900876
194,-1.1601558121815503
195,-1.1605165200048186
196,-1.160879248857967
197,-1.161242590193879
198,-1.1616002900446527
199,-1.1619580711384878
200,-1.1623175607232992
201,-1.1626734961386809
202,-1.1630999042374814
203,-1.1632699244360842
204,-1.1634395755674358
205,-1.1636023814316945
206,-1.1636557151860711
207,-1.1637031973134644
208,-1.163750101380635
209,-1.1637940572873637
210,-1.1638367660595288
211,-1.1638778170601831
212,-1.1639120319832141
213,-1.1639283147245016
214,-1.163944139152431
215,-1.1639573475362914
216,-1.1639681963030584
217,-1.1639694289586084
218,-1.1639611831547942
219,-1.163952184187491
220,-1.1640122992678186
221,-1.164002323540214
222,-1.163987530572822
223,-1.163971648976147
224,-1.1639556100778126
225,-1.163933855386392
226,-1.163910527288352
227,-1.1638867418342662
228,-1.163851956285411
229,-1.163809098010306
230,-1.1637648107083238
231,-1.163720114242863
232,-1.1636742288181743
233,-1.163626512588221
234,-1.1635783890461102
235,-1.1635250784105273
236,-1.1635129706265548
237,-1.1635755069061327
238,-1.1636413628985
239,-1.163711001619227
240,-1.1638913160102797
241,-1.1640708904700294
242,-1.1642463326272137
243,-1.1644204685161181
244,-1.1645919661827788
245,-1.1647637695097954
246,-1.1649361167064725
247,-1.1651079681345768
248,-1.1652799350769116
249,-1.1654522859584255
250,-1.1656188167555488
251,-1.1657864135767717
252,-1.1659541270429827
253,-1.1661229146454684
254,-1.166290460105828
255,-1.166459133766961
256,-1.1666246106527494
257,-1.1667102220702972
258,-1.1668053171963961
259,-1.1669086880849653
260,-1.1670180158357648
261,-1.1671286743421787
262,-1.167240346773799
263,-1.1666314943920604
264,-1.1667456989672438
265,-1.1668749984364828
266,-1.1670092722574623
267,-1.1671503910101515
268,-1.1672929296248722
269,-1.1674555895277983
270,-1.1676213013756993
271,-1.1677450134853709
272,-1.168417872838733
273,-1.1677897284675471
274,-1.1671552465874244
275,-1.1661670630379475
276,-1.165168587676337
277,-1.1641614124576747
278,-1.1631441531700772
279,-1.162115652458999
280,-1.1610738574039159
281,-1.160021369640004
282,-1.1589568036608335
283,-1.1578734755355902
284,-1.1567798324164775
285,-1.1556762223811226
286,-1.154548519782795
287,-1.1533999289516652
288,-1.152238250588929
289,-1.1511417756686793
