removed_top_n,mean_remaining
1,-1.1749859920623569
2,-1.174535683287479
3,-1.174269396746637
4,-1.17412125606202
5,-1.1734487988777689
6,-1.1729115333409634
7,-1.1729184950450426
8,-1.1729621263882286
9,-1.1729726682602772
10,-1.1734014537361226
11,-1.1743675758359964
12,-1.173861804148353
13,-1.1736365614513613
14,-1.1732038409909786
15,-1.1730737572323664
16,-1.1726712010471223
17,-1.1723796538019724
18,-1.1718289230391614
19,-1.1724759866801873
20,-1.172260799828748
21,-1.1725366637953476
22,-1.1723294077153785
23,-1.1725017977602967
24,-1.1721094342778966
25,-1.1727717520546372
26,-1.1731258561785307
27,-1.1726237451437291
28,-1.1724677958379826
29,-1.1717513983660905
30,-1.1713876955724711
31,-1.1717246773532046
32,-1.1718322768411829
33,-1.1710674118572872
34,-1.1708421822850126
35,-1.1706244006268063
36,-1.1703173118481425
37,-1.170245987682321
38,-1.169552671607871
39,-1.1699287879439888
40,-1.1689874546766423
41,-1.1687785794412036
42,-1.1678894310462427
43,-1.1673519451083603
44,-1.1670544779382463
45,-1.1667825575225466
46,-1.1668901329600962
47,-1.1666280629935764
48,-1.1673038761890149
49,-1.1675653448773664
50,-1.1670237180339917
51,-1.1675823872713622
52,-1.1678689620647988
53,-1.167871364217939
54,-1.1677281425399983
55,-1.1676357734847504
56,-1.167598556477253
57,-1.1679820047582505
58,-1.1675968511874517
59,-1.1677450504209654
60,-1.1678792613041071
61,-1.1669733316041415
62,-1.1667074505508144
63,-1.1663473351971154
64,-1.1664400762479183
65,-1.1660980608306124
66,-1.1654887860898004
67,-1.1655992696534918
68,-1.166594587420078
69,-1.167227715653957
70,-1.1686627337646078
71,-1.1684422863327677
72,-1.1681723158341653
73,-1.1682823625813394
74,-1.168323354880864
75,-1.1681147194819208
76,-1.1677252807415859
77,-1.1673508406863216
78,-1.166865535038413
79,-1.166612247261908
80,-1.1663351681578962
81,-1.166585316310167
82,-1.16619513228125
83,-1.1663278524889293
84,-1.1665783811912926
85,-1.1673221270009062
86,-1.1677773740396977
87,-1.1672610770004286
88,-1.1667297034048216
89,-1.1656381882827964
90,-1.1651596467279337
91,-1.164602450355205
92,-1.1650022168585994
93,-1.1649880759819509
94,-1.164860127642695
95,-1.1645897371752385
96,-1.165030491834323
97,-1.1651452691755657
98,-1.1658191789042673
99,-1.1644812056473732
100,-1.1645896811874954
101,-1.164160209367157
102,-1.1638782077371228
103,-1.163716556774856
104,-1.1635710350444222
105,-1.1639274247073763
106,-1.1643650461634765
107,-1.164320764048787
108,-1.1647943966482341
109,-1.1643448215031562
110,-1.1645720679059404
111,-1.164915058440216
112,-1.1640995536126846
113,-1.1652771852086032
114,-1.1654072906448198
115,-1.1646068532715033
116,-1.1655349323912705
117,-1.1656679101792362
118,-1.165634009486535
119,-1.1653843523066671
120,-1.165510992423544
121,-1.1648660066495005
122,-1.1647849510509714
123,-1.1640294617051001
124,-1.1633888398011039
125,-1.1624528185878134
126,-1.1617794864189497
127,-1.1626958946864503
128,-1.1620930145452772
129,-1.162842315280945
130,-1.1637458567082577
131,-1.1637559213741169
132,-1.1633098571944245
133,-1.1625157532324368
134,-1.1626767265837197
135,-1.163266237874528
136,-1.1626027952123124
137,-1.162403851013934
138,-1.1617006658072575
139,-1.1630434289390246
140,-1.1627269696026508
141,-1.1619256146266492
142,-1.1612989878699729
143,-1.1610466277337608
144,-1.1612101255589302
145,-1.161094973828043
146,-1.1608177245730382
147,-1.1621523864794163
148,-1.1611523429014814
149,-1.163597757717471
150,-1.163278239108578
151,-1.1660144543464288
152,-1.1657099908834911
153,-1.1656308183622253
154,-1.1646803066048514
155,-1.163852474716579
156,-1.1639412430541118
157,-1.1636591182033054
158,-1.163160698306464
159,-1.1636975637453233
160,-1.1633589372058355
161,-1.1629009178121004
162,-1.1628366590418853
163,-1.163640174420635
164,-1.1628559498758486
165,-1.1621782713125135
166,-1.1614566764951835
167,-1.1616894224236498
168,-1.1611408955476095
169,-1.1600643780968332
170,-1.16023014966053
171,-1.1605521343484537
172,-1.1594703284448635
173,-1.1592657779103106
174,-1.1594938664110328
175,-1.1589777337543088
176,-1.1591319556355175
177,-1.15833722541865
178,-1.157943817611689
179,-1.1572927241174427
180,-1.1568843669406201
181,-1.160272918993544
182,-1.1602486443390179
183,-1.161882825316037
184,-1.1610214904828173
185,-1.1637938691805723
186,-1.1636669635696564
187,-1.1632132572534364
188,-1.1629361369531372
189,-1.1635212250471332
190,-1.1622436333266837
191,-1.160962601715378
192,-1.1601903026215805
193,-1.1603142001659574
194,-1.1607963522024636
195,-1.1619666744637072
196,-1.1618551183304513
197,-1.1625743306561716
198,-1.1620127558457132
199,-1.16068843332244
200,-1.1614617776890848
201,-1.159868530239574
202,-1.1600615776307082
203,-1.1590809659307157
204,-1.1586756674016427
205,-1.158900237586024
206,-1.158003605112481
207,-1.1577050435852159
208,-1.1569310282947591
209,-1.15747245675088
210,-1.1561355242999647
211,-1.155758316076458
212,-1.1549576460050301
213,-1.1558886107449597
214,-1.1572867553436044
215,-1.1600609443433112
216,-1.1591439427322228
217,-1.1592715372524567
218,-1.1582250214816245
219,-1.1586733688079052
220,-1.1582307537919536
221,-1.158423166156459
222,-1.1585186770753926
223,-1.1600326677532191
224,-1.1593962338855137
225,-1.160003401574386
226,-1.1588563921779036
227,-1.1590073151768068
228,-1.1590693201440454
229,-1.1587216948707233
230,-1.1586588070784432
231,-1.1575155779445485
232,-1.1573574906138964
233,-1.1571698839025537
234,-1.1568618591157718
235,-1.1566718430525589
236,-1.1565383708805004
237,-1.1552023452492834
238,-1.1552376455480826
239,-1.1553016261388052
240,-1.155227123217369
241,-1.1556259482658204
242,-1.1544024363820244
243,-1.1541976605840292
244,-1.1525717191861116
245,-1.1531604995429525
246,-1.1563855298334234
247,-1.1555412900777844
248,-1.154968589316588
249,-1.1548796967555313
250,-1.1550383490342
251,-1.1566480527607286
252,-1.1559031553843953
253,-1.155812105121131
254,-1.1545388166895554
255,-1.155047560225702
256,-1.1544072586641685
257,-1.1543756925906947
258,-1.1538647224251501
259,-1.1532339021776328
260,-1.1525047074266421
261,-1.1523629550029564
262,-1.1517328468931363
263,-1.1513230453481915
264,-1.1499826739101697
265,-1.1480691233505775
266,-1.1470836924711931
267,-1.1480479648769786
268,-1.147941008142509
269,-1.1479864720878763
270,-1.1473695298331843
271,-1.1478097687721114
272,-1.1471856228426043
273,-1.1471751921601332
274,-1.1463049837761494
275,-1.1467856539295456
276,-1.1492233373480103
277,-1.148754550485759
278,-1.150528762728773
279,-1.1506653649315457
280,-1.1512292837171558
281,-1.1508413203141208
282,-1.1516211350626515
283,-1.151595178769733
284,-1.15059181650159
285,-1.1493839444318263
286,-1.1473645561218828
287,-1.1453835600915183
288,-1.14572145691724
289,-1.1444544854085166
290,-1.1457400477481452
291,-1.1453127044661136
292,-1.1455662424405233
293,-1.1456735687493345
294,-1.1454247614799018
295,-1.144151422700411
296,-1.1434016232282664
297,-1.1426847858610278
298,-1.1408987135893924
299,-1.140914295090606
300,-1.140106136647476
301,-1.1384452785875423
302,-1.1392162308053702
303,-1.1405480133113073
304,-1.140391053772387
305,-1.1407619290328053
306,-1.1427640879749907
307,-1.1437646190688513
308,-1.1439676722416756
309,-1.1457131496290445
