removed_top_n,mean_remaining
1,-1.1747536801028107
2,-1.1748001984129666
3,-1.174534398113164
4,-1.1743867454605297
5,-1.174166865019574
6,-1.1741761342467114
7,-1.1735012881065645
8,-1.1729976626137657
9,-1.173008270538278
10,-1.1724661826728195
11,-1.1722391766622426
12,-1.1726681940621135
13,-1.1722671399468798
14,-1.1721355428350113
15,-1.173106549479055
16,-1.1726712010471223
17,-1.1723796538019722
18,-1.1727276616475224
19,-1.1725219448972732
20,-1.1723068452530772
21,-1.1725827967585063
22,-1.172428551733616
23,-1.1717202823928818
24,-1.1711619727467326
25,-1.171815196218321
26,-1.1719217302973495
27,-1.172586234480961
28,-1.1720821162539967
29,-1.1722560256981582
30,-1.1718932989728796
31,-1.1713760721419373
32,-1.170975427817833
33,-1.1701061221931666
34,-1.1693364014205148
35,-1.1691156787840575
36,-1.1681801228629134
37,-1.1678676392478917
38,-1.1671696505831974
39,-1.1675036359254598
40,-1.1669725703433906
41,-1.1673450742909863
42,-1.166970862357149
43,-1.1668920493133792
44,-1.1670202952358097
45,-1.166759528660144
46,-1.1665441218834003
47,-1.1668257543981266
48,-1.1665517408265405
49,-1.1664581223990398
50,-1.1662163677510817
51,-1.1664766981913257
52,-1.1661241192346594
53,-1.166084068212531
54,-1.1658420395183522
55,-1.166402848996442
56,-1.1677952701209282
57,-1.1668965643548745
58,-1.1672793612169736
59,-1.1673917027860294
60,-1.1675036215529202
61,-1.1675053115182281
62,-1.1671331144496955
63,-1.1666623994184853
64,-1.1672891139273724
65,-1.1669785562142014
66,-1.1668299052885704
67,-1.1670726070427244
68,-1.1666874968983885
69,-1.1664171242089125
70,-1.1668552036262936
71,-1.1662411195768505
72,-1.1663708630792897
73,-1.1673783078126665
74,-1.167031768278678
75,-1.1674580868853528
76,-1.1671837340482332
77,-1.1669573255859516
78,-1.1658918963669613
79,-1.1658800795325803
80,-1.1669783078806502
81,-1.1673737362423882
82,-1.1674993968981207
83,-1.1677531323888497
84,-1.1675392098601387
85,-1.1676507825238778
86,-1.1671225595849186
87,-1.1669898201854139
88,-1.1670292467982224
89,-1.1679079028989787
90,-1.1680093350548644
91,-1.1672381720650367
92,-1.1665395473141902
93,-1.1663873189272531
94,-1.1658369389445746
95,-1.165229775242757
96,-1.1648064840280883
97,-1.1649609970476331
98,-1.1646691324779497
99,-1.1641788142940726
100,-1.1638981160380586
101,-1.1639078450970881
102,-1.1638282792747796
103,-1.1637831871636264
104,-1.163537805458646
105,-1.1632583058806496
106,-1.1633654445387154
107,-1.1629555657610402
108,-1.1630684925890264
109,-1.1623239220086186
110,-1.163100480600973
111,-1.16296321410312
112,-1.1623127257178874
113,-1.1622714847463893
114,-1.1630402473474903
115,-1.1625803675723863
116,-1.161662016240049
117,-1.1610629948994624
118,-1.1596546774097343
119,-1.1603488243172606
120,-1.1595719623192746
121,-1.1591072381508345
122,-1.1594462476642204
123,-1.1607330234652062
124,-1.159786364480312
125,-1.1590986388024345
126,-1.1584900781491432
127,-1.1578294803065337
128,-1.1601444021064595
129,-1.160371929040957
130,-1.1601035837267029
131,-1.1595142317354123
132,-1.1586668052193108
133,-1.15820737103881
134,-1.1583440440538535
135,-1.158317856860063
136,-1.1579859148219438
137,-1.1572659240388836
138,-1.15737828810157
139,-1.1572554380200162
140,-1.156501770361407
141,-1.1567074071758983
142,-1.1563771868344859
143,-1.1559548500756383
144,-1.157267509847484
145,-1.15624562680745
146,-1.1563919538105034
147,-1.1568957914249571
148,-1.1570174488381375
149,-1.155989278236739
150,-1.1556610962620033
151,-1.1553623365685521
152,-1.1580854386739923
153,-1.1572822358031782
154,-1.1572049881987463
155,-1.1579915179976303
156,-1.1575256282145359
157,-1.1572559517610836
158,-1.1565760720456368
159,-1.1560270899930662
160,-1.15650536060657
161,-1.156124533286413
162,-1.156007654470958
163,-1.1563981775190106
164,-1.1574622904727294
165,-1.1572353071583976
166,-1.1578838754072953
167,-1.1584141065191789
168,-1.1616904648066426
169,-1.1614217822190949
170,-1.162135532468756
171,-1.1623694334403725
172,-1.1620241722526319
173,-1.162671835614883
174,-1.1621656067164983
175,-1.1622869181564484
176,-1.1613670035804382
177,-1.160484003347252
178,-1.1608127840961575
179,-1.1602754168260219
180,-1.1611091734015644
181,-1.16128697507984
182,-1.159776184887676
183,-1.1596392876079133
184,-1.159429004024553
185,-1.159087986114681
186,-1.160732532423298
187,-1.1604300834659722
188,-1.160021365570303
189,-1.1592529091053783
190,-1.1620591626269745
191,-1.1607647305165312
192,-1.161348646379106
193,-1.1615356284191867
194,-1.1628705552436143
195,-1.1630027711053512
196,-1.1622218505195685
197,-1.1614850665866243
198,-1.1617131823523643
199,-1.1616120594158417
200,-1.1614548985760078
201,-1.160393215991477
202,-1.1592952776638867
203,-1.160406926685966
204,-1.161498300990906
205,-1.1616472403723734
206,-1.1617129867352611
207,-1.1613118532803568
208,-1.1614067435415343
209,-1.1641438758968614
210,-1.1630636101937504
211,-1.1622870650157417
212,-1.1615847988710295
213,-1.1602174153737825
214,-1.1597915034967277
215,-1.1593589222451393
216,-1.1599191358769194
217,-1.1600177329022945
218,-1.1602138222942067
219,-1.1631948815630575
220,-1.1637241792703474
221,-1.162361312664706
222,-1.162035912132421
223,-1.1606236110302135
224,-1.1596823469434212
225,-1.1593723091252872
226,-1.157720497216907
227,-1.1592178548770173
228,-1.1594245968035966
229,-1.159821571452692
230,-1.159764576744991
231,-1.1613208390212109
232,-1.1622231673392105
233,-1.1613544114164196
234,-1.1614376458575888
235,-1.160469213704525
236,-1.1601698168284456
237,-1.1600177417630533
238,-1.1594497054784343
239,-1.1590719584502611
240,-1.1600982012371719
241,-1.1592325901286085
242,-1.1593102982155694
243,-1.157902053204771
244,-1.1585423628256826
245,-1.1578210038324594
246,-1.1578019326824953
247,-1.1572214599037645
248,-1.1568963559271066
249,-1.1560286274057503
250,-1.1548792557726784
251,-1.1550028162313613
252,-1.1544473021282893
253,-1.1538143697187133
254,-1.1538468605610286
255,-1.1525624812630433
256,-1.1513000869945686
257,-1.1515436717049237
258,-1.151449853527351
