order,cum_neg,cum_pos,pseudo_similarity,prop_fin
1,0,0,0.9894760396907735,1.0
2,1,0,0.9594790669833716,2.0
3,1,0,0.9531485841648635,2.0
4,2,0,0.9516332773831202,3.0
5,3,0,0.951504345915974,4.0
6,4,0,0.9507241228876538,5.0
7,4,0,0.9494795762335594,5.0
8,5,0,0.9423569973377188,6.0
9,5,0,0.9384300646644079,6.0
10,5,1,0.9312284960739526,3.0
11,5,2,0.9226047737865227,2.0
12,6,2,0.9225306805254675,2.3333333333333335
13,6,2,0.9189143821463711,2.3333333333333335
14,6,2,0.9185483002901834,2.3333333333333335
15,7,2,0.9161682826947674,2.6666666666666665
16,7,2,0.9130116304679097,2.6666666666666665
17,7,2,0.9115891843185953,2.6666666666666665
18,7,2,0.9097377609412799,2.6666666666666665
19,7,2,0.9079446536631071,2.6666666666666665
20,7,2,0.9076532767246067,2.6666666666666665
21,7,2,0.9050825814632224,2.6666666666666665
22,8,2,0.904760454649243,3.0
23,8,2,0.9024584599670498,3.0
24,8,2,0.895608967678468,3.0
25,9,2,0.8949060700379918,3.3333333333333335
26,9,2,0.8936072813553055,3.3333333333333335
27,10,2,0.8923544813359803,3.6666666666666665
28,10,2,0.8920332115816174,3.6666666666666665
29,10,2,0.891925305166553,3.6666666666666665
30,10,2,0.8919195157940335,3.6666666666666665
31,11,2,0.8904502024458586,4.0
32,12,2,0.8879102156144834,4.333333333333333
33,13,2,0.8878268046921654,4.666666666666667
34,14,2,0.8871161304286517,5.0
35,15,2,0.8806117712204625,5.333333333333333
36,16,2,0.880511350884401,5.666666666666667
37,16,3,0.8798629158403084,4.25
38,16,4,0.8790880693191032,3.4
39,17,4,0.8775077267711471,3.6
40,17,4,0.8773251588996249,3.6
41,17,4,0.8769838758257461,3.6
42,17,4,0.8763153410389725,3.6
43,17,4,0.8762532516584645,3.6
44,17,5,0.8753030075750343,3.0
45,17,5,0.8740421957695498,3.0
46,17,5,0.8740173088897585,3.0
47,18,5,0.8734569770308107,3.1666666666666665
48,19,5,0.8727852749717051,3.3333333333333335
49,19,5,0.8710817449173058,3.3333333333333335
50,19,5,0.8683431817356038,3.3333333333333335
51,20,5,0.8671022722054047,3.5
52,20,5,0.8668460612036382,3.5
53,20,5,0.8655477691706407,3.5
54,20,5,0.8647893464344522,3.5
55,21,5,0.864381085498843,3.6666666666666665
56,22,5,0.8628453699290087,3.8333333333333335
57,23,5,0.8627767357505911,4.0
58,23,5,0.8626685408084077,4.0
59,23,5,0.8596660246402267,4.0
60,23,5,0.859318391714323,4.0
61,23,5,0.8587405355983591,4.0
62,23,5,0.8576256263303959,4.0
63,23,5,0.8574373400872435,4.0
64,23,6,0.8555402309682689,3.4285714285714284
65,23,6,0.8548908758667135,3.4285714285714284
66,23,7,0.8542011517824727,3.0
67,23,7,0.8541513324647336,3.0
68,24,7,0.8520803621889803,3.125
69,24,8,0.8513169464785585,2.7777777777777777
70,24,9,0.8501588812887673,2.5
71,25,9,0.8496935074747025,2.6
72,25,9,0.8496929891839669,2.6
73,25,9,0.8494159190635171,2.6
74,26,9,0.8486307815191992,2.7
75,26,9,0.8479467805670736,2.7
76,27,9,0.8476909189359519,2.8
77,27,9,0.845930538890837,2.8
78,27,9,0.8454865836331552,2.8
79,27,9,0.8453904643692955,2.8
80,27,9,0.8406009546638158,2.8
81,27,9,0.839789215810774,2.8
82,27,9,0.8397342486812287,2.8
83,28,9,0.8393752560126401,2.9
84,28,10,0.8389454135529811,2.6363636363636362
85,29,10,0.8383143720555972,2.727272727272727
86,29,11,0.8381014847383073,2.5
87,29,12,0.8374731376441987,2.3076923076923075
88,30,12,0.8373019420563255,2.3846153846153846
89,30,12,0.8370230971962752,2.3846153846153846
90,31,12,0.8361358819983573,2.4615384615384617
91,32,12,0.8347969737663746,2.5384615384615383
92,33,12,0.8344380285553222,2.6153846153846154
93,33,12,0.8343074529247148,2.6153846153846154
94,33,12,0.8333787752817498,2.6153846153846154
95,34,12,0.8333038284586489,2.6923076923076925
96,34,12,0.8309819037801145,2.6923076923076925
97,34,12,0.8292438818417841,2.6923076923076925
98,34,12,0.8292129976482632,2.6923076923076925
99,34,12,0.8281016502797022,2.6923076923076925
100,34,13,0.8265771797475778,2.5
101,34,13,0.8265050635216108,2.5
102,34,13,0.8263039161347628,2.5
103,34,13,0.8259003387396578,2.5
104,34,13,0.8253580743517228,2.5
105,34,13,0.8241220853333208,2.5
106,34,13,0.8234185924682473,2.5
107,34,13,0.8226602438885414,2.5
108,34,13,0.8226100844229944,2.5
109,34,13,0.821901384042836,2.5
110,34,13,0.8215064612379105,2.5
111,34,14,0.8213921773082669,2.3333333333333335
112,34,15,0.8213488408659938,2.1875
113,34,15,0.8212204407088319,2.1875
114,34,15,0.8210358049289755,2.1875
115,34,15,0.8208094082337464,2.1875
116,34,16,0.8195842148379529,2.0588235294117645
117,34,16,0.8189452087866126,2.0588235294117645
118,34,16,0.8181045586591277,2.0588235294117645
119,35,16,0.8174757300270632,2.1176470588235294
120,36,16,0.8171203629846735,2.176470588235294
121,36,16,0.8170039248778748,2.176470588235294
122,37,16,0.8160665468780115,2.235294117647059
123,37,16,0.8159566640187044,2.235294117647059
124,37,16,0.8135275986814345,2.235294117647059
125,37,16,0.8125329013094593,2.235294117647059
126,37,17,0.8113458479403053,2.111111111111111
127,37,17,0.8102348298154056,2.111111111111111
128,37,17,0.8101399244301781,2.111111111111111
129,38,17,0.8093028768411892,2.1666666666666665
130,38,17,0.807458859772533,2.1666666666666665
131,38,17,0.807169648639804,2.1666666666666665
132,39,17,0.8062781925909712,2.2222222222222223
133,39,17,0.8062498523966948,2.2222222222222223
134,40,17,0.8059886086984689,2.2777777777777777
135,40,18,0.8053408277283489,2.1578947368421053
136,41,18,0.803244746704306,2.210526315789474
137,41,19,0.8021989524100002,2.1
138,42,19,0.8016757684696159,2.15
139,42,19,0.8016559892278103,2.15
140,42,19,0.7981747811329662,2.15
