Label,TopK,Value,Control
MPRA_HepG2,400,0.225563909774436,0.2
MPRA_K562,400,0.2180451127819548,0.2
MPRA_SKNSH,400,0.2105263157894736,0.2
epigenetics_ELF1,400,0.2581453634085213,0.2
epigenetics_HNF1A,400,0.2406015037593984,0.2
epigenetics_HNF4A,400,0.2180451127819548,0.2
MPRA_HepG2,300,0.2675585284280936,0.2
MPRA_K562,300,0.2274247491638795,0.2
MPRA_SKNSH,300,0.2207357859531772,0.2
epigenetics_ELF1,300,0.3076923076923077,0.2
epigenetics_HNF1A,300,0.2642140468227424,0.2
epigenetics_HNF4A,300,0.2207357859531772,0.2
MPRA_HepG2,200,0.3165829145728643,0.2
MPRA_K562,200,0.2160804020100502,0.2
MPRA_SKNSH,200,0.2412060301507537,0.2
epigenetics_ELF1,200,0.3819095477386934,0.2
epigenetics_HNF1A,200,0.3165829145728643,0.2
epigenetics_HNF4A,200,0.2311557788944723,0.2
MPRA_HepG2,100,0.3636363636363636,0.2
MPRA_K562,100,0.2121212121212121,0.2
MPRA_SKNSH,100,0.2929292929292929,0.2
epigenetics_ELF1,100,0.3939393939393939,0.2
epigenetics_HNF1A,100,0.404040404040404,0.2
epigenetics_HNF4A,100,0.2222222222222222,0.2
