Label,TopK,Value,Control
MPRA_HepG2,400,1.2814129351486485,1.0
MPRA_K562,400,1.0531113364595626,1.0
MPRA_SKNSH,400,1.1338557467347907,1.0
epigenetics_ELF1,400,1.6404576133128597,1.0
epigenetics_HNF1A,400,1.3747447933308106,1.0
epigenetics_HNF4A,400,1.0658020583957462,1.0
MPRA_HepG2,300,1.658963082164933,1.0
MPRA_K562,300,1.1754420064098783,1.0
MPRA_SKNSH,300,1.2145940507760407,1.0
epigenetics_ELF1,300,2.40372218605101,1.0
epigenetics_HNF1A,300,1.6438561897747248,1.0
epigenetics_HNF4A,300,1.0766212816029126,1.0
MPRA_HepG2,200,2.0170735133589415,1.0
MPRA_K562,200,1.4474589769712214,1.0
MPRA_SKNSH,200,1.228268987673117,1.0
epigenetics_ELF1,200,3.1255308820838588,1.0
epigenetics_HNF1A,200,1.691877704637668,1.0
epigenetics_HNF4A,200,1.1699250014423124,1.0
MPRA_HepG2,100,2.241008099503795,1.0
MPRA_K562,100,1.8073549220576042,1.0
MPRA_SKNSH,100,1.082462160191973,1.0
epigenetics_ELF1,100,3.222392421336448,1.0
epigenetics_HNF1A,100,2.3536369546147005,1.0
epigenetics_HNF4A,100,1.050626073069968,1.0
