Label,TopK,Value,Control
MPRA_HepG2,400,1.1626710496263788,1.0
MPRA_K562,400,1.1035211139242584,1.0
MPRA_SKNSH,400,1.0115152304092756,1.0
epigenetics_ELF1,400,1.1704805683243271,1.0
epigenetics_HNF1A,400,1.0823501066276089,1.0
epigenetics_HNF4A,400,1.0070860739704068,1.0
MPRA_HepG2,300,1.3918903700495213,1.0
MPRA_K562,300,1.129736501093313,1.0
MPRA_SKNSH,300,1.0909920380017135,1.0
epigenetics_ELF1,300,1.2999970213740164,1.0
epigenetics_HNF1A,300,1.1495795950316452,1.0
epigenetics_HNF4A,300,1.0159208976590943,1.0
MPRA_HepG2,200,1.6420765075594295,1.0
MPRA_K562,200,1.1441905631115075,1.0
MPRA_SKNSH,200,1.2117096990047098,1.0
epigenetics_ELF1,200,1.4618224367266714,1.0
epigenetics_HNF1A,200,1.2513428742144441,1.0
epigenetics_HNF4A,200,1.031896725051774,1.0
MPRA_HepG2,100,1.8439617535030586,1.0
MPRA_K562,100,1.1207240790470505,1.0
MPRA_SKNSH,100,1.3880221012670872,1.0
epigenetics_ELF1,100,1.5385719319104287,1.0
epigenetics_HNF1A,100,1.3344120645692987,1.0
epigenetics_HNF4A,100,1.0332625133867872,1.0
