order,cum_neg,cum_pos,pseudo_similarity,prop_fin
1,0,0,0.8598117230091656,1.0
2,0,0,0.857720162085374,1.0
3,0,0,0.852646486899283,1.0
4,1,0,0.850824786761422,2.0
5,1,0,0.8502807036406963,2.0
6,2,0,0.8499103861478257,3.0
7,3,0,0.8496508658395471,4.0
8,4,0,0.8494485300766115,5.0
9,4,0,0.8480053657889495,5.0
10,5,0,0.8478253547217166,6.0
11,5,0,0.847255636711297,6.0
12,6,0,0.8468613069447297,7.0
13,6,0,0.8464785353294011,7.0
14,7,0,0.8464170728367961,8.0
15,7,0,0.8461119724668323,8.0
16,8,0,0.8459019834921586,9.0
17,8,0,0.8455451334574332,9.0
18,8,0,0.8455338728202018,9.0
19,8,0,0.8453787399458288,9.0
20,8,0,0.8448020872533412,9.0
21,8,0,0.8434120302999295,9.0
22,8,1,0.842883302291493,4.5
23,9,1,0.8428634357496845,5.0
24,10,1,0.8428519694183834,5.5
25,11,1,0.8427930331610828,6.0
26,12,1,0.842725952475535,6.5
27,13,1,0.8425049614674865,7.0
28,14,1,0.8420438590154882,7.5
29,14,1,0.8419193557042748,7.5
30,14,1,0.8413505411316975,7.5
31,15,1,0.840413620463429,8.0
32,15,1,0.8396376625578663,8.0
33,15,1,0.8394737129902796,8.0
34,15,1,0.8393032896424996,8.0
35,15,1,0.8392370789239756,8.0
36,16,1,0.8388178328068435,8.5
37,16,1,0.8388070912560326,8.5
38,17,1,0.8386994555071886,9.0
39,17,1,0.8380169436293341,9.0
40,17,1,0.8379714249203197,9.0
41,18,1,0.8378099432096796,9.5
42,18,1,0.837486440508646,9.5
43,18,1,0.8374734618535836,9.5
44,19,1,0.8373231915312274,10.0
45,20,1,0.8369136763138002,10.5
46,20,1,0.8368847736410971,10.5
47,21,1,0.8365570346073429,11.0
48,22,1,0.8361135528818325,11.5
49,22,1,0.8361027690695195,11.5
50,22,1,0.8360192714080962,11.5
51,23,1,0.8359659163512884,12.0
52,23,1,0.835739112743849,12.0
53,23,1,0.8354001056359898,12.0
54,24,1,0.8350124536215416,12.5
55,25,1,0.834961747105279,13.0
56,26,1,0.8343817186727597,13.5
57,26,1,0.8343471152708342,13.5
58,26,1,0.8340455737383606,13.5
59,27,1,0.8337393817637799,14.0
60,27,1,0.8337330725910244,14.0
61,27,1,0.8335438252863867,14.0
62,27,1,0.8329749653122074,14.0
63,27,1,0.832649467868377,14.0
64,27,1,0.8322372734694908,14.0
65,28,1,0.8310801484651026,14.5
66,29,1,0.8305870246185538,15.0
67,29,1,0.8305345718168304,15.0
68,30,1,0.8305267216317741,15.5
69,30,1,0.8302112860528336,15.5
70,31,1,0.8301340690525391,16.0
71,31,1,0.8294973234259717,16.0
72,32,1,0.8293773723054721,16.5
73,33,1,0.8292769935416249,17.0
74,34,1,0.8285720354875673,17.5
75,34,1,0.8284434505665187,17.5
76,34,1,0.8283735542617113,17.5
77,34,1,0.8280574940637163,17.5
78,35,1,0.8271210466415359,18.0
79,35,1,0.8268595673771637,18.0
80,36,1,0.8267330693348032,18.5
81,36,1,0.8264572476691499,18.5
82,37,1,0.8262257752361183,19.0
83,37,1,0.8256373910889989,19.0
84,38,1,0.8254415991698225,19.5
85,38,1,0.8252147884969744,19.5
86,39,1,0.8249947253750937,20.0
87,40,1,0.8247409056317899,20.5
88,40,1,0.8245991659387639,20.5
89,41,1,0.8243197521610863,21.0
90,41,1,0.8242182930979772,21.0
91,41,1,0.8239967766764931,21.0
92,41,1,0.82388139314048,21.0
93,41,1,0.8228983609278427,21.0
94,42,1,0.8220227076027059,21.5
95,42,1,0.8216766366810333,21.5
96,43,1,0.8216002839867242,22.0
97,43,1,0.8215585011652888,22.0
98,43,1,0.821445423452273,22.0
99,43,1,0.821347082228485,22.0
100,43,1,0.8208771002405071,22.0
101,44,1,0.8190631347110826,22.5
102,44,2,0.8187945267784809,15.0
103,44,2,0.8187328705546052,15.0
104,45,2,0.8185303691853465,15.333333333333334
105,45,2,0.8185222783067625,15.333333333333334
106,46,2,0.8180413610290791,15.666666666666666
107,47,2,0.8175344896307214,16.0
108,47,2,0.8171784354816474,16.0
109,47,2,0.8168617388908055,16.0
110,48,2,0.8167357395971577,16.333333333333332
111,48,2,0.8167317240153474,16.333333333333332
112,48,2,0.81672673753837,16.333333333333332
113,49,2,0.8166738204642734,16.666666666666668
114,49,3,0.8163284084867842,12.5
115,49,3,0.8160997540388982,12.5
116,49,3,0.8160921890335926,12.5
117,49,4,0.8160551403380341,10.0
118,49,4,0.8157870814359408,10.0
119,49,4,0.815357456721274,10.0
120,49,4,0.8151132856040626,10.0
121,49,4,0.814996370408255,10.0
122,49,4,0.8149862602126565,10.0
123,49,4,0.8148509675369763,10.0
124,49,4,0.814729964039185,10.0
125,49,4,0.8145804814176023,10.0
126,49,4,0.8145380131734836,10.0
127,50,4,0.8142503777135487,10.2
128,50,4,0.8140163696610843,10.2
129,51,4,0.8138214152434275,10.4
130,52,4,0.8135117247303381,10.6
131,52,5,0.8134464980061991,8.833333333333334
132,52,5,0.8133757037623742,8.833333333333334
133,52,5,0.8127724202161629,8.833333333333334
134,52,5,0.8124853694277615,8.833333333333334
135,52,5,0.8122271456665885,8.833333333333334
136,52,6,0.8121007707976207,7.571428571428571
137,52,6,0.8115140998810437,7.571428571428571
138,53,6,0.8114798832450592,7.714285714285714
139,54,6,0.8110599417907804,7.857142857142857
140,55,6,0.8109771377421812,8.0
141,56,6,0.8106364338789587,8.142857142857142
142,57,6,0.810548165285172,8.285714285714286
143,57,7,0.8101220186796625,7.25
144,57,7,0.8100222506518646,7.25
145,57,7,0.8100061636328098,7.25
146,57,7,0.809414713368794,7.25
147,57,7,0.8088784958843962,7.25
148,57,7,0.8083492150041319,7.25
149,58,7,0.8081835173721135,7.375
150,59,7,0.8080653753161622,7.5
151,59,7,0.8073420993375036,7.5
152,59,7,0.8072477918679886,7.5
153,59,7,0.8071014240156162,7.5
154,59,8,0.8067680045539846,6.666666666666667
155,59,8,0.8066969983791601,6.666666666666667
156,59,9,0.8050851481699003,6.0
157,59,9,0.8044410093379055,6.0
158,60,9,0.8039379416703463,6.1
159,60,9,0.8037256712828345,6.1
160,61,9,0.8035182791572685,6.2
161,62,9,0.803395508380212,6.3
162,62,10,0.8033661901566809,5.7272727272727275
163,62,10,0.8031953062090023,5.7272727272727275
164,62,10,0.8029237959548741,5.7272727272727275
165,62,10,0.8025970542818883,5.7272727272727275
166,63,10,0.8022540275714909,5.818181818181818
167,63,10,0.802101956883724,5.818181818181818
168,63,10,0.8020894401381854,5.818181818181818
169,63,10,0.8020756589933983,5.818181818181818
170,63,10,0.799377774877669,5.818181818181818
171,64,10,0.7989508625024313,5.909090909090909
172,64,10,0.7988955622943661,5.909090909090909
173,64,10,0.7985293699029812,5.909090909090909
174,64,10,0.7978370109730563,5.909090909090909
175,65,10,0.7978000210290449,6.0
176,66,10,0.7977338225392737,6.090909090909091
177,67,10,0.7975068557256064,6.181818181818182
178,68,10,0.797478644803391,6.2727272727272725
179,69,10,0.7968864481262307,6.363636363636363
180,69,10,0.7966558744981618,6.363636363636363
181,69,10,0.7964908279172037,6.363636363636363
182,69,10,0.7959186679619936,6.363636363636363
183,69,11,0.7958533219243711,5.833333333333333
184,70,11,0.7956188338676401,5.916666666666667
185,71,11,0.7954283249657509,6.0
186,71,11,0.7951391524104807,6.0
187,71,11,0.7948245925045886,6.0
188,71,12,0.7946994034132636,5.538461538461538
189,71,12,0.7945260858195362,5.538461538461538
190,71,12,0.7944243091797327,5.538461538461538
191,71,12,0.7943286960414813,5.538461538461538
192,71,12,0.7935832047461965,5.538461538461538
193,72,12,0.7932278335292559,5.615384615384615
194,72,12,0.7931513107351608,5.615384615384615
195,72,12,0.7927884657097879,5.615384615384615
196,72,12,0.7927066146769992,5.615384615384615
197,72,12,0.792479122899543,5.615384615384615
198,72,12,0.7912980199487657,5.615384615384615
199,72,12,0.7906716392260112,5.615384615384615
200,72,12,0.7906611073106069,5.615384615384615
201,72,13,0.7902212371392636,5.214285714285714
202,72,13,0.7897470145166388,5.214285714285714
203,72,13,0.7897108606665102,5.214285714285714
204,72,13,0.7897082657029258,5.214285714285714
205,72,13,0.789280608563314,5.214285714285714
206,72,14,0.7879793220614457,4.866666666666666
207,72,14,0.7878485391357251,4.866666666666666
208,73,14,0.7872467808008409,4.933333333333334
209,73,14,0.78659037256965,4.933333333333334
210,73,14,0.7864302379146559,4.933333333333334
211,73,14,0.7863963983337159,4.933333333333334
212,73,14,0.7863536400329272,4.933333333333334
213,73,14,0.7862126570662047,4.933333333333334
214,73,15,0.7860056838295952,4.625
215,73,15,0.7859843639525003,4.625
216,73,16,0.7854099530090511,4.352941176470588
217,73,16,0.7852497240185569,4.352941176470588
218,73,17,0.7851764098871119,4.111111111111111
219,74,17,0.7851576183317015,4.166666666666667
220,75,17,0.7830951641576148,4.222222222222222
221,75,17,0.7829058255192178,4.222222222222222
222,76,17,0.7828941424529925,4.277777777777778
223,76,17,0.7825812709269273,4.277777777777778
224,76,17,0.782536701411725,4.277777777777778
225,76,17,0.782444343348474,4.277777777777778
226,76,17,0.7823333262678402,4.277777777777778
227,76,17,0.7813197099184358,4.277777777777778
228,76,17,0.7807801596456262,4.277777777777778
229,76,17,0.7802055160797764,4.277777777777778
230,76,17,0.7797879103019155,4.277777777777778
231,76,17,0.7793715973701962,4.277777777777778
232,76,17,0.7790056802410446,4.277777777777778
233,76,17,0.778091723859707,4.277777777777778
234,76,17,0.7778307001120526,4.277777777777778
235,76,17,0.7766179801963708,4.277777777777778
236,76,17,0.7760322076413861,4.277777777777778
237,76,17,0.7758846580987929,4.277777777777778
238,76,17,0.7757890864150816,4.277777777777778
239,76,17,0.7757505750830119,4.277777777777778
240,76,17,0.7752944875617134,4.277777777777778
241,76,17,0.7751832014380645,4.277777777777778
242,76,17,0.7747770253498184,4.277777777777778
243,76,18,0.7745101075749687,4.052631578947368
244,77,18,0.7736995998587743,4.105263157894737
245,77,18,0.7736965961779113,4.105263157894737
246,77,18,0.7734617417394942,4.105263157894737
247,78,18,0.7730910700943937,4.157894736842105
248,78,18,0.772776002785914,4.157894736842105
249,78,19,0.7722569894841439,3.95
250,78,19,0.7716607431340143,3.95
251,78,19,0.7706952786776968,3.95
252,78,19,0.7694441500174896,3.95
253,78,20,0.7692589796061701,3.761904761904762
254,78,20,0.7689721936753352,3.761904761904762
255,78,21,0.7687410196673288,3.590909090909091
256,78,21,0.7682052795648802,3.590909090909091
257,78,21,0.7680453510114964,3.590909090909091
258,79,21,0.7675073002093693,3.6363636363636362
259,79,21,0.767447916239413,3.6363636363636362
260,79,21,0.7671628469200609,3.6363636363636362
261,80,21,0.7669694070191995,3.6818181818181817
262,80,21,0.7667569723934105,3.6818181818181817
263,80,22,0.7667435566715803,3.5217391304347827
264,80,22,0.76652259206671,3.5217391304347827
265,81,22,0.7664091099607454,3.5652173913043477
266,81,22,0.7663494327171196,3.5652173913043477
267,81,23,0.7662527992697945,3.4166666666666665
268,81,23,0.7661133666149575,3.4166666666666665
269,81,24,0.7660798394728763,3.28
270,81,25,0.7655426756378099,3.1538461538461537
271,81,26,0.7654515364917455,3.037037037037037
272,81,27,0.7650187900137144,2.9285714285714284
273,81,27,0.7648503758895243,2.9285714285714284
274,81,27,0.7645895068218889,2.9285714285714284
275,81,27,0.7638644588735777,2.9285714285714284
276,82,27,0.7637217338041554,2.9642857142857144
277,82,28,0.7634437531135735,2.8620689655172415
278,82,28,0.7632734314465296,2.8620689655172415
279,82,28,0.7632387427800806,2.8620689655172415
280,82,28,0.7629506434119189,2.8620689655172415
281,82,28,0.7623727387681398,2.8620689655172415
282,83,28,0.7620727579339677,2.896551724137931
283,83,28,0.7619368306060272,2.896551724137931
284,83,28,0.7617432733806334,2.896551724137931
285,83,28,0.7617004857834075,2.896551724137931
286,83,28,0.761601146386113,2.896551724137931
287,83,28,0.7615694509385715,2.896551724137931
288,83,28,0.7614739406858222,2.896551724137931
289,83,29,0.7613448091887471,2.8
290,84,29,0.761292297852302,2.8333333333333335
291,84,29,0.7608075471754004,2.8333333333333335
292,84,29,0.7602880444975486,2.8333333333333335
293,85,29,0.7601739531201951,2.8666666666666667
294,85,29,0.7591958550124378,2.8666666666666667
295,85,29,0.7589138379417152,2.8666666666666667
296,85,29,0.7584547494866782,2.8666666666666667
297,85,30,0.7573105201124586,2.774193548387097
298,86,30,0.7565543500740026,2.806451612903226
299,86,31,0.7559687725553285,2.71875
300,86,31,0.7549158198653158,2.71875
301,86,31,0.7545789011913245,2.71875
302,86,32,0.7545672930269659,2.6363636363636362
303,86,33,0.7539209468989022,2.5588235294117645
304,86,33,0.7522417506591343,2.5588235294117645
305,86,33,0.752115642679528,2.5588235294117645
306,86,33,0.7520213757143738,2.5588235294117645
307,86,33,0.7517282807003162,2.5588235294117645
308,86,33,0.7514013187380217,2.5588235294117645
309,86,34,0.7490260775960371,2.4857142857142858
310,87,34,0.7479494392811099,2.5142857142857142
311,87,35,0.7475550220522627,2.4444444444444446
312,87,35,0.7475362683965066,2.4444444444444446
313,87,35,0.7467893538884072,2.4444444444444446
314,87,35,0.7467201372259742,2.4444444444444446
315,87,35,0.7461243717164918,2.4444444444444446
316,87,35,0.7457316207511735,2.4444444444444446
317,87,35,0.745720282436249,2.4444444444444446
318,87,36,0.7454141748594995,2.3783783783783785
319,87,36,0.7452098520639157,2.3783783783783785
320,87,36,0.7446048216634665,2.3783783783783785
321,87,36,0.7441723737563054,2.3783783783783785
322,87,36,0.7436755014520896,2.3783783783783785
323,87,36,0.7418565399675325,2.3783783783783785
324,87,36,0.7409967726700353,2.3783783783783785
325,88,36,0.7408636060096387,2.4054054054054053
326,88,37,0.7407976007750947,2.3421052631578947
327,88,38,0.7407069633920371,2.282051282051282
328,89,38,0.7402512331909054,2.3076923076923075
329,89,38,0.7391434214796613,2.3076923076923075
330,89,38,0.738764548054873,2.3076923076923075
331,89,38,0.7386346141163757,2.3076923076923075
332,89,38,0.7382865920439223,2.3076923076923075
333,89,39,0.7379173954857657,2.25
334,89,40,0.7376231073933194,2.1951219512195124
335,89,40,0.7375623900526704,2.1951219512195124
336,89,41,0.73747419091586,2.142857142857143
337,89,41,0.7365131540806819,2.142857142857143
338,89,41,0.7364917741143977,2.142857142857143
339,89,41,0.7362204058361936,2.142857142857143
340,90,41,0.7356239245242626,2.1666666666666665
341,90,41,0.7355701496648099,2.1666666666666665
342,90,41,0.7352084687323268,2.1666666666666665
343,90,41,0.7346091113298512,2.1666666666666665
344,90,41,0.7343193357631506,2.1666666666666665
345,90,41,0.7332200242635158,2.1666666666666665
346,90,42,0.7325486541525924,2.116279069767442
347,90,42,0.7322824901016116,2.116279069767442
348,91,42,0.7322056906440234,2.13953488372093
349,92,42,0.7316467027297304,2.1627906976744184
350,92,42,0.7297105377459265,2.1627906976744184
351,92,42,0.7282674322812456,2.1627906976744184
352,92,42,0.7281916265427496,2.1627906976744184
353,92,43,0.7270268005050956,2.1136363636363638
354,92,44,0.7269842681371361,2.066666666666667
355,92,45,0.7264012092350304,2.0217391304347827
356,92,45,0.7259821003170772,2.0217391304347827
357,92,46,0.7254170369094215,1.9787234042553192
358,92,46,0.7225554308330916,1.9787234042553192
359,92,46,0.721306562966151,1.9787234042553192
360,92,47,0.7198686056226631,1.9375
361,92,47,0.7195528411758132,1.9375
362,92,47,0.719067067290057,1.9375
363,93,47,0.7182056966221586,1.9583333333333333
364,93,48,0.7180665919007942,1.9183673469387754
365,93,48,0.7178141587778395,1.9183673469387754
366,94,48,0.716105575874697,1.9387755102040816
367,94,48,0.715700369286122,1.9387755102040816
368,94,49,0.7156514016695494,1.9
369,94,49,0.71510711712258,1.9
370,94,49,0.71460077620239,1.9
371,94,50,0.7145410817795508,1.8627450980392157
372,94,50,0.7144223911545249,1.8627450980392157
373,94,50,0.7134566472744006,1.8627450980392157
374,94,50,0.7131613920608337,1.8627450980392157
375,94,51,0.7126647438584836,1.8269230769230769
376,94,51,0.7123110601182163,1.8269230769230769
377,94,51,0.7122481195515624,1.8269230769230769
378,94,51,0.7119276408880355,1.8269230769230769
379,94,51,0.7099621745651877,1.8269230769230769
380,94,51,0.7099158032457171,1.8269230769230769
381,94,51,0.7094859833655844,1.8269230769230769
382,95,51,0.7090991439918072,1.8461538461538463
383,96,51,0.709070328274776,1.8653846153846154
384,96,52,0.7053222492869426,1.830188679245283
385,97,52,0.7037045548135855,1.849056603773585
386,97,52,0.7035157979730462,1.849056603773585
387,97,53,0.7028500263323809,1.8148148148148149
388,97,53,0.7027394349992,1.8148148148148149
389,97,54,0.7003844478055945,1.7818181818181817
390,97,54,0.6991207626509665,1.7818181818181817
391,97,54,0.6989191044718476,1.7818181818181817
392,97,54,0.6976500688416691,1.7818181818181817
393,97,54,0.6975750647510541,1.7818181818181817
394,97,55,0.6968479251371806,1.75
395,97,55,0.6961010894742934,1.75
396,97,55,0.6956556180669593,1.75
397,97,56,0.6942207028095645,1.719298245614035
398,98,56,0.6926940080484538,1.736842105263158
399,99,56,0.6922138678402865,1.7543859649122806
400,99,56,0.6921683497157427,1.7543859649122806
401,99,56,0.6920063472465126,1.7543859649122806
402,99,57,0.6919424373894246,1.7241379310344827
403,99,58,0.6911688795487687,1.694915254237288
404,99,58,0.690834459616366,1.694915254237288
405,99,59,0.6872612005659762,1.6666666666666667
406,99,59,0.6854847306784138,1.6666666666666667
407,99,59,0.6852556080936465,1.6666666666666667
408,99,59,0.6828800643718633,1.6666666666666667
