Label,TopK,Value,Control
MPRA_HepG2,400,0.238095238095238,0.2
MPRA_K562,400,0.2105263157894736,0.2
MPRA_SKNSH,400,0.213032581453634,0.2
epigenetics_ELF1,400,0.2556390977443609,0.2
epigenetics_HNF1A,400,0.2456140350877192,0.2
epigenetics_HNF4A,400,0.2280701754385964,0.2
MPRA_HepG2,300,0.2876254180602006,0.2
MPRA_K562,300,0.2341137123745819,0.2
MPRA_SKNSH,300,0.2140468227424749,0.2
epigenetics_ELF1,300,0.3010033444816054,0.2
epigenetics_HNF1A,300,0.3010033444816054,0.2
epigenetics_HNF4A,300,0.2307692307692307,0.2
MPRA_HepG2,200,0.3366834170854271,0.2
MPRA_K562,200,0.2412060301507537,0.2
MPRA_SKNSH,200,0.2261306532663316,0.2
epigenetics_ELF1,200,0.3366834170854271,0.2
epigenetics_HNF1A,200,0.3819095477386934,0.2
epigenetics_HNF4A,200,0.2412060301507537,0.2
MPRA_HepG2,100,0.3838383838383838,0.2
MPRA_K562,100,0.2626262626262626,0.2
MPRA_SKNSH,100,0.2121212121212121,0.2
epigenetics_ELF1,100,0.3535353535353535,0.2
epigenetics_HNF1A,100,0.5555555555555556,0.2
epigenetics_HNF4A,100,0.2727272727272727,0.2
