Label,TopK,Value,Control
MPRA_HepG2,400,1.335603031784439,1.0
MPRA_K562,400,1.1199094637351963,1.0
MPRA_SKNSH,400,1.0443941193584534,1.0
epigenetics_ELF1,400,1.4617307347268853,1.0
epigenetics_HNF1A,400,1.6761103887793516,1.0
epigenetics_HNF4A,400,1.10764072318797,1.0
MPRA_HepG2,300,1.7829018783330652,1.0
MPRA_K562,300,1.3164736647952542,1.0
MPRA_SKNSH,300,1.158429362604483,1.0
epigenetics_ELF1,300,1.8948177633079435,1.0
epigenetics_HNF1A,300,1.987927167699425,1.0
epigenetics_HNF4A,300,1.2868811477881614,1.0
MPRA_HepG2,200,2.4854268271702415,1.0
MPRA_K562,200,1.5052353082504222,1.0
MPRA_SKNSH,200,1.2334901302197783,1.0
epigenetics_ELF1,200,2.635588573791124,1.0
epigenetics_HNF1A,200,2.4093909361377017,1.0
epigenetics_HNF4A,200,1.3495844377902277,1.0
MPRA_HepG2,100,3.169925001442312,1.0
MPRA_K562,100,1.5563933485243853,1.0
MPRA_SKNSH,100,1.5545888516776374,1.0
epigenetics_ELF1,100,4.554588851677638,1.0
epigenetics_HNF1A,100,2.5305147166987796,1.0
epigenetics_HNF4A,100,1.2801079191927354,1.0
