Label,TopK,Value,Control
MPRA_HepG2,400,1.2345047512380949,1.0
MPRA_K562,400,1.0619348125839545,1.0
MPRA_SKNSH,400,1.0454964552151522,1.0
epigenetics_ELF1,400,1.142855765110622,1.0
epigenetics_HNF1A,400,1.1035270191131292,1.0
epigenetics_HNF4A,400,1.018345988674914,1.0
MPRA_HepG2,300,1.4590478348599236,1.0
MPRA_K562,300,1.147868499850763,1.0
MPRA_SKNSH,300,1.0816424003738327,1.0
epigenetics_ELF1,300,1.2360976217347273,1.0
epigenetics_HNF1A,300,1.2168164678797118,1.0
epigenetics_HNF4A,300,1.0194765700896697,1.0
MPRA_HepG2,200,1.705011790478441,1.0
MPRA_K562,200,1.2374715040314683,1.0
MPRA_SKNSH,200,1.1231610444948106,1.0
epigenetics_ELF1,200,1.3205862920510953,1.0
epigenetics_HNF1A,200,1.348451927827853,1.0
epigenetics_HNF4A,200,1.033854827723431,1.0
MPRA_HepG2,100,2.0826076984600523,1.0
MPRA_K562,100,1.2569977592869213,1.0
MPRA_SKNSH,100,1.1670678092696307,1.0
epigenetics_ELF1,100,1.3693872107855327,1.0
epigenetics_HNF1A,100,1.6752746996023251,1.0
epigenetics_HNF4A,100,1.0543635865308085,1.0
