order,cum_neg,cum_pos,pseudo_similarity,prop_fin
1,0,1,0.9646555767381716,0.5
2,0,1,0.9640937002767191,0.5
3,0,1,0.9601287133724774,0.5
4,0,1,0.960127975329007,0.5
5,1,1,0.9591786626947972,1.0
6,1,2,0.957365942168789,0.6666666666666666
7,2,2,0.9568113286320827,1.0
8,2,2,0.9565484995924702,1.0
9,2,2,0.956431696296143,1.0
10,2,2,0.9498759028434166,1.0
11,3,2,0.9493566296450698,1.3333333333333333
12,3,2,0.9485185077115111,1.3333333333333333
13,3,2,0.9477645232922088,1.3333333333333333
14,4,2,0.9463806059660104,1.6666666666666667
15,5,2,0.9452272142135598,2.0
16,6,2,0.9450268170357903,2.3333333333333335
17,7,2,0.94492956413937,2.6666666666666665
18,7,2,0.9446862336622026,2.6666666666666665
19,8,2,0.9441298356522011,3.0
20,8,2,0.9435160478149764,3.0
21,9,2,0.9433709926519322,3.3333333333333335
22,9,2,0.9384515898958279,3.3333333333333335
23,9,2,0.9378963711540794,3.3333333333333335
24,9,2,0.9378660515213322,3.3333333333333335
25,9,2,0.9377533278338709,3.3333333333333335
26,10,2,0.937131756151489,3.6666666666666665
27,10,2,0.9365675770372945,3.6666666666666665
28,11,2,0.9364221103433658,4.0
29,11,2,0.936103300617822,4.0
30,12,2,0.9360176183235417,4.333333333333333
31,13,2,0.933719850025206,4.666666666666667
32,13,2,0.9325807258525438,4.666666666666667
33,14,2,0.9325020577902992,5.0
34,15,2,0.9320010046640554,5.333333333333333
35,16,2,0.931482627354168,5.666666666666667
36,16,2,0.9311073568286024,5.666666666666667
37,16,2,0.9309142186908654,5.666666666666667
38,16,2,0.9304647719412311,5.666666666666667
39,17,2,0.9302351827805457,6.0
40,17,2,0.9283838362834903,6.0
41,17,2,0.928080431758105,6.0
42,17,2,0.9280060819404058,6.0
43,18,2,0.9278981702621041,6.333333333333333
44,19,2,0.9275322930702119,6.666666666666667
45,19,2,0.9269938335107695,6.666666666666667
46,19,2,0.9262665991655543,6.666666666666667
47,20,2,0.9256415480472364,7.0
48,20,2,0.9253775565125263,7.0
49,20,2,0.9241072339996883,7.0
50,20,2,0.923879641578002,7.0
51,21,2,0.9206954425838274,7.333333333333333
52,21,2,0.9205488799950966,7.333333333333333
53,21,3,0.919979199394402,5.5
54,22,3,0.9195952033051693,5.75
55,23,3,0.9183210731872476,6.0
56,24,3,0.9177834072146364,6.25
57,25,3,0.9169646259706471,6.5
58,25,3,0.9165960207938073,6.5
59,26,3,0.9164000951110756,6.75
60,26,3,0.9160076119017604,6.75
61,26,3,0.9158430428012991,6.75
62,26,4,0.9155697691814692,5.4
63,26,4,0.9154609932042755,5.4
64,26,4,0.91512153660536,5.4
65,27,4,0.9147137856637604,5.6
66,28,4,0.9142757261177978,5.8
67,28,4,0.9134845868299172,5.8
68,28,4,0.9129884690795482,5.8
69,28,4,0.9120212861284458,5.8
70,29,4,0.9119084386180689,6.0
71,29,4,0.9115171723093025,6.0
72,29,4,0.9113467863630186,6.0
73,29,4,0.9107623479363778,6.0
74,30,4,0.9105373761880347,6.2
75,30,4,0.9103518174357792,6.2
76,31,4,0.908920735346799,6.4
77,31,4,0.908533423833221,6.4
78,31,4,0.9085265724853406,6.4
79,32,4,0.907946906082983,6.6
80,32,4,0.9077425993323729,6.6
81,33,4,0.9075550923850227,6.8
82,33,4,0.9071354848784291,6.8
83,33,4,0.9057061486261913,6.8
84,34,4,0.904388902311615,7.0
85,35,4,0.9043563620194032,7.2
86,35,4,0.9043436031853,7.2
87,35,4,0.9039830597548151,7.2
88,35,5,0.9033041621667035,6.0
89,35,6,0.9030887797221118,5.142857142857143
90,35,6,0.9018678491163308,5.142857142857143
91,35,6,0.9005477373566153,5.142857142857143
92,35,6,0.9001760880802767,5.142857142857143
93,36,6,0.8999407829088771,5.285714285714286
94,36,6,0.8996767204140059,5.285714285714286
95,36,6,0.898777066806105,5.285714285714286
96,36,6,0.8978011183643563,5.285714285714286
97,37,6,0.8976096792925512,5.428571428571429
98,37,6,0.8970774763112936,5.428571428571429
99,37,6,0.8965955745173531,5.428571428571429
100,38,6,0.8964419446980638,5.571428571428571
101,38,6,0.8963702020103405,5.571428571428571
102,38,6,0.8948670413830465,5.571428571428571
103,38,6,0.8920390128110693,5.571428571428571
104,38,6,0.8920130641596009,5.571428571428571
105,38,6,0.8912222809270017,5.571428571428571
106,38,7,0.8910086216482583,4.875
107,39,7,0.8906793584312828,5.0
108,40,7,0.8895859056088617,5.125
109,40,8,0.8892988036896231,4.555555555555555
