order,cum_neg,cum_pos,pseudo_similarity,prop_fin
1,1,0,0.9757280718163771,2.0
2,1,1,0.9755571599904231,1.0
3,1,1,0.975445796446465,1.0
4,1,1,0.9752951864148359,1.0
5,1,1,0.9749775268453138,1.0
6,1,1,0.9747752085551376,1.0
7,1,1,0.9739824624758402,1.0
8,1,1,0.9737505047529256,1.0
9,1,1,0.9736044908490581,1.0
10,1,1,0.9732809717384654,1.0
11,1,1,0.9730980720372412,1.0
12,1,1,0.9730717806690212,1.0
13,1,2,0.972444570030194,0.6666666666666666
14,1,2,0.9720503689678802,0.6666666666666666
15,1,2,0.9715188845693901,0.6666666666666666
16,1,2,0.97126899551135,0.6666666666666666
17,1,2,0.9712662570069672,0.6666666666666666
18,1,2,0.9712550302601948,0.6666666666666666
19,2,2,0.9711173835168015,1.0
20,3,2,0.9707730255744297,1.3333333333333333
21,3,2,0.9706890665521619,1.3333333333333333
22,3,2,0.9706494786789868,1.3333333333333333
23,4,2,0.9703434871369835,1.6666666666666667
24,4,3,0.9701907260579512,1.25
25,4,3,0.9700918020975177,1.25
26,4,3,0.9699899690764111,1.25
27,4,4,0.9698915816754743,1.0
28,4,5,0.9695321909992477,0.8333333333333334
29,5,5,0.9694376955326458,1.0
30,5,5,0.9692612582607015,1.0
31,5,6,0.9691838551084312,0.8571428571428571
32,5,6,0.9691481191966995,0.8571428571428571
33,6,6,0.9690779978310252,1.0
34,6,6,0.969012027139215,1.0
35,6,6,0.9686930976490585,1.0
36,6,6,0.9686730311044334,1.0
37,7,6,0.9685928700863418,1.1428571428571428
38,7,6,0.9684576766653706,1.1428571428571428
39,8,6,0.9679017335003633,1.2857142857142858
40,8,7,0.9678582439731545,1.125
41,8,8,0.9678265345871334,1.0
42,8,8,0.967680636932482,1.0
43,8,8,0.9675761457919151,1.0
44,8,8,0.9673101657217853,1.0
45,8,8,0.9670477682057392,1.0
46,9,8,0.9669457942503941,1.1111111111111112
47,10,8,0.9669261965590218,1.2222222222222223
48,10,8,0.9667787426896512,1.2222222222222223
49,11,8,0.966700286127394,1.3333333333333333
50,12,8,0.9666817300280229,1.4444444444444444
51,12,8,0.9666560407088032,1.4444444444444444
52,13,8,0.966620745006928,1.5555555555555556
53,14,8,0.9664640236250975,1.6666666666666667
54,14,8,0.9664421605185279,1.6666666666666667
55,14,8,0.9660769548225675,1.6666666666666667
56,14,8,0.9659659808393494,1.6666666666666667
57,14,8,0.9659563516270255,1.6666666666666667
58,14,8,0.9657314005534133,1.6666666666666667
59,14,8,0.9656960771254404,1.6666666666666667
60,14,8,0.9655015066846846,1.6666666666666667
61,14,8,0.9654329296243872,1.6666666666666667
62,14,8,0.9652140215551537,1.6666666666666667
63,14,9,0.9649188684078879,1.5
64,15,9,0.9646856745388093,1.6
65,15,9,0.9646761231700859,1.6
66,15,9,0.9646498383486423,1.6
67,16,9,0.9646117280405196,1.7
68,17,9,0.9645112816398476,1.8
69,17,10,0.9641613393364286,1.6363636363636365
70,18,10,0.9640282461291716,1.7272727272727273
71,18,10,0.963703489506255,1.7272727272727273
72,18,10,0.9630864681566651,1.7272727272727273
73,18,10,0.963082612685045,1.7272727272727273
74,19,10,0.9626024512062064,1.8181818181818181
75,19,10,0.9622128864006185,1.8181818181818181
76,19,10,0.9622042005789977,1.8181818181818181
77,19,10,0.9618459359748694,1.8181818181818181
78,19,10,0.961833073717732,1.8181818181818181
79,19,10,0.961799768901133,1.8181818181818181
80,19,11,0.9612273001719426,1.6666666666666667
81,20,11,0.9611905624379338,1.75
82,20,12,0.9610320990392784,1.6153846153846154
83,21,12,0.9607071910176141,1.6923076923076923
84,21,12,0.9606242215780187,1.6923076923076923
85,21,12,0.9605669829467371,1.6923076923076923
86,21,13,0.9603740087383162,1.5714285714285714
87,21,13,0.960265693027726,1.5714285714285714
88,21,14,0.9602269669972046,1.4666666666666666
89,22,14,0.9602224609996522,1.5333333333333334
90,22,14,0.9602124865227483,1.5333333333333334
91,22,14,0.960132267275369,1.5333333333333334
92,22,14,0.959993460134554,1.5333333333333334
93,22,14,0.9599302833917895,1.5333333333333334
94,22,14,0.9590671402112867,1.5333333333333334
95,23,14,0.9589365675588873,1.6
96,23,14,0.9583737022143832,1.6
97,23,14,0.9582191262529095,1.6
98,23,14,0.9582063146737958,1.6
99,23,14,0.9581690976431874,1.6
100,23,15,0.958152169526826,1.5
101,23,15,0.9581099715578681,1.5
102,23,15,0.9581089325703315,1.5
103,23,15,0.9579436935684434,1.5
104,23,15,0.957596736056109,1.5
105,23,16,0.957578701568469,1.411764705882353
106,23,17,0.9573381836029375,1.3333333333333333
107,24,17,0.957301570639969,1.3888888888888888
108,24,17,0.9571676360981618,1.3888888888888888
109,25,17,0.9569966015089126,1.4444444444444444
110,25,17,0.9569783355117559,1.4444444444444444
111,25,17,0.9565758382304156,1.4444444444444444
112,25,17,0.9563621891020143,1.4444444444444444
113,25,17,0.9559682781763607,1.4444444444444444
114,25,17,0.9558156794039298,1.4444444444444444
115,25,17,0.9557997910570686,1.4444444444444444
116,26,17,0.9553723773855283,1.5
117,26,18,0.9552084615504901,1.4210526315789473
118,26,18,0.955045174783966,1.4210526315789473
119,26,18,0.9549825857755186,1.4210526315789473
120,26,18,0.9545925638700847,1.4210526315789473
121,26,18,0.9544844431945716,1.4210526315789473
122,26,18,0.954469025012926,1.4210526315789473
123,26,19,0.9542004467121477,1.35
124,27,19,0.9539924519892365,1.4
125,27,19,0.9528994278384421,1.4
126,27,19,0.9528378809609438,1.4
127,27,19,0.952797419004608,1.4
128,27,20,0.9525575561452218,1.3333333333333333
129,27,20,0.9524442839593817,1.3333333333333333
130,27,20,0.9520664043328834,1.3333333333333333
