Label,TopK,Value,Control
MPRA_HepG2,400,0.2105263157894736,0.2
MPRA_K562,400,0.2205513784461152,0.2
MPRA_SKNSH,400,0.213032581453634,0.2
epigenetics_ELF1,400,0.2481203007518796,0.2
epigenetics_HNF1A,400,0.2431077694235588,0.2
epigenetics_HNF4A,400,0.1979949874686716,0.2
MPRA_HepG2,300,0.2441471571906354,0.2
MPRA_K562,300,0.2240802675585284,0.2
MPRA_SKNSH,300,0.2274247491638795,0.2
epigenetics_ELF1,300,0.2976588628762542,0.2
epigenetics_HNF1A,300,0.2642140468227424,0.2
epigenetics_HNF4A,300,0.2040133779264214,0.2
MPRA_HepG2,200,0.2814070351758794,0.2
MPRA_K562,200,0.2110552763819095,0.2
MPRA_SKNSH,200,0.2311557788944723,0.2
epigenetics_ELF1,200,0.3517587939698492,0.2
epigenetics_HNF1A,200,0.3316582914572864,0.2
epigenetics_HNF4A,200,0.2010050251256281,0.2
MPRA_HepG2,100,0.3434343434343434,0.2
MPRA_K562,100,0.2121212121212121,0.2
MPRA_SKNSH,100,0.2828282828282828,0.2
epigenetics_ELF1,100,0.3838383838383838,0.2
epigenetics_HNF1A,100,0.4141414141414141,0.2
epigenetics_HNF4A,100,0.202020202020202,0.2
