Label,TopK,Value,Control
MPRA_HepG2,400,1.2648276876568447,1.0
MPRA_K562,400,1.0531113364595626,1.0
MPRA_SKNSH,400,1.1410923192345996,1.0
epigenetics_ELF1,400,1.496425826119499,1.0
epigenetics_HNF1A,400,1.4338965265301598,1.0
epigenetics_HNF4A,400,0.9547707460070023,1.0
MPRA_HepG2,300,1.4029646669782687,1.0
MPRA_K562,300,1.1173569506381587,1.0
MPRA_SKNSH,300,1.1844245711374273,1.0
epigenetics_ELF1,300,1.909802191028422,1.0
epigenetics_HNF1A,300,1.6974372299795688,1.0
epigenetics_HNF4A,300,0.9233787183970875,1.0
MPRA_HepG2,200,1.5501970825604796,1.0
MPRA_K562,200,1.3554806545983888,1.0
MPRA_SKNSH,200,1.2954558835261714,1.0
epigenetics_ELF1,200,2.4594316186372973,1.0
epigenetics_HNF1A,200,1.7425037777076362,1.0
epigenetics_HNF4A,200,0.7574296967259218,1.0
MPRA_HepG2,100,1.584962500721156,1.0
MPRA_K562,100,1.8231222379159207,1.0
MPRA_SKNSH,100,1.3219280948873624,1.0
epigenetics_ELF1,100,3.5545888516776376,1.0
epigenetics_HNF1A,100,2.716207033999409,1.0
epigenetics_HNF4A,100,0.5849625007211562,1.0
