Label,TopK,Value,Control
MPRA_HepG2,400,1.0885156329653616,1.0
MPRA_K562,400,1.08591154866321,1.0
MPRA_SKNSH,400,1.0179613135658674,1.0
epigenetics_ELF1,400,1.1491514064081438,1.0
epigenetics_HNF1A,400,1.1044928348624299,1.0
epigenetics_HNF4A,400,0.9965333766287262,1.0
MPRA_HepG2,300,1.2296122895689188,1.0
MPRA_K562,300,1.0927374923998092,1.0
MPRA_SKNSH,300,1.1032801642760417,1.0
epigenetics_ELF1,300,1.2561415957310893,1.0
epigenetics_HNF1A,300,1.1486776480773235,1.0
epigenetics_HNF4A,300,1.0040407275975878,1.0
MPRA_HepG2,200,1.367974701508628,1.0
MPRA_K562,200,1.1147798499097814,1.0
MPRA_SKNSH,200,1.2018273239826431,1.0
epigenetics_ELF1,200,1.3535201521867466,1.0
epigenetics_HNF1A,200,1.2574074107729905,1.0
epigenetics_HNF4A,200,1.0038235208758841,1.0
MPRA_HepG2,100,1.727845523885425,1.0
MPRA_K562,100,1.1415594748760607,1.0
MPRA_SKNSH,100,1.4698554910208574,1.0
epigenetics_ELF1,100,1.4207344858669582,1.0
epigenetics_HNF1A,100,1.3914898358624401,1.0
epigenetics_HNF4A,100,1.010618797603906,1.0
