order,cum_neg,cum_pos,pseudo_similarity,prop_fin
1,1,0,0.9665307984124705,2.0
2,1,0,0.963016109026533,2.0
3,2,0,0.9624337942487742,3.0
4,3,0,0.9622610756244997,4.0
5,4,0,0.961754557500064,5.0
6,5,0,0.9616958185042952,6.0
7,6,0,0.9616839371130702,7.0
8,7,0,0.9613473488539801,8.0
9,7,0,0.9608175798254696,8.0
10,8,0,0.9606594589144405,9.0
11,9,0,0.9592194744698886,10.0
12,9,0,0.9590896887241676,10.0
13,10,0,0.9588487388747805,11.0
14,11,0,0.9585238078229159,12.0
15,11,0,0.9581230056446279,12.0
16,12,0,0.9577868938806824,13.0
17,12,0,0.9571045465764351,13.0
18,12,0,0.9568711874568865,13.0
19,12,0,0.9563314199431479,13.0
20,13,0,0.955630284540312,14.0
21,14,0,0.9555457982178909,15.0
22,15,0,0.9555007530871058,16.0
23,15,0,0.9554932669437906,16.0
24,15,0,0.9554896491573193,16.0
25,16,0,0.9549265946086287,17.0
26,17,0,0.9548924309689014,18.0
27,18,0,0.9547693875842397,19.0
28,19,0,0.9544045357624996,20.0
29,19,0,0.9541053356279576,20.0
30,20,0,0.9536963241191035,21.0
31,20,0,0.9532271580127651,21.0
32,21,0,0.952857047204883,22.0
33,21,0,0.9525825808214884,22.0
34,21,0,0.9524365946861214,22.0
35,21,1,0.9520747076837688,11.0
36,21,1,0.9518953200398491,11.0
37,21,1,0.9517904476804652,11.0
38,22,1,0.9513966118446545,11.5
39,22,2,0.9513633090110503,7.666666666666667
40,22,2,0.9511064228048479,7.666666666666667
41,22,3,0.9507113445831998,5.75
42,23,3,0.9505607886687059,6.0
43,24,3,0.9504744294788073,6.25
44,25,3,0.9502208460245104,6.5
45,25,3,0.9500811723549489,6.5
46,26,3,0.9496721739553238,6.75
47,26,3,0.9494642366145304,6.75
48,27,3,0.9493526571283379,7.0
49,28,3,0.9493323660209539,7.25
50,29,3,0.948889135411878,7.5
51,30,3,0.9488707057939978,7.75
52,31,3,0.9483975284225516,8.0
53,31,3,0.9480656689427293,8.0
54,31,4,0.9476773181377274,6.4
55,31,4,0.9476115828655448,6.4
56,31,4,0.9475740036991321,6.4
57,31,4,0.9473894047824472,6.4
58,32,4,0.9473884967282769,6.6
59,33,4,0.9473398028157858,6.8
60,34,4,0.94670793900924,7.0
61,34,4,0.9466692652030118,7.0
62,34,4,0.9464263591181874,7.0
63,35,4,0.9456446896308972,7.2
64,35,4,0.945334321396755,7.2
65,35,4,0.9447572062102811,7.2
66,36,4,0.9446427108926023,7.4
67,36,4,0.9441255894027147,7.4
68,36,4,0.944085019344958,7.4
69,37,4,0.9438208435759686,7.6
70,38,4,0.9437361782821084,7.8
71,38,4,0.9436136345954091,7.8
72,38,4,0.9434896262626776,7.8
73,39,4,0.9431693233772019,8.0
74,39,4,0.9431200551044574,8.0
75,39,4,0.942666070934355,8.0
76,39,4,0.9423148464132266,8.0
77,39,4,0.9421344061715053,8.0
78,40,4,0.9420774643173258,8.2
79,40,4,0.9420728935433851,8.2
80,40,4,0.9420648912797464,8.2
81,41,4,0.9419607448980792,8.4
82,42,4,0.941934007954973,8.6
83,42,5,0.9417536680191237,7.166666666666667
84,42,5,0.9416652175161718,7.166666666666667
85,42,5,0.9411395576382511,7.166666666666667
