order,cum_neg,cum_pos,pseudo_similarity,prop_fin
1,0,1,0.9565163475622622,0.5
2,1,1,0.9552087401547946,1.0
3,1,1,0.9458729791092062,1.0
4,2,1,0.945576413943004,1.5
5,2,1,0.9448150225377384,1.5
6,2,2,0.9435988277717049,1.0
7,2,2,0.9431870976073045,1.0
8,2,2,0.9425309080134274,1.0
9,3,2,0.9391893247738096,1.3333333333333333
10,4,2,0.9383642420654236,1.6666666666666667
11,5,2,0.933592317228489,2.0
12,6,2,0.9335015782195474,2.3333333333333335
13,6,2,0.9332956174048856,2.3333333333333335
14,6,2,0.9299419839432023,2.3333333333333335
15,6,2,0.9289563656869617,2.3333333333333335
16,6,2,0.9279616111102962,2.3333333333333335
17,6,2,0.925495426163585,2.3333333333333335
18,6,2,0.9243966912857114,2.3333333333333335
19,6,2,0.9243819180085319,2.3333333333333335
20,6,2,0.9237339285863048,2.3333333333333335
21,7,2,0.9236301405116301,2.6666666666666665
22,7,2,0.9225755006115166,2.6666666666666665
23,8,2,0.9223376494311435,3.0
24,9,2,0.9170084456154394,3.3333333333333335
25,9,2,0.9170063570087277,3.3333333333333335
26,10,2,0.9166704534366041,3.6666666666666665
27,11,2,0.9165766584049604,4.0
28,11,2,0.9159035588071225,4.0
29,11,2,0.9148776842855615,4.0
30,12,2,0.9143408759411598,4.333333333333333
31,13,2,0.9142456541412604,4.666666666666667
32,14,2,0.9142162279237693,5.0
33,15,2,0.9135527256366027,5.333333333333333
34,15,2,0.9135225539949977,5.333333333333333
35,15,2,0.9132133727007447,5.333333333333333
36,15,2,0.9107181710349058,5.333333333333333
37,15,2,0.9104173076408982,5.333333333333333
38,16,2,0.906192333199887,5.666666666666667
39,16,2,0.906003627515378,5.666666666666667
40,17,2,0.9059798643829242,6.0
41,17,2,0.9059693440472258,6.0
42,17,2,0.9057076663239022,6.0
43,18,2,0.9053017851845481,6.333333333333333
44,19,2,0.9034435060139453,6.666666666666667
45,19,2,0.9032374560289717,6.666666666666667
46,20,2,0.9024522494039863,7.0
47,21,2,0.9011013421002149,7.333333333333333
48,21,2,0.9001382895433354,7.333333333333333
49,21,2,0.8994370731896251,7.333333333333333
50,22,2,0.8988096000513699,7.666666666666667
51,23,2,0.8968852274996739,8.0
52,24,2,0.8967100242827172,8.333333333333334
53,25,2,0.8957576545765356,8.666666666666666
54,25,2,0.8953873835546968,8.666666666666666
55,25,2,0.894805905798064,8.666666666666666
56,26,2,0.8937836877973644,9.0
57,26,2,0.893750957545482,9.0
58,26,2,0.8920893630601164,9.0
59,26,2,0.8906619089487984,9.0
60,26,2,0.8905732182847712,9.0
61,27,2,0.8900540945434396,9.333333333333334
62,28,2,0.8899164007363818,9.666666666666666
63,28,2,0.8898828325538352,9.666666666666666
64,28,2,0.8888971867649127,9.666666666666666
65,29,2,0.8881984559509883,10.0
66,29,2,0.8881064336628426,10.0
67,29,2,0.8875820326470123,10.0
68,29,2,0.8874834348195233,10.0
69,29,2,0.8870577342752162,10.0
70,29,2,0.886767871595692,10.0
71,30,2,0.8865918128524493,10.333333333333334
72,30,2,0.8860718427290569,10.333333333333334
73,30,2,0.8858507390689635,10.333333333333334
74,31,2,0.8857911973805876,10.666666666666666
75,31,2,0.8856535579799443,10.666666666666666
76,31,2,0.8797879212422755,10.666666666666666
77,31,2,0.8791945363016583,10.666666666666666
78,32,2,0.8791890854547034,11.0
79,32,2,0.8788515545756487,11.0
80,32,2,0.8788022393549388,11.0
81,33,2,0.8788016133291253,11.333333333333334
82,33,3,0.8783894628799324,8.5
83,33,3,0.8779853084705743,8.5
84,33,3,0.8762167719077808,8.5
85,34,3,0.8761180655607704,8.75
86,34,4,0.875203702065827,7.0
87,34,5,0.8749852926241132,5.833333333333333
88,35,5,0.8748596759886452,6.0
89,36,5,0.8747642624468841,6.166666666666667
90,36,5,0.8733558431634026,6.166666666666667
91,36,5,0.873339415567185,6.166666666666667
92,36,6,0.8729878869984623,5.285714285714286
93,36,7,0.8723776447467154,4.625
94,36,7,0.8712951190097281,4.625
95,36,7,0.8696915637058603,4.625
96,36,7,0.869152472467208,4.625
97,36,7,0.8685183907703716,4.625
98,36,7,0.8684893051728445,4.625
99,36,7,0.8671771460161236,4.625
100,36,7,0.8671158561910539,4.625
101,36,7,0.8656868912589634,4.625
102,37,7,0.8650743466090014,4.75
103,37,7,0.8640943419958,4.75
104,37,7,0.8636312709850441,4.75
105,37,8,0.8633125964068147,4.222222222222222
106,38,8,0.8619064411069934,4.333333333333333
107,38,8,0.8606606501660322,4.333333333333333
108,38,8,0.8584310586310513,4.333333333333333
109,38,9,0.8581967967799727,3.9
110,38,9,0.8580028433383835,3.9
111,38,9,0.8573694149559732,3.9
112,38,9,0.8572741793032341,3.9
113,38,9,0.8566482002732219,3.9
114,39,9,0.8563232569438349,4.0
115,39,9,0.8547302614374156,4.0
116,39,10,0.854365862157251,3.6363636363636362
117,40,10,0.8541257265110787,3.727272727272727
118,41,10,0.8540705288596997,3.8181818181818183
119,41,10,0.85328633642165,3.8181818181818183
120,41,10,0.8529455739899509,3.8181818181818183
121,41,10,0.8526134442840374,3.8181818181818183
122,41,10,0.8522225217388721,3.8181818181818183
123,42,10,0.8519083666509623,3.909090909090909
124,42,10,0.8508838848896294,3.909090909090909
125,43,10,0.8494491667942504,4.0
126,43,10,0.8488365728946169,4.0
127,43,10,0.8486160784505125,4.0
128,43,10,0.8479360534704706,4.0
129,43,11,0.8478882771651535,3.6666666666666665
130,44,11,0.8477390352479107,3.75
131,44,11,0.8475311516701736,3.75
132,44,11,0.8471256349799292,3.75
133,45,11,0.8466876126897941,3.8333333333333335
134,46,11,0.8448881638193428,3.9166666666666665
135,47,11,0.844586527991147,4.0
136,48,11,0.8440107209853617,4.083333333333333
137,48,11,0.8422754068971767,4.083333333333333
138,48,11,0.8413786813217703,4.083333333333333
139,48,11,0.8395720483831203,4.083333333333333
140,49,11,0.8393160420135897,4.166666666666667
141,50,11,0.837096478115864,4.25
142,51,11,0.8351694202662452,4.333333333333333
143,51,11,0.8349040035066057,4.333333333333333
144,51,11,0.8338754405815847,4.333333333333333
145,51,12,0.8327806768576802,4.0
