order,cum_neg,cum_pos,pseudo_similarity,prop_fin
1,0,0,0.9856561750762012,1.0
2,0,0,0.9852709382405175,1.0
3,0,0,0.9846340661596351,1.0
4,0,0,0.9842819508086553,1.0
5,1,0,0.9838878422144723,2.0
6,1,0,0.983634280973192,2.0
7,1,0,0.9836310906788582,2.0
8,1,0,0.9835033878079003,2.0
9,2,0,0.983121409007503,3.0
10,2,0,0.9829845296315123,3.0
11,2,0,0.9827393582220966,3.0
12,2,1,0.982593206036115,1.5
13,2,1,0.9825233638336547,1.5
14,3,1,0.9824116261219469,2.0
15,3,1,0.9823666280772874,2.0
16,3,1,0.9823099066917591,2.0
17,3,1,0.9822307554165687,2.0
18,4,1,0.982106767409408,2.5
19,4,2,0.9816813295616005,1.6666666666666667
20,4,2,0.9816132052323528,1.6666666666666667
21,4,3,0.981527732576746,1.25
22,4,4,0.9812380792326407,1.0
23,4,4,0.9812081876824722,1.0
24,4,4,0.9809727253660763,1.0
25,5,4,0.980842306867331,1.2
26,5,4,0.9807851914285177,1.2
27,5,4,0.9805287187191803,1.2
28,5,4,0.9803960221362441,1.2
29,6,4,0.9803875142570848,1.4
30,6,4,0.9802138982224411,1.4
31,6,4,0.9802053711816969,1.4
32,6,4,0.9800912221168949,1.4
33,7,4,0.9800099089400378,1.6
34,7,4,0.9796786412857905,1.6
35,8,4,0.9796180087006199,1.8
36,8,5,0.9794496663045329,1.5
37,8,6,0.9794122899531773,1.2857142857142858
38,8,6,0.9792316779038855,1.2857142857142858
39,8,6,0.9792214428788282,1.2857142857142858
40,8,6,0.9791905290827391,1.2857142857142858
41,9,6,0.9791244023701764,1.4285714285714286
42,9,6,0.9790174967324381,1.4285714285714286
43,9,6,0.9788821787157218,1.4285714285714286
44,9,6,0.9788170171240078,1.4285714285714286
45,10,6,0.9787823196238165,1.5714285714285714
46,10,6,0.9786564905358939,1.5714285714285714
47,10,6,0.9785855110357539,1.5714285714285714
48,10,6,0.9785692557561492,1.5714285714285714
49,10,7,0.9784293295530568,1.375
50,10,7,0.977974699146602,1.375
51,11,7,0.9779534506422407,1.5
52,11,8,0.9778671660213467,1.3333333333333333
53,11,8,0.9778111803873103,1.3333333333333333
54,11,8,0.9775141765772383,1.3333333333333333
55,11,8,0.9773031594832594,1.3333333333333333
56,11,8,0.9770372911916044,1.3333333333333333
57,11,8,0.9770235042069078,1.3333333333333333
58,11,8,0.9769710529377986,1.3333333333333333
59,12,8,0.9769594513781037,1.4444444444444444
60,13,8,0.9769496270897291,1.5555555555555556
61,13,8,0.9768264729136188,1.5555555555555556
62,13,8,0.9767945440265254,1.5555555555555556
63,13,9,0.9766100564835472,1.4
64,13,10,0.9765273961022956,1.2727272727272727
65,13,10,0.9761420718799687,1.2727272727272727
66,14,10,0.9760940551913089,1.3636363636363635
67,14,10,0.9759402121652769,1.3636363636363635
68,14,10,0.9757673970689663,1.3636363636363635
69,14,10,0.975745171501207,1.3636363636363635
70,14,11,0.9754366466150081,1.25
71,14,11,0.9754090512606708,1.25
72,14,11,0.9751655709555905,1.25
73,15,11,0.9750372376073203,1.3333333333333333
74,15,12,0.9749498801530662,1.2307692307692308
75,15,12,0.9744198642880039,1.2307692307692308
76,15,12,0.9742906016721888,1.2307692307692308
77,15,13,0.9742813155432365,1.1428571428571428
78,15,13,0.9741699995536262,1.1428571428571428
79,15,14,0.9738818741142098,1.0666666666666667
80,15,14,0.9738528100117098,1.0666666666666667
81,15,14,0.9738504817305411,1.0666666666666667
82,15,14,0.9738028810817848,1.0666666666666667
83,15,14,0.9734944134957412,1.0666666666666667
84,15,14,0.97341211471381,1.0666666666666667
85,15,14,0.9733795252699502,1.0666666666666667
86,15,14,0.9733488412186674,1.0666666666666667
87,15,14,0.973312112969614,1.0666666666666667
88,16,14,0.9732677990119402,1.1333333333333333
89,16,14,0.9730691338035701,1.1333333333333333
90,16,14,0.9729565618886937,1.1333333333333333
91,16,14,0.9728863141764681,1.1333333333333333
92,17,14,0.9726919130743575,1.2
93,17,15,0.9726757073719026,1.125
94,17,15,0.9725488450449131,1.125
95,17,15,0.972367226812675,1.125
96,17,15,0.9723424539941643,1.125
97,17,15,0.9722730738480805,1.125
98,17,15,0.9720367729547063,1.125
99,17,15,0.9717968735718544,1.125
100,17,15,0.9712384118893913,1.125
101,18,15,0.9711836908356773,1.1875
102,18,15,0.9711486248736545,1.1875
103,18,15,0.9710992508120267,1.1875
104,18,15,0.9709934752387969,1.1875
105,19,15,0.9705927363019322,1.25
106,19,16,0.9705432984816964,1.1764705882352942
107,19,16,0.970448148503404,1.1764705882352942
108,19,17,0.9703424621886105,1.1111111111111112
109,20,17,0.9700328945416745,1.1666666666666667
110,20,17,0.9696783217095328,1.1666666666666667
111,20,18,0.9696527829447752,1.105263157894737
112,20,18,0.9695801479038664,1.105263157894737
113,21,18,0.9693042162917355,1.1578947368421053
114,21,19,0.9692030449135853,1.1
115,21,20,0.9690784917127145,1.0476190476190477
116,21,20,0.9689982435571123,1.0476190476190477
117,22,20,0.9688141685266016,1.0952380952380953
118,22,20,0.9687034204630275,1.0952380952380953
119,23,20,0.9686514395839517,1.1428571428571428
120,24,20,0.9683713579041496,1.1904761904761905
121,24,20,0.9683506902792,1.1904761904761905
122,24,21,0.9682665382567015,1.1363636363636365
123,24,21,0.9677930186503348,1.1363636363636365
124,24,21,0.9674327578579107,1.1363636363636365
125,25,21,0.9669291431234204,1.1818181818181819
126,25,21,0.9667980544612663,1.1818181818181819
127,25,21,0.9663130144051596,1.1818181818181819
128,25,21,0.966085371052136,1.1818181818181819
129,25,21,0.9659153912884455,1.1818181818181819
130,25,21,0.9651818126523082,1.1818181818181819
131,25,21,0.9649815832302345,1.1818181818181819
132,25,22,0.9646598132934159,1.1304347826086956
133,26,22,0.9645210406069712,1.173913043478261
134,26,22,0.9644816429346801,1.173913043478261
135,26,22,0.9641263105307539,1.173913043478261
136,26,22,0.9637547272232536,1.173913043478261
137,26,23,0.9630537785198015,1.125
138,27,23,0.962851516580614,1.1666666666666667
139,28,23,0.96255924490215,1.2083333333333333
140,28,24,0.9623098450139083,1.16
141,29,24,0.961969139610111,1.2
142,30,24,0.9616618228938685,1.24
143,30,25,0.9612511271784664,1.1923076923076923
144,30,25,0.9611301154548711,1.1923076923076923
145,31,25,0.9605984718789397,1.2307692307692308
146,32,25,0.9605175351244084,1.2692307692307692
147,32,25,0.9604620299003525,1.2692307692307692
148,33,25,0.9603588954371425,1.3076923076923077
149,34,25,0.9601633188627148,1.3461538461538463
150,35,25,0.9600359404093581,1.3846153846153846
151,35,25,0.9598067550279172,1.3846153846153846
152,35,25,0.9597033774876684,1.3846153846153846
153,35,25,0.9595035705965421,1.3846153846153846
154,35,26,0.9591982006686828,1.3333333333333333
155,35,26,0.9584533545280243,1.3333333333333333
156,35,26,0.957854975885246,1.3333333333333333
157,36,26,0.9575728323017056,1.3703703703703705
158,36,27,0.9567936111060769,1.3214285714285714
159,36,27,0.9559667333756237,1.3214285714285714
160,37,27,0.9554326963791472,1.3571428571428572
161,37,28,0.9553747868987678,1.3103448275862069
162,37,28,0.9549487862043269,1.3103448275862069
163,37,28,0.9528663839024254,1.3103448275862069
164,38,28,0.9523606664267759,1.3448275862068966
165,38,28,0.9521255529970352,1.3448275862068966
166,38,28,0.9511636247022116,1.3448275862068966
167,38,29,0.9477899939455602,1.3
168,38,30,0.9438120487865012,1.2580645161290323
169,38,30,0.9429305982853019,1.2580645161290323
170,39,30,0.9428665127624,1.2903225806451613
171,39,30,0.9422192794288945,1.2903225806451613
172,40,30,0.9419614500733386,1.3225806451612903
173,40,30,0.9414595000027354,1.3225806451612903
174,40,30,0.9397841750837971,1.3225806451612903
175,40,30,0.9391552643173926,1.3225806451612903
176,41,30,0.9390277176640325,1.3548387096774193
177,41,31,0.9390252097340337,1.3125
178,42,31,0.9385159941678084,1.34375
179,42,31,0.9383093999009889,1.34375
180,42,31,0.9376502197873829,1.34375
181,42,31,0.937291018026546,1.34375
182,43,31,0.936861464695874,1.375
183,44,31,0.9368561515099182,1.40625
184,44,31,0.9360626636113464,1.40625
185,44,31,0.9350250632543766,1.40625
186,45,31,0.9341700218807313,1.4375
187,46,31,0.9331536149557811,1.46875
188,46,31,0.9327534220050019,1.46875
189,46,32,0.9325661678571447,1.4242424242424243
190,46,33,0.9320794772195903,1.3823529411764706
191,46,33,0.931236073682129,1.3823529411764706
192,46,33,0.9302591378959533,1.3823529411764706
193,46,33,0.9296619465651171,1.3823529411764706
194,46,33,0.9292272209302935,1.3823529411764706
195,46,33,0.9291241102101644,1.3823529411764706
196,46,33,0.9279776185138244,1.3823529411764706
197,46,33,0.9279538971578991,1.3823529411764706
198,46,33,0.9277204469798037,1.3823529411764706
199,46,34,0.9271439680749847,1.3428571428571427
200,46,34,0.9270188238162164,1.3428571428571427
201,46,34,0.9264971643125457,1.3428571428571427
202,46,35,0.925439919992047,1.3055555555555556
203,46,35,0.9254102812358271,1.3055555555555556
204,46,36,0.9253622554310827,1.2702702702702702
205,47,36,0.924558745052466,1.2972972972972974
206,47,36,0.9237012183678054,1.2972972972972974
207,48,36,0.9220410758064614,1.3243243243243243
208,48,37,0.9218799936656368,1.2894736842105263
209,48,37,0.9203456438979202,1.2894736842105263
210,48,37,0.9200362904795825,1.2894736842105263
211,48,37,0.9183383572208907,1.2894736842105263
212,48,37,0.918326104265162,1.2894736842105263
213,49,37,0.916252459312256,1.3157894736842106
214,49,37,0.9138354140639768,1.3157894736842106
215,50,37,0.9137844849145218,1.3421052631578947
216,51,37,0.9107383625873492,1.368421052631579
217,51,37,0.91039733092544,1.368421052631579
218,52,37,0.9098825938254786,1.394736842105263
219,52,38,0.9096016779916692,1.358974358974359
220,52,38,0.9094603423370771,1.358974358974359
221,53,38,0.9091477682440102,1.3846153846153846
222,53,38,0.9086291131333568,1.3846153846153846
223,53,38,0.9077519429462209,1.3846153846153846
224,53,38,0.907551060458859,1.3846153846153846
225,53,38,0.9072505524591546,1.3846153846153846
226,53,38,0.9061400393287895,1.3846153846153846
227,53,38,0.9046196300810064,1.3846153846153846
228,53,38,0.9044621173772729,1.3846153846153846
229,54,38,0.9009945703529529,1.4102564102564104
230,54,38,0.9000454259629231,1.4102564102564104
231,54,38,0.9000429904809603,1.4102564102564104
232,54,38,0.8995941054805324,1.4102564102564104
233,54,38,0.8976595308092955,1.4102564102564104
234,54,38,0.8971418460827595,1.4102564102564104
235,54,39,0.8941682316305273,1.375
236,54,39,0.8934382685171314,1.375
237,55,39,0.8907026696896253,1.4
238,55,39,0.890476985580249,1.4
239,55,39,0.8866365569832937,1.4
240,56,39,0.8856531269438004,1.425
241,56,39,0.882074551463264,1.425
