Label,TopK,Value,Control
MPRA_HepG2,400,0.225563909774436,0.2
MPRA_K562,400,0.2180451127819548,0.2
MPRA_SKNSH,400,0.213032581453634,0.2
epigenetics_ELF1,400,0.2606516290726817,0.2
epigenetics_HNF1A,400,0.2406015037593984,0.2
epigenetics_HNF4A,400,0.2305764411027568,0.2
MPRA_HepG2,300,0.2675585284280936,0.2
MPRA_K562,300,0.2274247491638795,0.2
MPRA_SKNSH,300,0.2207357859531772,0.2
epigenetics_ELF1,300,0.3076923076923077,0.2
epigenetics_HNF1A,300,0.2709030100334448,0.2
epigenetics_HNF4A,300,0.2207357859531772,0.2
MPRA_HepG2,200,0.3165829145728643,0.2
MPRA_K562,200,0.2160804020100502,0.2
MPRA_SKNSH,200,0.2412060301507537,0.2
epigenetics_ELF1,200,0.371859296482412,0.2
epigenetics_HNF1A,200,0.3567839195979899,0.2
epigenetics_HNF4A,200,0.2412060301507537,0.2
MPRA_HepG2,100,0.3636363636363636,0.2
MPRA_K562,100,0.2121212121212121,0.2
MPRA_SKNSH,100,0.2929292929292929,0.2
epigenetics_ELF1,100,0.3838383838383838,0.2
epigenetics_HNF1A,100,0.4545454545454545,0.2
epigenetics_HNF4A,100,0.2424242424242424,0.2
