Label,TopK,Value,Control
MPRA_HepG2,400,1.2814129351486485,1.0
MPRA_K562,400,1.0531113364595626,1.0
MPRA_SKNSH,400,1.1338557467347907,1.0
epigenetics_ELF1,400,1.584962500721156,1.0
epigenetics_HNF1A,400,1.6244908649077934,1.0
epigenetics_HNF4A,400,1.0649554418407698,1.0
MPRA_HepG2,300,1.658963082164933,1.0
MPRA_K562,300,1.1754420064098783,1.0
MPRA_SKNSH,300,1.2145940507760407,1.0
epigenetics_ELF1,300,2.3923174227787602,1.0
epigenetics_HNF1A,300,1.8194277543581792,1.0
epigenetics_HNF4A,300,1.1300605405643729,1.0
MPRA_HepG2,200,2.0170735133589415,1.0
MPRA_K562,200,1.4474589769712214,1.0
MPRA_SKNSH,200,1.228268987673117,1.0
epigenetics_ELF1,200,2.9848931076097918,1.0
epigenetics_HNF1A,200,2.0,1.0
epigenetics_HNF4A,200,1.1413558492455416,1.0
MPRA_HepG2,100,2.241008099503795,1.0
MPRA_K562,100,1.8073549220576042,1.0
MPRA_SKNSH,100,1.1292830169449664,1.0
epigenetics_ELF1,100,3.1963972128035034,1.0
epigenetics_HNF1A,100,2.4918530963296748,1.0
epigenetics_HNF4A,100,1.0995356735509143,1.0
