Label,TopK,Value,Control
MPRA_HepG2,400,1.1626710496263788,1.0
MPRA_K562,400,1.1035211139242584,1.0
MPRA_SKNSH,400,1.013815784789776,1.0
epigenetics_ELF1,400,1.1705810589518557,1.0
epigenetics_HNF1A,400,1.1115836888264787,1.0
epigenetics_HNF4A,400,1.0141710044601862,1.0
MPRA_HepG2,300,1.3918903700495213,1.0
MPRA_K562,300,1.129736501093313,1.0
MPRA_SKNSH,300,1.0933602915189253,1.0
epigenetics_ELF1,300,1.2906418387972936,1.0
epigenetics_HNF1A,300,1.1704288378315322,1.0
epigenetics_HNF4A,300,1.0199622921411526,1.0
MPRA_HepG2,200,1.6420765075594295,1.0
MPRA_K562,200,1.1441905631115075,1.0
MPRA_SKNSH,200,1.2117096990047103,1.0
epigenetics_ELF1,200,1.4511000802773957,1.0
epigenetics_HNF1A,200,1.3172643336110936,1.0
epigenetics_HNF4A,200,1.0335588047820066,1.0
MPRA_HepG2,100,1.8439617535030586,1.0
MPRA_K562,100,1.1207240790470505,1.0
MPRA_SKNSH,100,1.3880221012670877,1.0
epigenetics_ELF1,100,1.5209313545589822,1.0
epigenetics_HNF1A,100,1.4774178814791228,1.0
epigenetics_HNF4A,100,1.0500857078990118,1.0
