order,cum_neg,cum_pos,pseudo_similarity,prop_fin
1,0,0,0.8293171869676459,1.0
2,1,0,0.8185599330578599,2.0
3,2,0,0.8062130216065735,3.0
4,3,0,0.8039554100940092,4.0
5,4,0,0.8033692087686128,5.0
6,5,0,0.799232697083655,6.0
7,5,1,0.7972603701768609,3.0
8,6,1,0.7876254155627186,3.5
9,6,1,0.7867798288419993,3.5
10,6,2,0.7786255914675355,2.3333333333333335
11,6,2,0.7777553144657613,2.3333333333333335
12,6,2,0.7735045802210607,2.3333333333333335
13,6,2,0.7731753550518572,2.3333333333333335
14,7,2,0.7715344109702873,2.6666666666666665
15,7,2,0.7707447623414027,2.6666666666666665
16,7,2,0.7681880608219112,2.6666666666666665
17,8,2,0.7671977206929312,3.0
18,8,2,0.766798216717586,3.0
19,9,2,0.7664183619481862,3.3333333333333335
20,9,2,0.7663877300071563,3.3333333333333335
21,10,2,0.7655672102840234,3.6666666666666665
22,11,2,0.7647837637147579,4.0
23,12,2,0.7644158793720153,4.333333333333333
24,13,2,0.7643548776711542,4.666666666666667
25,14,2,0.7632731519027968,5.0
26,14,3,0.7632374956403449,3.75
27,14,3,0.7630944978729993,3.75
28,15,3,0.7614862988669554,4.0
29,16,3,0.7592970374488202,4.25
30,17,3,0.7559181653293106,4.5
31,18,3,0.755189460853984,4.75
32,18,3,0.7540405473346521,4.75
33,19,3,0.7527624282773672,5.0
34,19,3,0.7507904421184359,5.0
35,20,3,0.7488771502216611,5.25
36,21,3,0.747285878675376,5.5
37,21,3,0.7466786920393598,5.5
38,21,3,0.7465431850772887,5.5
39,22,3,0.745388208965587,5.75
40,22,3,0.7453638727674979,5.75
41,22,3,0.7451878197714775,5.75
42,22,3,0.7451573805738467,5.75
43,22,3,0.7449759800459996,5.75
44,23,3,0.7434097537391109,6.0
45,23,3,0.7428960675124252,6.0
46,24,3,0.7419429771972614,6.25
47,24,3,0.7413213443846718,6.25
48,24,4,0.7411375360720596,5.0
49,24,4,0.7407883610279802,5.0
50,24,4,0.7406270444023795,5.0
51,24,4,0.7406086502270308,5.0
52,24,4,0.7391598764722866,5.0
