order,cum_neg,cum_pos,pseudo_similarity,prop_fin
1,0,0,0.9271657379292622,1.0
2,1,0,0.9153337751614274,2.0
3,2,0,0.8968466552430676,3.0
4,3,0,0.8817785805516408,4.0
5,4,0,0.8813867876687107,5.0
6,5,0,0.879773639164957,6.0
7,5,1,0.8718371840545356,3.0
8,5,1,0.8697362651794784,3.0
9,5,1,0.8677239782902987,3.0
10,6,1,0.8580275976342338,3.5
11,6,1,0.8571413239924843,3.5
12,7,1,0.8527720532039991,4.0
13,7,2,0.8508804792872725,2.6666666666666665
14,7,2,0.8502415441135416,2.6666666666666665
15,7,2,0.8452242042099687,2.6666666666666665
16,8,2,0.8430257844065736,3.0
17,8,2,0.8386135906714864,3.0
18,8,2,0.8319535205020104,3.0
19,8,2,0.8145066312423457,3.0
20,8,2,0.8120834799963441,3.0
21,8,2,0.8070138222610606,3.0
22,9,2,0.8060639768509177,3.3333333333333335
23,9,2,0.8050065517776459,3.3333333333333335
24,10,2,0.804363898263482,3.6666666666666665
25,10,3,0.803535131324391,2.75
26,11,3,0.8015946576504318,3.0
27,11,3,0.8002461670954526,3.0
28,11,3,0.7940389683496684,3.0
29,11,3,0.7934515206502915,3.0
30,12,3,0.79243135043981,3.25
31,12,3,0.7921585434470736,3.25
32,12,3,0.7906116828408456,3.25
33,12,3,0.7879300850972559,3.25
34,12,3,0.7867262346328284,3.25
35,12,4,0.7860725883223365,2.6
36,12,5,0.7852533927872984,2.1666666666666665
37,12,5,0.7832553114655212,2.1666666666666665
38,12,5,0.7826449343529552,2.1666666666666665
39,12,5,0.782082541571576,2.1666666666666665
40,13,5,0.7785091459478615,2.3333333333333335
41,13,5,0.7770218673867395,2.3333333333333335
42,14,5,0.7766915931335334,2.5
43,15,5,0.7758903743636953,2.6666666666666665
44,16,5,0.7712547315661906,2.8333333333333335
45,16,5,0.7697108742683109,2.8333333333333335
46,17,5,0.7695332895768197,3.0
47,17,5,0.768010511323653,3.0
48,17,5,0.7665816978217477,3.0
49,18,5,0.7654020780024725,3.1666666666666665
50,18,5,0.7634329442965324,3.1666666666666665
51,18,5,0.7615102307303278,3.1666666666666665
52,18,5,0.7611530687661457,3.1666666666666665
53,18,6,0.7601351102640692,2.7142857142857144
54,18,6,0.7594612803164031,2.7142857142857144
55,18,7,0.7587303355376225,2.375
56,19,7,0.7577180961131239,2.5
57,19,7,0.7571121484430414,2.5
58,20,7,0.756327382806796,2.625
59,20,8,0.7549415837151261,2.3333333333333335
60,20,8,0.7543061612874491,2.3333333333333335
61,20,8,0.7520012155452901,2.3333333333333335
62,20,8,0.7508947428656838,2.3333333333333335
63,21,8,0.7503707072780278,2.4444444444444446
64,22,8,0.7501773574232196,2.5555555555555554
65,22,8,0.7492740884614045,2.5555555555555554
66,22,8,0.7487484261387342,2.5555555555555554
67,22,9,0.7446723196508654,2.3
68,23,9,0.7436184838733375,2.4
69,23,9,0.7432394179962718,2.4
70,24,9,0.7399650771569233,2.5
71,24,9,0.7379279163803396,2.5
72,24,10,0.7374203981539469,2.272727272727273
73,25,10,0.7369990978299434,2.3636363636363638
74,25,10,0.7341789850036206,2.3636363636363638
75,26,10,0.7289621288652441,2.4545454545454546
76,26,10,0.7289546681036723,2.4545454545454546
77,26,10,0.7286250102752863,2.4545454545454546
78,27,10,0.726407378271498,2.5454545454545454
79,27,10,0.7258044471684131,2.5454545454545454
80,28,10,0.7251704472335716,2.6363636363636362
81,28,11,0.7251099686814558,2.4166666666666665
82,28,12,0.7243805477370748,2.230769230769231
83,29,12,0.7210692217982716,2.3076923076923075
84,30,12,0.7179217332826097,2.3846153846153846
85,31,12,0.7154527057183382,2.4615384615384617
86,31,12,0.7154238063739304,2.4615384615384617
87,31,12,0.7149038210301093,2.4615384615384617
88,31,12,0.7147979576482797,2.4615384615384617
89,32,12,0.7138681731579145,2.5384615384615383
90,32,12,0.7133226617788498,2.5384615384615383
91,32,12,0.7133078400968051,2.5384615384615383
92,32,12,0.7132950406734917,2.5384615384615383
93,32,13,0.7118554518858962,2.357142857142857
94,32,13,0.7117147481209288,2.357142857142857
95,32,13,0.7103864523068805,2.357142857142857
96,32,13,0.7101040328599251,2.357142857142857
97,33,13,0.7094430098986826,2.4285714285714284
98,33,14,0.7083388039976811,2.2666666666666666
99,33,14,0.7072513204830924,2.2666666666666666
100,33,14,0.7068227126458928,2.2666666666666666
101,33,14,0.7055397930011846,2.2666666666666666
102,34,14,0.7050534942661895,2.3333333333333335
103,35,14,0.7047763230412627,2.4
104,36,14,0.7042306208506642,2.466666666666667
105,37,14,0.7042254340500924,2.533333333333333
106,37,14,0.7033367496764197,2.533333333333333
107,38,14,0.7024949298400838,2.6
108,38,14,0.7023449900132122,2.6
109,38,14,0.7022010257027471,2.6
110,38,14,0.7005230529300415,2.6
111,38,14,0.7001599793971989,2.6
112,38,14,0.6988274616444308,2.6
113,39,14,0.6983347396523182,2.6666666666666665
114,39,14,0.6978692439396397,2.6666666666666665
115,39,15,0.6977999849762033,2.5
116,39,15,0.6967810652900743,2.5
117,40,15,0.6956027998050107,2.5625
118,40,15,0.6944806662087396,2.5625
119,40,15,0.694306894543562,2.5625
120,40,15,0.6940152759174838,2.5625
121,40,15,0.6924206233018092,2.5625
122,40,15,0.692108568874895,2.5625
123,40,16,0.6916901649085352,2.411764705882353
124,40,17,0.6906995527991069,2.2777777777777777
125,40,18,0.6906248225656804,2.1578947368421053
126,40,19,0.6905497768046469,2.05
127,41,19,0.6900947326890479,2.1
128,41,19,0.6894760029069065,2.1
129,41,19,0.6893356729830549,2.1
130,41,20,0.6885019971536792,2.0
131,41,21,0.6879173735183133,1.9090909090909092
132,41,21,0.6871874246402809,1.9090909090909092
133,41,21,0.686930811348308,1.9090909090909092
134,41,21,0.6863418419969385,1.9090909090909092
135,41,22,0.6860134530384439,1.826086956521739
136,41,22,0.6843929486931057,1.826086956521739
137,41,22,0.6829184237159576,1.826086956521739
138,41,22,0.6828987327862858,1.826086956521739
139,41,22,0.6792472077985938,1.826086956521739
140,41,22,0.6785786293015641,1.826086956521739
141,41,22,0.6785340715190091,1.826086956521739
142,41,23,0.6780092173392747,1.75
143,42,23,0.6762341749992025,1.7916666666666667
144,43,23,0.6751795373811498,1.8333333333333333
145,43,23,0.6743562225840495,1.8333333333333333
146,44,23,0.6736973012043688,1.875
147,44,23,0.6726018645599071,1.875
148,44,23,0.6708180548282776,1.875
149,44,23,0.6699534251864219,1.875
150,44,23,0.6681987977237487,1.875
151,44,23,0.66670496650186,1.875
152,44,23,0.6659878330405895,1.875
153,44,24,0.6654496019267988,1.8
154,44,25,0.6651569235083488,1.7307692307692308
155,44,25,0.6639937372521736,1.7307692307692308
156,44,26,0.6637108174263937,1.6666666666666667
157,45,26,0.6621915395944915,1.7037037037037037
158,45,27,0.6605419685942766,1.6428571428571428
159,46,27,0.6593598752068424,1.6785714285714286
160,46,28,0.6591846081138806,1.6206896551724137
161,46,28,0.6588167210104703,1.6206896551724137
162,46,28,0.6579366401872462,1.6206896551724137
163,47,28,0.6577129668746867,1.6551724137931034
164,47,28,0.6568063519675289,1.6551724137931034
165,47,28,0.6566523203139303,1.6551724137931034
166,48,28,0.6555644026704504,1.6896551724137931
167,48,28,0.6553165804422038,1.6896551724137931
168,48,28,0.6552511766666309,1.6896551724137931
169,48,28,0.6549234648199106,1.6896551724137931
170,48,28,0.6549046198144796,1.6896551724137931
171,48,28,0.6547889772434231,1.6896551724137931
172,48,28,0.654526828154627,1.6896551724137931
173,48,28,0.654461427208441,1.6896551724137931
174,48,28,0.6541596666383778,1.6896551724137931
175,48,29,0.6539115379752924,1.6333333333333333
176,48,29,0.6525162351542233,1.6333333333333333
177,48,29,0.6521256229774659,1.6333333333333333
178,48,29,0.6521118329209311,1.6333333333333333
179,48,29,0.6517925274978897,1.6333333333333333
180,49,29,0.65112811069583,1.6666666666666667
181,49,29,0.6505282723394482,1.6666666666666667
182,49,29,0.6497986821825726,1.6666666666666667
183,49,29,0.6492969112563658,1.6666666666666667
184,50,29,0.6482736249730616,1.7
185,50,29,0.6479672475701557,1.7
186,50,29,0.6464813736674605,1.7
187,51,29,0.6446068739904273,1.7333333333333334
188,51,29,0.6435169843303848,1.7333333333333334
189,51,29,0.6424321495363148,1.7333333333333334
190,51,29,0.6404217733330773,1.7333333333333334
191,51,29,0.6389041745896149,1.7333333333333334
192,51,30,0.63875259368895,1.6774193548387097
193,52,30,0.6379798446089813,1.7096774193548387
194,52,30,0.6378549838762172,1.7096774193548387
195,52,30,0.6378376146452327,1.7096774193548387
196,52,30,0.6375206510729798,1.7096774193548387
197,52,30,0.6373036851676643,1.7096774193548387
198,52,31,0.6370260889196862,1.65625
199,53,31,0.6363576070406631,1.6875
200,53,31,0.6358570768753826,1.6875
201,54,31,0.6354034443089527,1.71875
202,54,31,0.6346722911009592,1.71875
203,54,31,0.6339302516485588,1.71875
204,55,31,0.63233292932798,1.75
205,55,32,0.6320461711968944,1.696969696969697
206,55,32,0.6318327738678645,1.696969696969697
207,56,32,0.6300975039573131,1.7272727272727273
208,56,33,0.6287450755131327,1.6764705882352942
209,57,33,0.6282949295026982,1.7058823529411764
210,57,33,0.6282104162544633,1.7058823529411764
211,57,34,0.6280694842485547,1.6571428571428573
212,57,34,0.6267096529615381,1.6571428571428573
213,57,35,0.6266403359473334,1.6111111111111112
214,57,35,0.6260170821355536,1.6111111111111112
215,57,35,0.6245408738050134,1.6111111111111112
216,57,35,0.6238793006008325,1.6111111111111112
217,57,35,0.6233644105765064,1.6111111111111112
218,57,35,0.6228541212406841,1.6111111111111112
219,57,36,0.6223570201262401,1.5675675675675675
220,57,36,0.6220911203052443,1.5675675675675675
221,57,36,0.6218330773702239,1.5675675675675675
222,57,36,0.6216713660705477,1.5675675675675675
223,57,36,0.620410186934051,1.5675675675675675
224,57,36,0.6202392499158791,1.5675675675675675
225,57,36,0.6189354264472899,1.5675675675675675
226,57,36,0.6186258390321215,1.5675675675675675
227,57,36,0.6184766601386575,1.5675675675675675
228,57,37,0.6182774912189206,1.5263157894736843
229,57,38,0.6182395559775307,1.4871794871794872
230,58,38,0.6179893091974896,1.5128205128205128
231,59,38,0.6175144016740426,1.5384615384615385
232,60,38,0.6170847368603161,1.564102564102564
233,60,39,0.6161029985013066,1.525
234,60,39,0.616087769068145,1.525
235,61,39,0.6153792260835762,1.55
236,61,39,0.6147359699171404,1.55
237,61,39,0.6139405827602071,1.55
238,61,39,0.6131920383664923,1.55
