order,cum_neg,cum_pos,pseudo_similarity,prop_fin
1,0,0,0.8614604909031829,1.0
2,0,0,0.8613542926399724,1.0
3,0,1,0.8584317669294887,0.5
4,0,1,0.8578795768360837,0.5
5,1,1,0.8575947329359173,1.0
6,1,1,0.8570631918618402,1.0
7,2,1,0.856078496168484,1.5
8,2,1,0.8559378287201125,1.5
9,2,1,0.8558899708771328,1.5
10,2,1,0.8555825357087831,1.5
11,2,1,0.8553239766944961,1.5
12,2,1,0.8545903937485754,1.5
13,2,1,0.854384372293066,1.5
14,2,2,0.854275337872807,1.0
15,2,2,0.8534261897132495,1.0
16,2,3,0.852735788663224,0.75
17,3,3,0.8525250506278927,1.0
18,4,3,0.8520991070934592,1.25
19,5,3,0.8519462348309849,1.5
20,5,4,0.8516358285686593,1.2
21,5,5,0.8511503274781327,1.0
22,5,5,0.8510212829066243,1.0
23,5,5,0.8509793374641327,1.0
24,5,6,0.849933252742159,0.8571428571428571
25,5,6,0.8490162450153456,0.8571428571428571
26,5,7,0.8487004955076219,0.75
27,5,8,0.848696393082014,0.6666666666666666
28,6,8,0.8486912667606401,0.7777777777777778
29,6,8,0.8486707964347151,0.7777777777777778
30,6,8,0.8482978540995371,0.7777777777777778
31,6,9,0.8482461177405236,0.7
32,6,9,0.8480090707456005,0.7
33,7,9,0.8479512311941199,0.8
34,8,9,0.8478672936258778,0.9
35,8,9,0.8475784578997674,0.9
36,8,9,0.8474519097110315,0.9
37,8,9,0.847282838985546,0.9
38,8,9,0.8471050630708461,0.9
39,8,10,0.8468205031410809,0.8181818181818182
40,8,10,0.8465676212713726,0.8181818181818182
41,8,10,0.8465248789379265,0.8181818181818182
42,8,10,0.8463526004110893,0.8181818181818182
43,8,10,0.8462731822718865,0.8181818181818182
44,9,10,0.8461952446805703,0.9090909090909091
45,10,10,0.8455946321965104,1.0
46,10,11,0.8454946456918142,0.9166666666666666
47,11,11,0.8450555293503244,1.0
48,12,11,0.8445585153619051,1.0833333333333333
49,12,11,0.8445044153186312,1.0833333333333333
50,12,11,0.84449707482723,1.0833333333333333
51,12,11,0.8442096868822906,1.0833333333333333
52,13,11,0.8442079571653827,1.1666666666666667
53,13,11,0.844008500561257,1.1666666666666667
54,13,12,0.8439951598064774,1.0769230769230769
55,13,12,0.8439810907637336,1.0769230769230769
56,14,12,0.8439783624658715,1.1538461538461537
57,15,12,0.8436636534122058,1.2307692307692308
58,15,12,0.8427427678240058,1.2307692307692308
59,15,12,0.8423208013941769,1.2307692307692308
60,16,12,0.842166846730654,1.3076923076923077
61,17,12,0.8420627416510611,1.3846153846153846
62,18,12,0.8420606373135013,1.4615384615384615
63,18,12,0.8416955587863966,1.4615384615384615
64,18,12,0.8416578140465709,1.4615384615384615
65,18,12,0.8414959540678115,1.4615384615384615
66,18,12,0.8414850812969961,1.4615384615384615
67,18,12,0.8413765987283691,1.4615384615384615
68,18,12,0.8410490842722546,1.4615384615384615
69,19,12,0.8404181047013675,1.5384615384615385
70,20,12,0.8402931381141887,1.6153846153846154
71,20,12,0.8402149722560392,1.6153846153846154
72,20,13,0.8401914243820532,1.5
73,20,13,0.8401443272230343,1.5
74,20,13,0.8400543618180167,1.5
75,21,13,0.8399349286487399,1.5714285714285714
76,21,13,0.8395952814283194,1.5714285714285714
77,21,13,0.83939205294056,1.5714285714285714
78,22,13,0.839072017851786,1.6428571428571428
79,22,13,0.8388994573890057,1.6428571428571428
80,23,13,0.8388422160408069,1.7142857142857142
81,23,13,0.838545817111124,1.7142857142857142
82,24,13,0.838415765871284,1.7857142857142858
83,24,14,0.8373197787059798,1.6666666666666667
84,25,14,0.8367335955432376,1.7333333333333334
85,26,14,0.836536005144293,1.8
86,26,14,0.8359473374901758,1.8
87,26,14,0.8358916225870997,1.8
88,26,14,0.8355551288301433,1.8
89,26,14,0.8348774983493973,1.8
90,26,14,0.8348113059699118,1.8
91,26,14,0.8346156682704465,1.8
92,26,14,0.8343539738905168,1.8
93,26,14,0.8337857925940203,1.8
94,27,14,0.8332118763271015,1.8666666666666667
95,27,14,0.8330425463652268,1.8666666666666667
96,27,14,0.8330024045499125,1.8666666666666667
97,27,14,0.8329181556534081,1.8666666666666667
98,27,14,0.8323953444559286,1.8666666666666667
99,27,14,0.8320384995285213,1.8666666666666667
100,28,14,0.8308146841922672,1.9333333333333333
101,29,14,0.8307317095467539,2.0
102,29,15,0.8298488645707522,1.875
103,29,15,0.8298258480693959,1.875
104,29,15,0.8296672976890789,1.875
105,29,15,0.8295189791337646,1.875
106,29,16,0.8294121744717011,1.7647058823529411
107,29,16,0.8293850493937733,1.7647058823529411
108,30,16,0.8291843688051579,1.8235294117647058
109,31,16,0.8289986656485226,1.8823529411764706
110,31,16,0.8287853017434792,1.8823529411764706
111,31,17,0.8281509781490228,1.7777777777777777
112,32,17,0.8279792647416839,1.8333333333333333
113,32,17,0.8278480938941657,1.8333333333333333
114,33,17,0.827554224995989,1.8888888888888888
115,33,17,0.8272589070625959,1.8888888888888888
116,33,17,0.8270446040151658,1.8888888888888888
117,33,17,0.8269642705909765,1.8888888888888888
118,33,17,0.8269432751785167,1.8888888888888888
119,33,17,0.8268792997545876,1.8888888888888888
120,33,17,0.8259956430586272,1.8888888888888888
121,33,18,0.825855473234639,1.7894736842105263
122,33,18,0.8249311141229794,1.7894736842105263
123,34,18,0.824658980406957,1.8421052631578947
124,34,18,0.824444609932774,1.8421052631578947
125,34,18,0.8242898306457723,1.8421052631578947
126,34,19,0.8241565549162266,1.75
127,34,19,0.8238064492085856,1.75
128,34,19,0.8235524151172505,1.75
129,34,20,0.8226280452844499,1.6666666666666667
130,35,20,0.8213533537539122,1.7142857142857142
131,35,20,0.8204220027036166,1.7142857142857142
132,35,21,0.8200608172006543,1.6363636363636365
133,35,21,0.819624480261067,1.6363636363636365
134,36,21,0.8195433676220892,1.6818181818181819
135,36,21,0.8188272564839835,1.6818181818181819
136,36,22,0.8167675505207197,1.608695652173913
137,36,22,0.8167027070131925,1.608695652173913
