Label,TopK,Value,Control
MPRA_HepG2,400,0.238095238095238,0.2
MPRA_K562,400,0.2155388471177944,0.2
MPRA_SKNSH,400,0.2155388471177944,0.2
epigenetics_ELF1,400,0.2581453634085213,0.2
epigenetics_HNF1A,400,0.2481203007518796,0.2
epigenetics_HNF4A,400,0.2030075187969924,0.2
MPRA_HepG2,300,0.2742474916387959,0.2
MPRA_K562,300,0.2307692307692307,0.2
MPRA_SKNSH,300,0.2140468227424749,0.2
epigenetics_ELF1,300,0.3010033444816054,0.2
epigenetics_HNF1A,300,0.2775919732441471,0.2
epigenetics_HNF4A,300,0.2073578595317725,0.2
MPRA_HepG2,200,0.3366834170854271,0.2
MPRA_K562,200,0.2512562814070351,0.2
MPRA_SKNSH,200,0.236180904522613,0.2
epigenetics_ELF1,200,0.3618090452261306,0.2
epigenetics_HNF1A,200,0.3668341708542713,0.2
epigenetics_HNF4A,200,0.2311557788944723,0.2
MPRA_HepG2,100,0.3939393939393939,0.2
MPRA_K562,100,0.2828282828282828,0.2
MPRA_SKNSH,100,0.2222222222222222,0.2
epigenetics_ELF1,100,0.3838383838383838,0.2
epigenetics_HNF1A,100,0.404040404040404,0.2
epigenetics_HNF4A,100,0.2626262626262626,0.2
