Label,TopK,Value,Control
MPRA_HepG2,400,1.3495844377902277,1.0
MPRA_K562,400,1.132103536007345,1.0
MPRA_SKNSH,400,1.0449474060539745,1.0
epigenetics_ELF1,400,1.528378972354789,1.0
epigenetics_HNF1A,400,1.538866086131702,1.0
epigenetics_HNF4A,400,1.0565835283663676,1.0
MPRA_HepG2,300,1.8073549220576042,1.0
MPRA_K562,300,1.304854581528421,1.0
MPRA_SKNSH,300,1.175849835399418,1.0
epigenetics_ELF1,300,2.039528364186637,1.0
epigenetics_HNF1A,300,1.9068905956085185,1.0
epigenetics_HNF4A,300,0.9640804257450574,1.0
MPRA_HepG2,200,2.1950159824051427,1.0
MPRA_K562,200,1.4429434958487284,1.0
MPRA_SKNSH,200,1.199937570508752,1.0
epigenetics_ELF1,200,2.7089512179966095,1.0
epigenetics_HNF1A,200,2.067114195858537,1.0
epigenetics_HNF4A,200,1.115477217419936,1.0
MPRA_HepG2,100,3.0874628412503395,1.0
MPRA_K562,100,1.7078192485066896,1.0
MPRA_SKNSH,100,1.584962500721156,1.0
epigenetics_ELF1,100,3.7725895038969273,1.0
epigenetics_HNF1A,100,3.0874628412503395,1.0
epigenetics_HNF4A,100,1.1043366598147355,1.0
