Label,TopK,Value,Control
MPRA_HepG2,400,1.2216496160158263,1.0
MPRA_K562,400,1.0752572995985359,1.0
MPRA_SKNSH,400,1.0531828609284317,1.0
epigenetics_ELF1,400,1.1423408257956342,1.0
epigenetics_HNF1A,400,1.1192763188446855,1.0
epigenetics_HNF4A,400,1.003132830880878,1.0
MPRA_HepG2,300,1.4311009557856,1.0
MPRA_K562,300,1.1590954849064297,1.0
MPRA_SKNSH,300,1.0779137929643707,1.0
epigenetics_ELF1,300,1.236861042423486,1.0
epigenetics_HNF1A,300,1.1909246822860022,1.0
epigenetics_HNF4A,300,1.006324722947001,1.0
MPRA_HepG2,200,1.6951828407594358,1.0
MPRA_K562,200,1.200831815064934,1.0
MPRA_SKNSH,200,1.1386019137866508,1.0
epigenetics_ELF1,200,1.348135846492403,1.0
epigenetics_HNF1A,200,1.3448924358099357,1.0
epigenetics_HNF4A,200,1.0265335986148165,1.0
MPRA_HepG2,100,2.0538663537982784,1.0
MPRA_K562,100,1.1912408184749792,1.0
MPRA_SKNSH,100,1.1835822025632232,1.0
epigenetics_ELF1,100,1.4308847484437537,1.0
epigenetics_HNF1A,100,1.4060497880376992,1.0
epigenetics_HNF4A,100,1.0428925806712555,1.0
