Expression,Group
0.723174712083028,1-100
0.7455797760398113,1-100
-0.7895547694007206,1-100
-1.1286055952519287,1-100
-1.1265809353502658,1-100
-1.078840139625265,1-100
-0.5479968602462354,1-100
-0.6342367636127813,1-100
0.47843722393822696,1-100
-0.5901119370699561,1-100
-0.063001990824696,1-100
-0.4155739331092523,1-100
1.541099532024772,1-100
-1.3462811286519794,1-100
-1.064998787649087,1-100
-0.886588638938211,1-100
-0.19218989302418663,1-100
-0.05917196501654272,1-100
0.4614677537196453,1-100
-0.7485655441337122,1-100
1.5166481186382565,1-100
0.6948872050005452,1-100
-0.9108209255187159,1-100
-0.2439197658131474,1-100
-0.7955216075288605,1-100
-1.079212176775087,1-100
-0.5426938986432585,1-100
0.5831278432750369,1-100
0.05805967441020352,1-100
-0.00018095694156674004,1-100
-1.3837604832720842,1-100
-0.44056510138736216,1-100
-1.2645487757816283,1-100
0.1754560100817121,1-100
-0.7656768600015907,1-100
-0.23641992193129718,1-100
0.4559261955971976,1-100
-0.8399755926211572,1-100
-0.3414161102656229,1-100
0.5037217277318996,1-100
0.2575884013104247,1-100
-0.37032907824415323,1-100
-0.08831067979975253,1-100
-0.0934207040509049,1-100
-0.5949782318495118,1-100
0.6893124711111986,1-100
-1.0358603189379323,1-100
0.7510859784540698,1-100
-1.0836975382605412,1-100
-0.7295363476501958,1-100
-0.011528157746645064,1-100
0.8824560381043564,1-100
-0.9225391306642577,1-100
0.12434881161852261,1-100
-0.8235160349422752,1-100
-1.06151970441412,1-100
-0.7306043135463722,1-100
-0.13420249688572278,1-100
-1.2130752153155329,1-100
0.3333007534887483,1-100
0.5135746761685058,1-100
0.024844880970583027,1-100
-0.9150203364496465,1-100
-0.018322778360751395,1-100
-0.12029646019230289,1-100
0.5442418957652875,1-100
0.4491574663572675,1-100
-0.131707076104548,1-100
0.31957706944723857,1-100
-0.3791985856627718,1-100
-0.3637401390020807,1-100
-0.732920672452245,1-100
-0.15007304586039683,1-100
-0.10376357561658035,1-100
-0.9172259423417,1-100
-0.3139414779089357,1-100
0.43979051029404875,1-100
-0.4917371668677047,1-100
0.571579058885443,1-100
0.8729404614111848,1-100
0.3417878925159101,1-100
-0.2227845872136884,1-100
-0.15356873780760066,1-100
0.9146615351599475,1-100
0.3701896759855899,1-100
0.7448069065932592,1-100
-0.9536103319483397,1-100
-0.7578112145400662,1-100
-0.20857484502673035,1-100
0.8820948824163837,1-100
-0.40265679292803125,1-100
-0.2987646594628153,1-100
0.9817716928996911,1-100
-0.8270991311195591,1-100
0.6850668890998522,1-100
0.6449535313563306,1-100
-0.5658026019904983,1-100
1.0254199667511519,1-100
0.11079494355355433,1-100
