Expression,Group
4.49575054415216,1-100
2.84896558217398,1-100
2.98363711165178,1-100
0.8512061352326501,1-100
1.7049823733725602,1-100
2.1431822735685,1-100
6.75542826066367,1-100
3.74978975588441,1-100
4.92910699012172,1-100
2.54856559596763,1-100
3.8753350114523295,1-100
1.81193276504404,1-100
5.98407050364113,1-100
5.770976195602571,1-100
3.9898441157206297,1-100
2.4779269782539703,1-100
3.4842053824519104,1-100
4.12812614924648,1-100
4.479989348657201,1-100
4.58600435267934,1-100
4.89150832935453,1-100
2.83487772681486,1-100
4.7438651013460325,1-100
0.483377755634891,1-100
6.471915105505331,1-100
2.69725632452267,1-100
5.41318210145885,1-100
5.702281265112621,1-100
5.20638407839334,1-100
2.77766384972822,1-100
4.73158250785931,1-100
3.99319410169833,1-100
4.32685667682084,1-100
5.56582679504393,1-100
6.522457138696481,1-100
6.2893631956392095,1-100
5.35928609186334,1-100
4.30947690107634,1-100
3.92764414174797,1-100
2.67442308393148,1-100
5.60065762370909,1-100
2.4752073045745497,1-100
1.46421168606382,1-100
2.55505068890626,1-100
5.690567174473691,1-100
2.16747463194528,1-100
4.93292776589609,1-100
5.63562601175202,1-100
1.21243284705781,1-100
3.88351855909949,1-100
5.71920518588454,1-100
4.85433014362199,1-100
6.1590862823988495,1-100
5.647476743508741,1-100
6.35665304511568,1-100
2.16738074383927,1-100
4.04932609922188,1-100
2.27342051676996,1-100
7.4394592010518386,1-100
4.80490468207933,1-100
5.389492978803671,1-100
5.52444660581441,1-100
2.68748530495606,1-100
0.270634254293618,1-100
4.81314294066858,1-100
4.993802533613232,1-100
6.5047209715607215,1-100
1.98466794587105,1-100
5.39499965083861,1-100
0.363087450418477,1-100
5.223150867454571,1-100
6.08766968097668,1-100
0.769107263672422,1-100
4.51637748351756,1-100
2.81185177123244,1-100
3.805687129595501,1-100
4.282570268097279,1-100
3.06994731872716,1-100
5.79153955000631,1-100
0.7097114957268991,1-100
6.76335757532534,1-100
7.0181284659045176,1-100
3.0962753880312,1-100
2.90436937825077,1-100
2.6003542781507005,1-100
4.6632461448551785,1-100
5.40874828102007,1-100
4.62988008601426,1-100
1.18578460688357,1-100
3.7979542709692495,1-100
4.48404709419156,1-100
4.05921601293229,1-100
7.575070879869679,1-100
5.8368423155574725,1-100
5.467385353447889,1-100
3.9120362362529,1-100
3.2197706527015697,1-100
6.48206493108714,1-100
5.649873391415452,1-100
4.80661387017082,1-100
5.73628696857659,101-200
2.882986479182589,101-200
3.13342451023169,101-200
0.105553095244994,101-200
2.64382478828806,101-200
4.74710160443827,101-200
2.43499574988984,101-200
3.40123703274502,101-200
4.067748655297851,101-200
5.1378097595286505,101-200
4.04105929718399,101-200
3.61936862883434,101-200
3.16029469505384,101-200
4.80821752871841,101-200
6.8361333121974805,101-200
4.70184895161099,101-200
2.83531251913589,101-200
5.435257833894888,101-200
5.113361861428019,101-200
5.63026791486999,101-200
3.73881313100503,101-200
4.99527999338977,101-200
7.059956393349872,101-200
5.846144221175621,101-200
6.501296392019169,101-200
6.65309892626262,101-200
3.2206412150407098,101-200
3.3697248815437697,101-200
3.31064941632632,101-200
6.36660425418667,101-200
6.13051492790442,101-200
5.101687451772911,101-200
5.64806235711534,101-200
3.35334755614792,101-200
5.8744338797471,101-200
5.339948471879009,101-200
4.8843066226992695,101-200
4.57335166013124,101-200
3.37992365855864,101-200
4.12018893263019,101-200
5.32007828482476,101-200
6.35752494968535,101-200
2.7925633241629497,101-200
0.9938750229333622,101-200
5.34239603117269,101-200
3.2067637833135096,101-200
4.4747545121987,101-200
4.05840105510429,101-200
5.240851979977821,101-200
3.84254129265116,101-200
4.7260005978748,101-200
4.61134240101165,101-200
5.96273938488505,101-200
5.85674695405955,101-200
4.58572379775093,101-200
8.01563941493459,101-200
3.2584510938379103,101-200
6.077777747858598,101-200
3.14376953868411,101-200
6.420509721757281,101-200
5.14917447655952,101-200
3.65401040596107,101-200
2.8980993852330204,101-200
5.383835596278192,101-200
3.9492542615402297,101-200
2.78898893038431,101-200
3.97677067525832,101-200
4.2163095294611095,101-200
4.0566321534485095,101-200
4.30568788365735,101-200
4.29939208177227,101-200
3.70649587647525,101-200
3.5269417097962896,101-200
4.24824684136218,101-200
5.9035650049280095,101-200
4.364265862799972,101-200
4.92722881951088,101-200
3.85310998573091,101-200
3.3275841616721897,101-200
1.35472276444865,101-200
5.40900834639403,101-200
5.7056859389483785,101-200
3.48306641087731,101-200
0.465217201166462,101-200
5.30824141989083,101-200
5.2366099576780485,101-200
3.0438945253951,101-200
3.77956190933466,101-200
3.57184152212045,101-200
4.177775698504711,101-200
4.02742153677503,101-200
6.1945784192344,101-200
2.59553896024392,101-200
5.468635577998531,101-200
5.70233054852688,101-200
5.5979327365885485,101-200
5.23718156643657,101-200
6.304419128465611,101-200
2.71009027295555,101-200
4.330465088050819,101-200
0.52332133381565,201-300
5.02813454918828,201-300
4.0540666775162,201-300
2.7815857807699595,201-300
6.554788456122121,201-300
4.942002272377018,201-300
1.97212297351432,201-300
6.57061957175002,201-300
3.05411720543091,201-300
3.68639695835444,201-300
5.85720895562905,201-300
3.4328426727318995,201-300
5.98474844039036,201-300
5.10589673720431,201-300
5.47582098904254,201-300
4.05791116620345,201-300
5.52128364122463,201-300
4.71747911193167,201-300
6.745785907939661,201-300
5.01334306372578,201-300
4.04328025238802,201-300
4.67714558849803,201-300
5.108125904238404,201-300
5.18917660604932,201-300
4.639425020926451,201-300
5.12868582096825,201-300
4.45524557222588,201-300
7.528553194208079,201-300
6.53316132994301,201-300
3.21765051040322,201-300
2.31598369671485,201-300
2.93445413990659,201-300
6.130196272243509,201-300
5.532244771832651,201-300
2.7641595990619505,201-300
5.44868472195855,201-300
4.6715310191488895,201-300
3.5896006629357897,201-300
6.873763797151001,201-300
5.23419602267924,201-300
5.4224946216906105,201-300
5.67316768840875,201-300
4.72177707829994,201-300
3.56560667613447,201-300
6.07986473327316,201-300
3.416923572063,201-300
5.31483174517329,201-300
5.77879593651003,201-300
4.86165305685846,201-300
4.0768992477825,201-300
4.11799603755275,201-300
5.02643816818103,201-300
5.81477809452835,201-300
2.34160956791129,201-300
6.27738968595672,201-300
2.63139465873575,201-300
5.04535612740745,201-300
5.58659250353212,201-300
6.00911264984241,201-300
5.44931580242137,201-300
5.781099956690558,201-300
5.06693622502635,201-300
3.07819881874667,201-300
2.06474024502745,201-300
2.19954165918276,201-300
4.87094549716466,201-300
2.43298580538247,201-300
6.43590506409014,201-300
2.5908881041486604,201-300
6.34005118618976,201-300
5.126281107062789,201-300
5.306052263392759,201-300
1.92960329278429,201-300
5.812873486370491,201-300
4.736473123449589,201-300
4.836534329860269,201-300
3.2338086470254,201-300
4.8430511789535,201-300
5.88962998743793,201-300
5.719948560542082,201-300
7.23427250374046,201-300
7.10809477447649,201-300
5.55365988575056,201-300
5.10301188411714,201-300
4.75757544009334,201-300
4.34368954772092,201-300
4.09543337602979,201-300
2.8559964688242,201-300
3.58983464023538,201-300
6.190454038949291,201-300
4.66807867691132,201-300
5.712728522896709,201-300
2.54255336212277,201-300
5.80585305381001,201-300
3.87334884979563,201-300
5.40046267021754,201-300
3.79478754475221,201-300
4.93326307957117,201-300
2.43373403302525,201-300
6.13124605217621,201-300
2.11109690409434,301-400
4.6520165375965306,301-400
6.1393376954397,301-400
4.235090712135681,301-400
4.86178619136704,301-400
5.39627398133819,301-400
5.115978136500581,301-400
5.229150594915089,301-400
4.38578317766855,301-400
2.8565569443572403,301-400
4.12394417240092,301-400
5.32539558900526,301-400
6.06124307736741,301-400
2.46653042718533,301-400
6.2321701149379,301-400
2.31954187623643,301-400
3.61785380683296,301-400
5.083860248626559,301-400
7.26628078390562,301-400
4.191672802909791,301-400
6.6211818440806605,301-400
4.28532562967708,301-400
4.7163589532518495,301-400
3.4269542780274,301-400
5.7901453338642,301-400
6.0661701468372415,301-400
6.14352890047864,301-400
4.19296357468104,301-400
3.39930317499056,301-400
5.5982059202074,301-400
6.097082424887789,301-400
6.44790437565479,301-400
4.445622897940599,301-400
2.6264316880269303,301-400
3.50687134913398,301-400
4.60591251668143,301-400
5.8610764367898,301-400
5.630594758204699,301-400
4.77774095728912,301-400
6.46760973925704,301-400
2.42290618128402,301-400
4.91068064675087,301-400
7.394810421630959,301-400
3.28185806872828,301-400
5.17955108168999,301-400
4.42752177078286,301-400
5.440932305839372,301-400
5.857526865898008,301-400
4.0801302649459,301-400
6.635340699166791,301-400
5.61973492183045,301-400
4.54023371986376,301-400
3.28332730967062,301-400
5.834670299950662,301-400
5.9797478168202005,301-400
5.217991581491701,301-400
3.25074101525912,301-400
2.79937071198742,301-400
4.45594125521757,301-400
5.358021401719888,301-400
7.311257689145267,301-400
5.7027789986302695,301-400
3.4434276475632406,301-400
5.5561040603760885,301-400
5.67489358841172,301-400
4.4333118127872,301-400
5.111511195858791,301-400
4.92790131412433,301-400
2.34692041346446,301-400
6.70095475334952,301-400
5.073401766055572,301-400
6.45308783587542,301-400
4.59158726047771,301-400
3.4446798073583698,301-400
5.941381627377631,301-400
3.7529981026188097,301-400
5.2728322350138805,301-400
4.11314440195132,301-400
5.03946753365393,301-400
4.76386192301054,301-400
5.599357727849211,301-400
6.47045033651518,301-400
5.64339240094332,301-400
4.59527026962539,301-400
4.87935521417923,301-400
2.03515101242364,301-400
4.74416206088333,301-400
5.03262208656948,301-400
6.16492135655515,301-400
4.61754672521525,301-400
2.44817151273428,301-400
5.23998351230842,301-400
4.41252875470548,301-400
5.28600666081648,301-400
4.87573765307694,301-400
6.543918574843628,301-400
5.7266398839763095,301-400
3.61183899366724,301-400
4.54645283351384,301-400
2.54924655376072,301-400
5.8060964009740985,401-500
3.14329816753307,401-500
6.1185098773318805,401-500
6.47258654036207,401-500
5.94118158230096,401-500
7.383412256651889,401-500
4.0752616768998,401-500
6.16485316438975,401-500
2.80816592906708,401-500
3.57008697939181,401-500
3.86674959480491,401-500
6.1135359671229415,401-500
3.48964105684052,401-500
4.71442588560149,401-500
5.67021627133154,401-500
5.77048705788159,401-500
6.3831849812735095,401-500
1.3416386515196002,401-500
4.542492672990611,401-500
1.92123763099318,401-500
3.86906241419068,401-500
6.23407545641428,401-500
5.8715295395286,401-500
4.78265077518527,401-500
5.36805146917513,401-500
2.6598718738424103,401-500
4.54285161962641,401-500
3.75713376400726,401-500
4.42199759798079,401-500
4.7968169594815,401-500
3.20042005188776,401-500
1.5869620503368702,401-500
