Label,TopK,Value,Control
MPRA_HepG2,400,1.3495844377902277,1.0
MPRA_K562,400,1.1096244911744981,1.0
MPRA_SKNSH,400,1.0089887832272548,1.0
epigenetics_ELF1,400,1.478047296804644,1.0
epigenetics_HNF1A,400,1.797507136101257,1.0
epigenetics_HNF4A,400,1.0769619818148841,1.0
MPRA_HepG2,300,1.7489382358322823,1.0
MPRA_K562,300,1.3164736647952542,1.0
MPRA_SKNSH,300,1.1611547918145804,1.0
epigenetics_ELF1,300,1.8948177633079435,1.0
epigenetics_HNF1A,300,2.011972641666076,1.0
epigenetics_HNF4A,300,1.1277555471983727,1.0
MPRA_HepG2,200,2.355480654598389,1.0
MPRA_K562,200,1.488747185461853,1.0
MPRA_SKNSH,200,1.263034405833794,1.0
epigenetics_ELF1,200,2.7089512179966095,1.0
epigenetics_HNF1A,200,2.3882705897160585,1.0
epigenetics_HNF4A,200,1.2157286910554372,1.0
MPRA_HepG2,100,2.8650704199138914,1.0
MPRA_K562,100,1.6147098441152081,1.0
MPRA_SKNSH,100,1.5235619560570128,1.0
epigenetics_ELF1,100,4.0,1.0
epigenetics_HNF1A,100,2.8365012677171206,1.0
epigenetics_HNF4A,100,1.584962500721156,1.0
