Expression,Group
4.641880474033339,1-100
5.64582905649156,1-100
3.2280729731873,1-100
2.96316269541407,1-100
4.14576477722201,1-100
2.50177465402114,1-100
5.09113637169802,1-100
5.55275708970681,1-100
2.28069326347392,1-100
2.28040597806139,1-100
1.7764904356442202,1-100
4.2229476236798,1-100
3.47864388837727,1-100
4.343399453968851,1-100
3.83664951183476,1-100
2.84272012783938,1-100
5.1427885495193895,1-100
4.11521958016144,1-100
4.09368965989413,1-100
3.09609766531073,1-100
3.2299735442181303,1-100
4.3304702781525,1-100
4.40260918093505,1-100
4.03684893678673,1-100
2.51941215563605,1-100
0.130688885086434,1-100
1.27919721182587,1-100
3.79705034473053,1-100
5.8322332180958405,1-100
4.96451527050129,1-100
4.84681446371692,1-100
3.4595528729049105,1-100
1.7358885057650102,1-100
4.34972318177991,1-100
1.62913056814761,1-100
1.73604137849437,1-100
1.20516781515881,1-100
-0.1222985367657569,1-100
2.7573824038432,1-100
3.94314568538562,1-100
3.6362730428877503,1-100
3.98537070904561,1-100
1.92728986716309,1-100
5.20566870451683,1-100
4.21297660573581,1-100
1.20938876722335,1-100
0.821833242644102,1-100
2.01159886850182,1-100
1.59635670941641,1-100
4.26426951264609,1-100
2.7337201546098298,1-100
4.98656003422294,1-100
1.49602374518439,1-100
2.11578051850479,1-100
2.75902349071945,1-100
1.02048361853643,1-100
2.9218840516032403,1-100
0.7047464430568839,1-100
2.8317749043369704,1-100
4.741277091883889,1-100
4.47368190544094,1-100
1.59324818174145,1-100
6.9464869339944,1-100
1.85621786650481,1-100
2.40211803344964,1-100
4.8740629600631,1-100
3.20473737917417,1-100
1.80301460044449,1-100
3.649331609287,1-100
1.23392439830395,1-100
1.7890483077321202,1-100
5.40550106520319,1-100
4.19517114349759,1-100
3.9364278880908494,1-100
2.31094809514322,1-100
1.47052306741277,1-100
5.57025872102414,1-100
2.85854526532547,1-100
4.46915493095835,1-100
3.7398810964751696,1-100
1.329034859854,1-100
4.3845607364411805,1-100
3.62304110423189,1-100
1.93979466398289,1-100
6.22855941509151,1-100
3.1950222853687102,1-100
3.40457441787171,1-100
0.2939656454359119,1-100
1.00762326460365,1-100
0.7864975791401899,1-100
0.69353591742295,1-100
1.15419756710346,1-100
2.31193897168552,1-100
3.70454310181513,1-100
2.5791387487760296,1-100
4.60144693285072,1-100
2.7598421880107,1-100
2.95008736150724,1-100
2.5094070584864703,1-100
3.83276020092848,1-100
5.506239704997982,101-200
3.55334711254915,101-200
1.66955598673939,101-200
4.20995800000178,101-200
5.68343801838789,101-200
3.46518959501607,101-200
5.4422770441401696,101-200
1.0546496081791,101-200
3.8993161396862,101-200
2.6046823959227403,101-200
2.9004785850711,101-200
2.8372770168459,101-200
3.3168379235162098,101-200
3.0291394447823,101-200
3.15279001926599,101-200
0.480389515654237,101-200
2.64010678341538,101-200
2.03671677486386,101-200
5.36890513080701,101-200
2.89681468022678,101-200
5.57179897505216,101-200
3.04177577420753,101-200
2.60579967100827,101-200
1.54728746437812,101-200
3.7544190452865696,101-200
3.9103762016690298,101-200
2.5159086639394905,101-200
5.0079530574191535,101-200
4.81248332998447,101-200
0.7745862948204091,101-200
5.596325499478719,101-200
2.77251514425617,101-200
4.72998629117669,101-200
0.564610658177187,101-200
2.42479872676946,101-200
3.33679346705054,101-200
3.06873408352414,101-200
1.43666313088244,101-200
2.18880992749185,101-200
0.321765898221123,101-200
5.32861161152298,101-200
2.35083772927652,101-200
1.77071758578203,101-200
1.5012560909982602,101-200
3.0973051341906697,101-200
3.84488419314258,101-200
6.40346645571968,101-200
2.08351111140928,101-200
5.22391346821592,101-200
2.39763924519461,101-200
1.23745751582057,101-200
3.60834727525864,101-200
3.34891786778284,101-200
1.46840882081927,101-200
4.15423658527362,101-200
3.04245198359459,101-200
4.46930856520368,101-200
2.46716659634823,101-200
0.659878673269565,101-200
2.90726589915428,101-200
1.53659714534808,101-200
4.95502654401044,101-200
2.21556094252481,101-200
2.89277524863401,101-200
3.59704669512283,101-200
2.23290795874383,101-200
2.40822392798344,101-200
4.2991106923913405,101-200
0.7817786307544449,101-200
5.984440953443401,101-200
3.53374433873224,101-200
