order,cum_neg,cum_pos,pseudo_similarity,prop_fin
1,0,0,0.6106807174595277,1.0
2,1,0,0.610565240609962,2.0
3,1,0,0.6066674451407336,2.0
4,1,0,0.6052315714202687,2.0
5,1,0,0.6023221122141356,2.0
6,1,0,0.6012877992879733,2.0
7,2,0,0.6007487345958493,3.0
8,2,0,0.5988915505525862,3.0
9,2,0,0.5930822217489156,3.0
10,2,0,0.5924814946827641,3.0
11,2,0,0.5921627418853618,3.0
12,2,0,0.5920751297976372,3.0
13,2,0,0.5920631438503609,3.0
14,2,0,0.5914908015221053,3.0
15,2,0,0.5888638523348357,3.0
16,2,0,0.5886827959305332,3.0
17,2,0,0.5885459816285985,3.0
18,3,0,0.588532860546589,4.0
19,3,1,0.5882394372592751,2.0
20,3,2,0.587872339519705,1.3333333333333333
21,3,2,0.5877167083503376,1.3333333333333333
22,3,2,0.5849903826109137,1.3333333333333333
23,3,3,0.5844705498646536,1.0
24,3,3,0.584335470342537,1.0
25,4,3,0.5841930519233755,1.25
26,4,4,0.5813493785559085,1.0
27,4,5,0.58036036344665,0.8333333333333334
28,5,5,0.5801095376238575,1.0
29,6,5,0.5794756119429487,1.1666666666666667
30,6,5,0.5793163269160748,1.1666666666666667
31,6,5,0.5787875772940352,1.1666666666666667
32,6,5,0.5778450656674295,1.1666666666666667
33,6,5,0.5773137179617103,1.1666666666666667
34,6,5,0.5756090625599394,1.1666666666666667
35,6,5,0.5753498511757957,1.1666666666666667
36,6,5,0.5753040977696386,1.1666666666666667
37,6,5,0.5750350486784485,1.1666666666666667
38,6,5,0.5749797455916281,1.1666666666666667
39,7,5,0.5743491595603248,1.3333333333333333
40,7,6,0.573194060109377,1.1428571428571428
41,7,6,0.5716154240675717,1.1428571428571428
42,8,6,0.5706967410967356,1.2857142857142858
43,8,6,0.5698068671833241,1.2857142857142858
44,8,6,0.5685290891272485,1.2857142857142858
45,8,6,0.568039391950571,1.2857142857142858
46,9,6,0.5677014444272988,1.4285714285714286
47,9,6,0.5676230204826751,1.4285714285714286
48,9,6,0.5673569463188822,1.4285714285714286
49,9,6,0.5667588203064506,1.4285714285714286
50,10,6,0.5667089465072285,1.5714285714285714
51,10,6,0.5661185941483924,1.5714285714285714
52,10,6,0.5659043506267796,1.5714285714285714
53,10,7,0.5657852173646851,1.375
54,10,7,0.565692684053831,1.375
55,10,7,0.5656146243498502,1.375
56,11,7,0.564578299678826,1.5
57,11,7,0.5627230030689717,1.5
58,12,7,0.5617770827110707,1.625
59,12,7,0.5616737981569631,1.625
60,12,8,0.5613597388966725,1.4444444444444444
61,12,9,0.5608583958154022,1.3
62,12,9,0.5597663612622854,1.3
63,12,9,0.5592319104984719,1.3
64,12,9,0.5589619661741607,1.3
65,12,9,0.5587603217864345,1.3
66,12,10,0.5582142178433784,1.1818181818181819
67,12,10,0.5578447159034952,1.1818181818181819
68,12,10,0.5571430321710564,1.1818181818181819
69,13,10,0.556073795538921,1.2727272727272727
70,13,10,0.5556356294421376,1.2727272727272727
71,13,10,0.5555033661327364,1.2727272727272727
72,13,10,0.5546255324652121,1.2727272727272727
73,13,10,0.5546095366950958,1.2727272727272727
74,13,10,0.5542615525170829,1.2727272727272727
75,13,10,0.5540840715780944,1.2727272727272727
76,13,10,0.5534658509630122,1.2727272727272727
77,14,10,0.5531402452164222,1.3636363636363635
78,14,10,0.5516620170077151,1.3636363636363635
79,14,10,0.5510904135251233,1.3636363636363635
80,14,11,0.550863956667357,1.25
81,14,11,0.5506796592259162,1.25
82,15,11,0.5505313714521332,1.3333333333333333
83,16,11,0.5502877907434194,1.4166666666666667
84,16,11,0.5497287391642687,1.4166666666666667
85,16,11,0.5490987417752832,1.4166666666666667
86,16,11,0.5490106549773831,1.4166666666666667
87,17,11,0.5485338147086651,1.5
88,18,11,0.5483169083445012,1.5833333333333333
89,18,11,0.5481071391476631,1.5833333333333333
90,19,11,0.548051203300669,1.6666666666666667
91,19,11,0.5478029901967909,1.6666666666666667
92,19,11,0.5477727935433936,1.6666666666666667
93,19,11,0.5475082549752961,1.6666666666666667
94,19,11,0.5472408631214888,1.6666666666666667
95,19,11,0.5462279723269368,1.6666666666666667
96,20,11,0.5458985513490078,1.75
97,21,11,0.5457579614459986,1.8333333333333333
98,21,11,0.5451852654964917,1.8333333333333333
99,21,11,0.545161771620992,1.8333333333333333
100,21,11,0.5443383206970194,1.8333333333333333
101,21,11,0.5440518074083928,1.8333333333333333
102,21,11,0.5439786406252078,1.8333333333333333
103,21,11,0.5438778921023615,1.8333333333333333
104,21,12,0.5437871751768409,1.6923076923076923
105,21,12,0.5436029941305056,1.6923076923076923
106,21,12,0.5434285711365123,1.6923076923076923
107,21,12,0.5433088557471082,1.6923076923076923
108,22,12,0.5429057515316895,1.7692307692307692
109,22,12,0.5428709466248398,1.7692307692307692
110,22,12,0.5423847591840512,1.7692307692307692
111,23,12,0.5421375907971416,1.8461538461538463
112,23,12,0.5413750024655253,1.8461538461538463
113,23,12,0.5411219705490633,1.8461538461538463
114,24,12,0.5409506663125629,1.9230769230769231
115,24,12,0.5406524339443928,1.9230769230769231
116,24,12,0.5405904681632931,1.9230769230769231
117,24,12,0.5402803608539128,1.9230769230769231
118,24,12,0.5402131053957482,1.9230769230769231
119,25,12,0.5397747087459566,2.0
120,25,12,0.5396120147576073,2.0
121,25,12,0.5395326504282203,2.0
122,25,12,0.538870665081368,2.0
123,26,12,0.5382465406968973,2.076923076923077
124,26,13,0.5378841317538254,1.9285714285714286
125,26,13,0.5375998703982175,1.9285714285714286
126,26,14,0.537139974421821,1.8
127,27,14,0.5369681376003839,1.8666666666666667
128,27,14,0.5368959435530162,1.8666666666666667
129,27,14,0.5368861453446689,1.8666666666666667
130,27,14,0.5362609260963742,1.8666666666666667
131,27,14,0.5355984223328745,1.8666666666666667
132,27,14,0.5350017180910804,1.8666666666666667
133,27,14,0.5348288354027999,1.8666666666666667
134,27,14,0.5343423460417103,1.8666666666666667
135,27,14,0.5342936955150677,1.8666666666666667
136,27,14,0.5342575979918216,1.8666666666666667
137,27,15,0.5342456747113291,1.75
138,27,15,0.5339222806541533,1.75
139,27,15,0.5331628522669241,1.75
140,27,16,0.5331592592272731,1.6470588235294117
141,27,16,0.5330384488804603,1.6470588235294117
142,27,16,0.5327972719493275,1.6470588235294117
143,28,16,0.5326969194153461,1.7058823529411764
144,28,16,0.5320004397128313,1.7058823529411764
145,28,17,0.5309159202491796,1.6111111111111112
146,28,17,0.5305879791976492,1.6111111111111112
147,29,17,0.5302498596523426,1.6666666666666667
148,29,17,0.5295875105336418,1.6666666666666667
149,29,17,0.5295580792249857,1.6666666666666667
150,30,17,0.5292499062330249,1.7222222222222223
151,30,17,0.5291638599675881,1.7222222222222223
152,30,18,0.5290920163313381,1.631578947368421
153,31,18,0.5288736875317969,1.6842105263157894
154,31,18,0.5288226037220789,1.6842105263157894
155,31,18,0.5287075101041583,1.6842105263157894
156,32,18,0.5285615452052949,1.736842105263158
157,32,18,0.5282458675444839,1.736842105263158
158,32,19,0.5282219271687161,1.65
159,32,19,0.5280609903700988,1.65
160,32,19,0.5271523398035374,1.65
161,32,20,0.5265507999513875,1.5714285714285714
162,32,21,0.5260745500288664,1.5
163,32,21,0.5259922514556818,1.5
164,32,21,0.5258418700758822,1.5
165,33,21,0.5258320193653516,1.5454545454545454
166,34,21,0.5257042596959164,1.5909090909090908
167,35,21,0.5254944066620383,1.6363636363636365
168,35,21,0.5252536861987269,1.6363636363636365
169,35,22,0.5250230224305057,1.565217391304348
170,35,22,0.5249751694874993,1.565217391304348
171,35,23,0.5249054552764535,1.5
172,35,23,0.5247157528784453,1.5
173,35,23,0.5245394089431195,1.5
174,35,23,0.5244227278042126,1.5
175,36,23,0.5238845332758829,1.5416666666666667
176,37,23,0.5235033401404081,1.5833333333333333
177,37,23,0.5233076172200789,1.5833333333333333
