Expression,Group
0.8549249210461609,1-100
0.319728278464299,1-100
0.6045856863570009,1-100
-0.328050756631643,1-100
-1.28875113316471,1-100
-0.0197193202693268,1-100
2.35309958767778,1-100
-0.309655275947917,1-100
2.63480644965669,1-100
1.98368596910494,1-100
-1.08608633462035,1-100
-0.2257021843877089,1-100
1.4213699601523102,1-100
-0.4631566850075271,1-100
1.83757627576143,1-100
1.72471094905015,1-100
-1.0157637651375402,1-100
1.92666966722838,1-100
0.664453255070451,1-100
1.3264705841618798,1-100
0.1729976135404219,1-100
-0.337521500141193,1-100
-0.690032056569915,1-100
0.449565007822674,1-100
3.72717234852168,1-100
0.9488777312021508,1-100
2.33087732483344,1-100
-0.3197460786819939,1-100
1.66041691324902,1-100
1.78425611439975,1-100
-0.296895042376157,1-100
3.48379910949516,1-100
2.19452961577519,1-100
2.13142366879825,1-100
2.44634873217528,1-100
2.26165919495694,1-100
1.33822641646664,1-100
4.02358508629199,1-100
2.97100981055764,1-100
1.34752371282496,1-100
1.9594052776693,1-100
-1.10480007356992,1-100
1.82373106757378,1-100
0.8337475533699229,1-100
-0.0801063521656679,1-100
1.8529310137990704,1-100
0.422529886438157,1-100
-0.340220413824675,1-100
5.489043213139452,1-100
0.125714173052744,1-100
-0.51797362235726,1-100
0.152576434923901,1-100
0.524256243183492,1-100
-0.0310659952556404,1-100
-0.126948975290924,1-100
0.397402334699416,1-100
2.7448806778182204,1-100
1.5064533016971,1-100
1.05606720214349,1-100
1.02693208591296,1-100
1.0161648902299998,1-100
1.09368288858419,1-100
0.3377005348867411,1-100
1.2213112075608,1-100
2.12895919426846,1-100
0.159128596073324,1-100
0.587068844011163,1-100
0.107706677668389,1-100
4.49255209335028,1-100
-0.797210220907797,1-100
-0.138170331787561,1-100
1.0798937158557802,1-100
1.01680746176648,1-100
-0.744291621015316,1-100
-0.711449259750615,1-100
0.123666005610882,1-100
1.26389994405186,1-100
1.26047728376666,1-100
0.0370072858706233,1-100
-0.0859255587247107,1-100
1.35744825127922,1-100
0.947842699346543,1-100
-0.147927480628414,1-100
1.16023603831785,1-100
1.16006622090676,1-100
0.571657741300154,1-100
2.3519994069601897,1-100
-0.919395805450298,1-100
-0.126934416531704,1-100
0.233509273621107,1-100
0.17788274136107,1-100
0.6071208367954929,1-100
2.070251129755,1-100
1.52960946868521,1-100
4.208581088200121,1-100
2.69057463443913,1-100
4.02229111808511,1-100
1.9517283079409296,1-100
0.0776589250049775,1-100
-0.0961127356672803,1-100
1.88944537371576,101-200
-0.0491263552830798,101-200
1.24041327945486,101-200
1.71519683310743,101-200
2.3265337055630697,101-200
3.5260860823344906,101-200
4.55982602520963,101-200
1.50181617303053,101-200
4.04125300476053,101-200
1.2108004212718602,101-200
1.97277992657775,101-200
3.26258550380145,101-200
4.3136499926658,101-200
3.27590163466126,101-200
4.07242536607969,101-200
0.934824764662967,101-200
1.79279883393077,101-200
2.02701897645591,101-200
-1.21726598321699,101-200
1.30544473432416,101-200
3.76160404039241,101-200
1.13360791688746,101-200
1.31433637574632,101-200
-0.29650450347932,101-200
2.08165521499384,101-200
1.93224026945782,101-200
0.507185394527255,101-200
3.4375694532085497,101-200
1.1246413795606205,101-200
1.91695433959214,101-200
1.41987683772671,101-200
0.974055184942138,101-200
4.25246966163881,101-200
2.19224319420924,101-200
1.35880867624251,101-200
1.45907915188652,101-200
2.59583511176897,101-200
2.4715772353382204,101-200
-0.7922448338141359,101-200
-0.893170760729508,101-200
1.4093716635288602,101-200
0.195218257230326,101-200
1.5101183169836598,101-200
3.1455075559247,101-200
-0.102650979969627,101-200
0.2268515812168439,101-200
0.993634134742154,101-200
1.81804897151649,101-200
1.02399133844293,101-200
0.826232228453303,101-200
0.222652216799177,101-200
0.2835165958074989,101-200
1.57036786635395,101-200
0.6727383192459311,101-200
-0.143977497652954,101-200
0.166817020727411,101-200
1.67923600780305,101-200
3.4905498232361096,101-200
0.284739248579425,101-200
2.28019797569013,101-200
3.6267460368592697,101-200
1.12359191260448,101-200
0.96576815627877,101-200
2.5685052982302703,101-200
2.12459157688073,101-200
1.70248048093271,101-200
4.35424580334482,101-200
0.997316657327366,101-200
2.40987022261336,101-200
0.431482914605942,101-200
2.75357419571203,101-200
1.56078064211282,101-200
0.0355339097257231,101-200
1.78672580446035,101-200
1.9246678493081697,101-200
1.86786454599014,101-200
2.10836502190808,101-200
0.206475815406815,101-200
1.70437832675586,101-200
0.789197957086886,101-200
4.11307004158427,101-200
2.40081295558481,101-200
-0.177347433617564,101-200
2.09495019133842,101-200
3.42508247375718,101-200
3.04472985274737,101-200
0.382200412239956,101-200
3.8248077448486297,101-200
3.02114060590277,101-200
2.1173734688771697,101-200
3.19517580961971,101-200
0.909713902509759,101-200
2.35539837741165,101-200
4.077096263707,101-200
4.632102124562612,101-200
1.96990200038916,101-200
3.74027233217782,101-200
2.31550688433682,101-200
1.94199787560494,101-200
2.74852237698877,101-200
3.2330483180417,201-300
3.21557388060842,201-300
2.59498436705008,201-300
-0.121482500615513,201-300
2.01956036185932,201-300
-0.0361484461688411,201-300
1.99891160225844,201-300
0.529221937541801,201-300
5.36084936827237,201-300
0.9691713290366178,201-300
2.7203505020021304,201-300
3.0978255651801403,201-300
2.33578054785912,201-300
0.0059716232790806,201-300
3.20353609954753,201-300
0.275299645978849,201-300
1.8272316313067296,201-300
4.10334420918645,201-300
2.11770183119923,201-300
1.30338343069661,201-300
0.631321328435107,201-300
4.29430288091992,201-300
3.3760821475619704,201-300
3.64763075713834,201-300
2.6387995450955,201-300
2.40403415847379,201-300
2.7031788379377097,201-300
1.8201741080436296,201-300
1.21201970509757,201-300
-0.437829278461707,201-300
1.45002954760703,201-300
2.94005276992528,201-300
0.939071988723074,201-300
3.15240559851798,201-300
1.71254997391835,201-300
2.55859422377104,201-300
1.33393962908802,201-300
3.07312391596155,201-300
1.93180241108807,201-300
2.8647836375617795,201-300
4.0098941974181095,201-300
0.7394205828679441,201-300
2.2340699618314903,201-300
3.23082068372227,201-300
1.2456642368535,201-300
1.64861634284246,201-300
4.91368176180231,201-300
0.952822509648054,201-300
1.72189028603865,201-300
0.4140006382812029,201-300
2.3214690813251604,201-300
2.04286795042781,201-300
-0.135608870157449,201-300
1.43563199725479,201-300
3.0234769665686203,201-300
3.7052511136444894,201-300
2.5727435214145498,201-300
3.4222494083318,201-300
1.51350505043523,201-300
2.743712317784,201-300
1.8204215839496896,201-300
2.64221548957794,201-300
4.232966622477759,201-300
-0.384481546275056,201-300
0.176448664814183,201-300
0.7487066516491991,201-300
3.55394766483346,201-300
2.3752975262624703,201-300
-0.0998944223980908,201-300
4.65220852053019,201-300
3.25778325024288,201-300
4.25630777718006,201-300
0.8628966049052601,201-300
2.43549373881195,201-300
3.93445233804811,201-300
3.25319473108862,201-300
1.9640652521223405,201-300
4.318979921209141,201-300
2.84653517847757,201-300
6.32213897509995,201-300
1.77136809137516,201-300
4.47992825940096,201-300
3.3805936365832,201-300
0.952889306119653,201-300
3.78061400541354,201-300
3.9620364574167297,201-300
2.87588477678087,201-300
3.47391232441595,201-300
1.11923141376906,201-300
-0.345626454021984,201-300
4.94488245218651,201-300
3.71589732287508,201-300
0.472937053161026,201-300
0.806391015466071,201-300
3.22227049896734,201-300
1.2451107881025,201-300
1.9291212655203,201-300
5.7399844378731215,201-300
1.95185305614676,201-300
4.44261530222286,201-300
2.94890850877475,301-400
2.77526060249004,301-400
2.07790356078419,301-400
4.11837579786025,301-400
2.8477035523105,301-400
-0.3857408141456839,301-400
4.00482374349707,301-400
3.36079268899514,301-400
1.96395610986289,301-400
1.85764867298107,301-400
0.832358104268704,301-400
2.06321894112464,301-400
2.61507753480462,301-400
2.69327087388368,301-400
1.31255827595458,301-400
-0.0849466757342057,301-400
3.86131495078274,301-400
2.69342140501648,301-400
0.299935745915141,301-400
0.2348232734129861,301-400
4.51312290995738,301-400
2.16350646376838,301-400
2.25927657525733,301-400
-0.2462056596770079,301-400
0.387490445635172,301-400
2.64515200141107,301-400
4.80111594375918,301-400
2.6109486107416697,301-400
2.2359917659241804,301-400
5.07911847042671,301-400
3.82022507818402,301-400
-0.108312990902403,301-400
2.85977060280196,301-400
3.22949658677171,301-400
3.4939915000807704,301-400
4.21957353673807,301-400
1.31732014888329,301-400
1.05627442390133,301-400
2.75410937459505,301-400
3.17152668424327,301-400
3.2957798045886,301-400
4.28193289911375,301-400
2.19150848161176,301-400
3.6407165779230297,301-400
0.266456160390208,301-400
1.1215001618511102,301-400
3.9684710053319,301-400
1.69494491310503,301-400
5.09011742362644,301-400
-0.174793707417018,301-400
3.23694602741628,301-400
3.2702907333756603,301-400
1.58175043790728,301-400
4.33976156805916,301-400
3.71237260528206,301-400
3.68477254433489,301-400
4.02573126426961,301-400
5.09344608897053,301-400
1.45811224383057,301-400
4.74437122024791,301-400
3.66027254727154,301-400
0.413835650416938,301-400
2.7330696337167297,301-400
1.7023108449035298,301-400
2.2828016140585,301-400
0.9197799894206709,301-400
4.3449146043986495,301-400
1.39604467911274,301-400
1.00594485154071,301-400
2.00834599838383,301-400
-0.781075933785937,301-400
2.9123097049865603,301-400
