Label,TopK,Value,Control
MPRA_HepG2,400,1.242814345276203,1.0
MPRA_K562,400,1.0682138933542096,1.0
MPRA_SKNSH,400,1.0394745947933526,1.0
epigenetics_ELF1,400,1.151986676114028,1.0
epigenetics_HNF1A,400,1.1088305604812954,1.0
epigenetics_HNF4A,400,1.0125665499369239,1.0
MPRA_HepG2,300,1.44837895674698,1.0
MPRA_K562,300,1.1439301911450637,1.0
MPRA_SKNSH,300,1.0808193966496906,1.0
epigenetics_ELF1,300,1.2278976983986851,1.0
epigenetics_HNF1A,300,1.2217134792782238,1.0
epigenetics_HNF4A,300,1.0215130139115443,1.0
MPRA_HepG2,200,1.6789917881013472,1.0
MPRA_K562,200,1.2374715040314683,1.0
MPRA_SKNSH,200,1.1467790745785098,1.0
epigenetics_ELF1,200,1.3185180561993646,1.0
epigenetics_HNF1A,200,1.3749681408227956,1.0
epigenetics_HNF4A,200,1.0309423114156595,1.0
MPRA_HepG2,100,2.0857198667680805,1.0
MPRA_K562,100,1.243658247215328,1.0
MPRA_SKNSH,100,1.1503216381882515,1.0
epigenetics_ELF1,100,1.4208330475078936,1.0
epigenetics_HNF1A,100,1.6713549067268096,1.0
epigenetics_HNF4A,100,1.031762404532212,1.0
