Label,TopK,Value,Control
MPRA_HepG2,400,0.2406015037593984,0.2
MPRA_K562,400,0.213032581453634,0.2
MPRA_SKNSH,400,0.2105263157894736,0.2
epigenetics_ELF1,400,0.2606516290726817,0.2
epigenetics_HNF1A,400,0.2506265664160401,0.2
epigenetics_HNF4A,400,0.2305764411027568,0.2
MPRA_HepG2,300,0.2809364548494983,0.2
MPRA_K562,300,0.2341137123745819,0.2
MPRA_SKNSH,300,0.217391304347826,0.2
epigenetics_ELF1,300,0.2842809364548495,0.2
epigenetics_HNF1A,300,0.2976588628762542,0.2
epigenetics_HNF4A,300,0.2307692307692307,0.2
MPRA_HepG2,200,0.3266331658291457,0.2
MPRA_K562,200,0.2412060301507537,0.2
MPRA_SKNSH,200,0.236180904522613,0.2
epigenetics_ELF1,200,0.3366834170854271,0.2
epigenetics_HNF1A,200,0.3969849246231156,0.2
epigenetics_HNF4A,200,0.236180904522613,0.2
MPRA_HepG2,100,0.3939393939393939,0.2
MPRA_K562,100,0.2626262626262626,0.2
MPRA_SKNSH,100,0.2121212121212121,0.2
epigenetics_ELF1,100,0.3636363636363636,0.2
epigenetics_HNF1A,100,0.5454545454545454,0.2
epigenetics_HNF4A,100,0.2626262626262626,0.2
