,Enformer,Enformer_Basenji2_DeepDNAshape,Sei_Expecto,Malinois_MPRALegNet_CLIPNET_SahuCNN_DeepDNAshape,DeepDNAshape,DeepACE
TERT,1.509070,1.509070,1.131494,1.675241,1.023899,1.000000
HBG1,1.000000,0.644673,1.000000,1.102862,0.518437,1.000000
LDLR,0.903711,0.905142,0.709435,0.970390,0.324211,1.000000
F9,0.867265,0.956662,0.856356,1.080619,0.742688,1.000000
GP1BA,0.938777,1.000000,0.855698,1.221480,0.894390,1.000000
IRF4,1.094743,1.000000,1.284678,0.746312,0.571231,1.000000
PKLR,1.021026,0.929340,1.132976,0.803373,0.723337,1.000000
ZFAND3,0.909511,0.973997,0.892421,0.917211,0.674967,1.000000
IRF6,0.981221,1.000000,1.408453,0.903839,0.854950,1.000000
SORT1,0.865666,0.911297,0.557236,0.615795,0.508166,1.000000
HBB,1.000000,1.000000,1.000000,2.027919,0.915416,1.000000
UC88,1.000000,1.000000,0.950811,0.993715,0.993715,1.000000
MYC_rs6983267,1.000000,1.000000,1.015896,1.003159,1.035305,1.000000
RET,0.903789,1.000000,1.035386,1.026693,1.004224,1.000000
TCF7L2,0.998395,0.999139,0.978231,0.952265,0.978423,1.000000
Average,0.999545,0.988621,0.987271,1.069392,0.784224,1.000000
