,model,celltype,feature,source
0,Malinois,K562,MPRA,MPRA (doi.org/10.1038/s41586-024-08070-z)
1,Malinois,HepG2,MPRA,MPRA (doi.org/10.1038/s41586-024-08070-z)
2,Malinois,SKNSH,MPRA,MPRA (doi.org/10.1038/s41586-024-08070-z)
3,Basset,8988T,DNase-seq,ENCODE
4,Basset,AoSMC,DNase-seq,ENCODE
5,Basset,Chorion,DNase-seq,ENCODE
6,Basset,CLL,DNase-seq,ENCODE
7,Basset,Fibrobl,DNase-seq,ENCODE
8,Basset,FibroP,DNase-seq,ENCODE
9,Basset,Gliobla,DNase-seq,ENCODE
10,Basset,GM12891,DNase-seq,ENCODE
11,Basset,GM12892,DNase-seq,ENCODE
12,Basset,GM18507,DNase-seq,ENCODE
13,Basset,GM19238,DNase-seq,ENCODE
14,Basset,GM19239,DNase-seq,ENCODE
15,Basset,GM19240,DNase-seq,ENCODE
16,Basset,H9ES,DNase-seq,ENCODE
17,Basset,HeLa-S3_IFNa4h,DNase-seq,ENCODE
18,Basset,Hepatocytes,DNase-seq,ENCODE
19,Basset,HPDE6-E6E7,DNase-seq,ENCODE
20,Basset,HSMM_emb,DNase-seq,ENCODE
21,Basset,HTR8svn,DNase-seq,ENCODE
22,Basset,Huh-7.5,DNase-seq,ENCODE
23,Basset,Huh-7,DNase-seq,ENCODE
24,Basset,iPS,DNase-seq,ENCODE
25,Basset,Ishikawa_Estradiol,DNase-seq,ENCODE
26,Basset,Ishikawa_4OHTAM,DNase-seq,ENCODE
27,Basset,LNCaP_androgen,DNase-seq,ENCODE
28,Basset,MCF-7_Hypoxia,DNase-seq,ENCODE
29,Basset,Medullo,DNase-seq,ENCODE
30,Basset,Melano,DNase-seq,ENCODE
31,Basset,Myometr,DNase-seq,ENCODE
32,Basset,Osteobl,DNase-seq,ENCODE
33,Basset,PanIsletD,DNase-seq,ENCODE
34,Basset,PanIslets,DNase-seq,ENCODE
35,Basset,pHTE,DNase-seq,ENCODE
36,Basset,ProgFib,DNase-seq,ENCODE
37,Basset,RWPE1,DNase-seq,ENCODE
38,Basset,Stellate,DNase-seq,ENCODE
39,Basset,T-47D,DNase-seq,ENCODE
40,Basset,CD4_Th0,DNase-seq,ENCODE
41,Basset,Urothelia,DNase-seq,ENCODE
42,Basset,Urothelia_UT189,DNase-seq,ENCODE
43,Basset,AG04449,DNase-seq,ENCODE
44,Basset,AG04450,DNase-seq,ENCODE
45,Basset,AG09309,DNase-seq,ENCODE
46,Basset,AG09319,DNase-seq,ENCODE
47,Basset,AG10803,DNase-seq,ENCODE
48,Basset,AoAF,DNase-seq,ENCODE
49,Basset,BE2_C,DNase-seq,ENCODE
50,Basset,BJ,DNase-seq,ENCODE
51,Basset,Caco-2,DNase-seq,ENCODE
52,Basset,CD20+,DNase-seq,ENCODE
53,Basset,CD34+,DNase-seq,ENCODE
54,Basset,CMK,DNase-seq,ENCODE
55,Basset,GM06990,DNase-seq,ENCODE
56,Basset,GM12864,DNase-seq,ENCODE
57,Basset,GM12865,DNase-seq,ENCODE
58,Basset,H7-hESC,DNase-seq,ENCODE
59,Basset,HAc,DNase-seq,ENCODE
60,Basset,HAEpiC,DNase-seq,ENCODE
61,Basset,HA-h,DNase-seq,ENCODE
62,Basset,HA-sp,DNase-seq,ENCODE
